Row 47: {'time': '2000-03-11 10:02:31', 'p_a_conj': 1, 'p_a_maj': 1, 'p_a_min': 0, 'a_p_conj': 2, 'a_p_maj': 4, 'a_p_min': 1, 'p_h_conj': 0, 'p_h_maj': 2, 'p_h_min': 2, 'h_p_conj': 1, 'h_p_maj': 1, 'h_p_min': 1, 'e': 3, 'total_count': 241}
Row 48: {'time': '2000-03-11 10:27:27', 'p_a_conj': 1, 'p_a_maj': 3, 'p_a_min': 5, 'a_p_conj': 2, 'a_p_maj': 1, 'a_p_min': 1, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 3, 'h_p_min': 1, 'e': 5, 'total_count': 244}
Row 49: {'time': '2000-03-11 03:27:51', 'p_a_conj': 1, 'p_a_maj': 2, 'p_a_min': 1, 'a_p_conj': 1, 'a_p_maj': 2, 'a_p_min': 3, 'p_h_conj': 2, 'p_h_maj': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 2, 'h_p_min': 1, 'e': 7, 'total_count': 215}
Row 50: {'time': '2000-03-11 08:28:23', 'p_a_conj': 0, 'p_a_maj': 2, 'p_a_min': 3, 'a_p_conj': 2, 'a_p_maj': 1, 'a_p_min': 3, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_min': 1, 'h_p_conj': 1, 'h_p_maj': 0, 'h_p_min': 3, 'e': 4, 'total_count': 192}
Row 51: {'time': '2000-03-11 05:13:12', 'p_a_conj': 1, 'p_a_maj': 1, 'p_a_min': 2, 'a_p_conj': 0, 'a_p_maj': 2, 'a_p_min': 2, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_min': 0, 'h_p_conj': 2, 'h_p_maj': 1, 'h_p_min': 3, 'e': 7, 'total_count': 193}
Row 52: {'time': '2000-03-11 12:28:47', 'p_a_conj': 0, 'p_a_maj': 5, 'p_a_min': 1, 'a_p_conj': 2, 'a_p_maj': 2, 'a_p_min': 1, 'p_h_conj': 0, 'p_h_maj': 3, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 1, 'h_p_min': 4, 'e': 4, 'total_count': 298}
Row 53: {'time': '2000-03-11 11:36:00', 'p_a_conj': 1, 'p_a_maj': 4, 'p_a_min': 0, 'a_p_conj': 1, 'a_p_maj': 4, 'a_p_min': 2, 'p_h_conj': 1, 'p_h_maj': 0, 'p_h_min': 1, 'h_p_conj': 1, 'h_p_maj': 0, 'h_p_min': 1, 'e': 7, 'total_count': 258}
Row 54: {'time': '2000-03-11 14:10:40', 'p_a_conj': 1, 'p_a_maj': 2, 'p_a_min': 1, 'a_p_conj': 2, 'a_p_maj': 3, 'a_p_min': 1, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_min': 2, 'h_p_conj': 0, 'h_p_maj': 2, 'h_p_min': 0, 'e': 4, 'total_count': 234}
Row 55: {'time': '2000-03-11 14:19:04', 'p_a_conj': 1, 'p_a_maj': 1, 'p_a_min': 0, 'a_p_conj': 2, 'a_p_maj': 2, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 2, 'p_h_min': 3, 'h_p_conj': 0, 'h_p_maj': 2, 'h_p_min': 1, 'e': 7, 'total_count': 207}
Row 56: {'time': '2000-03-11 11:28:47', 'p_a_conj': 0, 'p_a_maj': 2, 'p_a_min': 5, 'a_p_conj': 1, 'a_p_maj': 2, 'a_p_min': 1, 'p_h_conj': 1, 'p_h_maj': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 3, 'h_p_min': 1, 'e': 4, 'total_count': 210}
