['Time, Count, opp/conj: 0', 'sqr/tri/sext: 0', 'major: 0', 'minor: 0']
['23:06:56, 21, opp/conj: 0', 'sqr/tri/sext: 7', 'major: 7', 'minor: 14']
['23:07:04, 18, opp/conj: 0', 'sqr/tri/sext: 6', 'major: 6', 'minor: 12']
['23:07:12, 18, opp/conj: 0', 'sqr/tri/sext: 6', 'major: 6', 'minor: 12']
['23:07:20, 18, opp/conj: 0', 'sqr/tri/sext: 7', 'major: 7', 'minor: 11']
['23:07:28, 20, opp/conj: 0', 'sqr/tri/sext: 8', 'major: 8', 'minor: 12']
['23:07:36, 24, opp/conj: 0', 'sqr/tri/sext: 10', 'major: 10', 'minor: 14']
['23:07:44, 25, opp/conj: 0', 'sqr/tri/sext: 11', 'major: 11', 'minor: 14']
['23:07:52, 26, opp/conj: 0', 'sqr/tri/sext: 11', 'major: 11', 'minor: 15']
['23:08:00, 21, opp/conj: 0', 'sqr/tri/sext: 9', 'major: 9', 'minor: 12']
['23:08:08, 22, opp/conj: 1', 'sqr/tri/sext: 9', 'major: 10', 'minor: 12']
['23:08:16, 22, opp/conj: 1', 'sqr/tri/sext: 10', 'major: 11', 'minor: 11']
['23:08:24, 23, opp/conj: 1', 'sqr/tri/sext: 11', 'major: 12', 'minor: 11']
['23:08:32, 25, opp/conj: 2', 'sqr/tri/sext: 12', 'major: 14', 'minor: 11']
['23:08:40, 28, opp/conj: 2', 'sqr/tri/sext: 15', 'major: 17', 'minor: 11']
['23:08:48, 28, opp/conj: 3', 'sqr/tri/sext: 16', 'major: 19', 'minor: 9']
['23:08:56, 31, opp/conj: 4', 'sqr/tri/sext: 17', 'major: 21', 'minor: 10']
['23:09:04, 30, opp/conj: 3', 'sqr/tri/sext: 16', 'major: 19', 'minor: 11']
['23:09:12, 28, opp/conj: 3', 'sqr/tri/sext: 15', 'major: 18', 'minor: 10']
['23:09:20, 29, opp/conj: 3', 'sqr/tri/sext: 15', 'major: 18', 'minor: 11']
['23:09:28, 29, opp/conj: 3', 'sqr/tri/sext: 16', 'major: 19', 'minor: 10']
['23:09:36, 28, opp/conj: 3', 'sqr/tri/sext: 16', 'major: 19', 'minor: 9']
['23:09:44, 26, opp/conj: 3', 'sqr/tri/sext: 15', 'major: 18', 'minor: 8']
['23:09:52, 25, opp/conj: 3', 'sqr/tri/sext: 14', 'major: 17', 'minor: 8']
['23:10:00, 26, opp/conj: 4', 'sqr/tri/sext: 14', 'major: 18', 'minor: 8']
['23:10:08, 23, opp/conj: 3', 'sqr/tri/sext: 13', 'major: 16', 'minor: 7']
['23:10:16, 19, opp/conj: 2', 'sqr/tri/sext: 10', 'major: 12', 'minor: 7']
['23:10:24, 19, opp/conj: 2', 'sqr/tri/sext: 11', 'major: 13', 'minor: 6']
['23:10:32, 20, opp/conj: 3', 'sqr/tri/sext: 11', 'major: 14', 'minor: 6']
['23:10:40, 18, opp/conj: 4', 'sqr/tri/sext: 10', 'major: 14', 'minor: 4']
['23:10:47, 18, opp/conj: 4', 'sqr/tri/sext: 10', 'major: 14', 'minor: 4']
['23:10:56, 18, opp/conj: 4', 'sqr/tri/sext: 9', 'major: 13', 'minor: 5']
['23:11:04, 16, opp/conj: 4', 'sqr/tri/sext: 8', 'major: 12', 'minor: 4']
['23:11:12, 18, opp/conj: 4', 'sqr/tri/sext: 8', 'major: 12', 'minor: 6']
['23:11:20, 18, opp/conj: 4', 'sqr/tri/sext: 8', 'major: 12', 'minor: 6']
['23:11:28, 17, opp/conj: 4', 'sqr/tri/sext: 7', 'major: 11', 'minor: 6']
['23:11:36, 18, opp/conj: 5', 'sqr/tri/sext: 7', 'major: 12', 'minor: 6']
['23:11:44, 17, opp/conj: 5', 'sqr/tri/sext: 6', 'major: 11', 'minor: 6']
['23:11:52, 13, opp/conj: 3', 'sqr/tri/sext: 4', 'major: 7', 'minor: 6']
