['Time', 'Event0', 'Event1', 'Event2', 'Event3', 'Event4', 'Event5', 'Event6', 'Event7', 'Event8', 'Event9', 'Event10', 'Event11', 'Event12', 'Event13', 'Event14', 'Count']
['12:23:51', '', "(ASC,257.460,(r)) (Moon,257.294,(c)) (conjunction,10')", "(Jupiter,43.714,(r)) (MC,178.641,(c)) (135-sesquisquare,4')\n(MC,202.654,(r)) (Jupiter,22.723,(c)) (opposition,4')", '', '', '', "(MC,202.654,(r)) (Neptune,142.736,(c)) (sextile,5')", "(MC,202.654,(r)) (Mean_Node,157.701,(c)) (45-semisquare,3')", "(Neptune,176.023,(r)) (ASC,236.082,(c)) (sextile,4')", '', '', '', "(Sun,196.058,(r)) (MC,166.065,(c)) (30-semisextile,0')", '', "(Mars,182.525,(r)) (MC,242.607,(d)) (sextile,5')", 8]
['12:23:59', '', '', "(Jupiter,43.714,(r)) (MC,178.677,(c)) (135-sesquisquare,2')\n(MC,202.689,(r)) (Jupiter,22.721,(c)) (opposition,2')", '', '', '', "(MC,202.689,(r)) (Neptune,142.729,(c)) (sextile,2')", "(MC,202.689,(r)) (Mean_Node,157.693,(c)) (45-semisquare,0')", "(Neptune,176.023,(r)) (ASC,236.105,(c)) (sextile,5')", '', '', '', "(Sun,196.058,(r)) (MC,166.101,(c)) (30-semisextile,3')", '', '', 6]
['12:24:07', '', '', "(Sun,196.058,(r)) (ASC,240.979,(c)) (45-semisquare,5')\n(Jupiter,43.714,(r)) (MC,178.714,(c)) (135-sesquisquare,0')\n(MC,202.725,(r)) (Jupiter,22.719,(c)) (opposition,0')", '', '', '', "(Saturn,43.229,(r)) (ASC,283.148,(d)) (trine,5')\n(MC,202.725,(r)) (Neptune,142.722,(c)) (sextile,0')", "(MC,202.725,(r)) (Mean_Node,157.685,(c)) (45-semisquare,2')", '', '', '', '', "(Sun,196.058,(r)) (MC,166.137,(c)) (30-semisextile,5')\n(MC,202.725,(r)) (Sun,157.792,(c)) (45-semisquare,4')", '', '', 8]
['12:24:15', "(Moon,300.880,(r)) (ASC,270.792,(d)) (30-semisextile,5')", '', "(Sun,196.058,(r)) (ASC,241.003,(c)) (45-semisquare,3')\n(Jupiter,43.714,(r)) (MC,178.750,(c)) (135-sesquisquare,2')\n(MC,202.760,(r)) (Jupiter,22.716,(c)) (opposition,3')", '', '', '', "(Saturn,43.229,(r)) (ASC,283.185,(d)) (trine,3')\n(MC,202.760,(r)) (Neptune,142.716,(c)) (sextile,3')", "(MC,202.760,(r)) (Mean_Node,157.677,(c)) (45-semisquare,5')", '', '', '', '', "(MC,202.760,(r)) (Sun,157.783,(c)) (45-semisquare,1')", '', '', 8]
['12:24:23', "(Moon,300.881,(r)) (ASC,270.823,(d)) (30-semisextile,3')", '', "(Sun,196.058,(r)) (ASC,241.027,(c)) (45-semisquare,2')\n(Jupiter,43.714,(r)) (MC,178.786,(c)) (135-sesquisquare,4')\n(MC,202.796,(r)) (Jupiter,22.714,(c)) (opposition,5')", '', "(ASC,257.566,(r)) (Venus,122.639,(c)) (135-sesquisquare,4')", '', "(Saturn,43.229,(r)) (ASC,283.223,(d)) (trine,0')\n(MC,202.796,(r)) (Neptune,142.709,(c)) (sextile,5')", '', '', '', '', '', "(MC,202.796,(r)) (Sun,157.774,(c)) (45-semisquare,1')", '', '', 8]
['12:24:31', "(Moon,300.882,(r)) (ASC,270.854,(d)) (30-semisextile,2')", '', "(Sun,196.058,(r)) (ASC,241.050,(c)) (45-semisquare,0')\n(MC,202.831,(r)) (Jupiter,22.712,(c)) (opposition,7')", '', "(ASC,257.593,(r)) (Venus,122.634,(c)) (135-sesquisquare,2')", '', "(Saturn,43.229,(r)) (ASC,283.260,(d)) (trine,2')", '', '', '', '', '', "(MC,202.831,(r)) (Sun,157.764,(c)) (45-semisquare,4')", '', '', 6]
['12:24:39', "(Moon,300.883,(r)) (ASC,270.885,(d)) (30-semisextile,0')", '', "(Sun,196.058,(r)) (ASC,241.074,(c)) (45-semisquare,1')\n(MC,202.867,(r)) (Jupiter,22.709,(c)) (opposition,9')", '', "(ASC,257.619,(r)) (Venus,122.629,(c)) (135-sesquisquare,1')", '', "(Saturn,43.229,(r)) (ASC,283.298,(d)) (trine,4')", "(Jupiter,43.714,(r)) (ASC,283.639,(d)) (trine,5')", '', '', '', '', '', '', '', 6]
['12:24:47', "(Moon,300.884,(r)) (ASC,270.916,(d)) (30-semisextile,2')", '', "(Sun,196.058,(r)) (ASC,241.098,(c)) (45-semisquare,2')", "(Mercury,218.278,(r)) (ASC,278.217,(d)) (sextile,4')", "(ASC,257.646,(r)) (Venus,122.624,(c)) (135-sesquisquare,1')", '', "(MC,202.903,(r)) (Mean_Node,157.993,(c)) (45-semisquare,5')", "(Jupiter,43.714,(r)) (ASC,283.677,(d)) (trine,2')", '', '', '', '', '', '', '', 6]
['12:24:56', "(Moon,300.885,(r)) (ASC,270.947,(d)) (30-semisextile,4')", '', "(Sun,196.058,(r)) (ASC,241.122,(c)) (45-semisquare,4')", "(Mercury,218.278,(r)) (ASC,278.252,(d)) (sextile,2')", "(ASC,257.672,(r)) (Venus,122.619,(c)) (135-sesquisquare,3')", '', "(MC,202.938,(r)) (Mean_Node,157.985,(c)) (45-semisquare,3')", "(Jupiter,43.714,(r)) (ASC,283.715,(d)) (trine,0')", '', "(MC,202.938,(r)) (Uranus,83.001,(d)) (trine,4')", '', '', '', '', '', 7]
['12:25:04', "(Moon,300.887,(r)) (ASC,270.978,(d)) (30-semisextile,5')", '', "(Sun,196.059,(r)) (ASC,241.145,(c)) (45-semisquare,5')", "(Mercury,218.278,(r)) (ASC,278.287,(d)) (sextile,1')", "(ASC,257.699,(r)) (Venus,122.615,(c)) (135-sesquisquare,5')", '', "(MC,202.974,(r)) (Mean_Node,157.977,(c)) (45-semisquare,0')", "(Jupiter,43.714,(r)) (ASC,283.753,(d)) (trine,2')", '', "(MC,202.974,(r)) (Uranus,83.003,(d)) (trine,2')", '', "(MC,202.974,(r)) (Sun,233.063,(d)) (30-semisextile,5')", '', '', '', 8]
['12:25:12', '', '', '', "(Mercury,218.279,(r)) (ASC,278.321,(d)) (sextile,3')", '', '', "(MC,203.009,(r)) (Mean_Node,157.969,(c)) (45-semisquare,2')", "(Jupiter,43.714,(r)) (ASC,283.791,(d)) (trine,5')", '', "(MC,203.009,(r)) (Uranus,83.005,(d)) (trine,0')", '', "(MC,203.009,(r)) (Sun,233.070,(d)) (30-semisextile,4')", '', '', '', 5]
['12:25:20', '', '', "(Sun,196.059,(r)) (MC,225.986,(d)) (30-semisextile,4')", "(Mercury,218.279,(r)) (ASC,278.356,(d)) (sextile,5')", '', '', "(MC,203.045,(r)) (Mean_Node,157.962,(c)) (45-semisquare,5')", '', '', "(MC,203.045,(r)) (Uranus,83.007,(d)) (trine,2')", "(MC,203.045,(r)) (Mars,143.098,(c)) (sextile,3')", "(MC,203.045,(r)) (Sun,233.078,(d)) (30-semisextile,2')", '', '', '', 6]
['12:25:28', '', '', "(Sun,196.059,(r)) (MC,226.020,(d)) (30-semisextile,2')", '', '', '', '', '', '', "(MC,203.080,(r)) (Uranus,83.009,(d)) (trine,4')", "(MC,203.080,(r)) (Mars,143.090,(c)) (sextile,1')", "(MC,203.080,(r)) (Sun,233.085,(d)) (30-semisextile,0')", '', '', '', 4]
['12:25:35', '', '', "(Sun,196.059,(r)) (MC,226.053,(d)) (30-semisextile,0')", '', '', '', '', '', '', '', "(MC,203.116,(r)) (Mars,143.082,(c)) (sextile,2')", "(MC,203.116,(r)) (Sun,233.092,(d)) (30-semisextile,1')", "(ASC,257.805,(r)) (Moon,227.793,(d)) (30-semisextile,1')", '', '', 4]
['12:25:43', '', "(MC,203.151,(r)) (Jupiter,23.311,(c)) (opposition,10')", "(Sun,196.059,(r)) (MC,226.086,(d)) (30-semisextile,2')", '', '', '', '', '', '', '', "(MC,203.151,(r)) (Mars,143.074,(c)) (sextile,5')", "(MC,203.151,(r)) (Sun,233.099,(d)) (30-semisextile,3')", '', '', '', 4]
['12:25:51', '', "(MC,203.187,(r)) (Jupiter,23.309,(c)) (opposition,7')", "(Sun,196.059,(r)) (MC,226.120,(d)) (30-semisextile,4')", '', '', '', '', '', '', '', '', "(MC,203.187,(r)) (Sun,233.107,(d)) (30-semisextile,5')", '', '', '', 3]
['12:25:59', '', "(MC,203.223,(r)) (Jupiter,23.306,(c)) (opposition,5')", '', '', '', '', '', '', '', '', '', '', '', "(MC,203.223,(r)) (Moon,233.210,(d)) (30-semisextile,1')", '', 2]
['12:26:07', '', "(MC,203.258,(r)) (Jupiter,23.304,(c)) (opposition,3')", '', '', '', '', '', '', '', '', '', '', '', '', '', 1]
['12:26:15', '', "(MC,203.294,(r)) (Jupiter,23.302,(c)) (opposition,0')", '', '', "(ASC,257.938,(r)) (Moon,347.985,(d)) (square,3')", '', '', '', '', '', '', '', '', '', '', 2]
['12:26:23', '', "(MC,203.329,(r)) (Jupiter,23.300,(c)) (opposition,2')", '', "(Moon,300.898,(r)) (ASC,240.819,(c)) (sextile,5')", "(ASC,257.965,(r)) (Moon,347.929,(d)) (square,2')", '', '', '', '', '', '', "(Sun,196.059,(r)) (MC,165.973,(c)) (30-semisextile,5')", '', '', '', 4]
['12:26:31', '', "(MC,203.365,(r)) (Jupiter,23.297,(c)) (opposition,4')", '', "(Moon,300.899,(r)) (ASC,240.843,(c)) (sextile,3')", '', '', '', '', '', '', '', "(Sun,196.060,(r)) (MC,166.009,(c)) (30-semisextile,3')", '', '', "(Mean_Node,190.594,(r)) (MC,160.532,(c)) (30-semisextile,4')", 4]
['12:26:39', '', "(MC,203.400,(r)) (Jupiter,23.295,(c)) (opposition,6')", '', "(Moon,300.901,(r)) (ASC,240.867,(c)) (sextile,2')", '', "(ASC,258.018,(r)) (Saturn,18.092,(c)) (trine,4')", '', '', '', '', '', "(Sun,196.060,(r)) (MC,166.045,(c)) (30-semisextile,1')", '', "(MC,203.400,(r)) (Uranus,23.543,(c)) (opposition,9')", "(Mean_Node,190.594,(r)) (MC,160.567,(c)) (30-semisextile,2')", 6]
['12:26:47', '', "(MC,203.436,(r)) (Jupiter,23.293,(c)) (opposition,9')", '', "(Moon,300.902,(r)) (ASC,240.890,(c)) (sextile,1')", '', "(ASC,258.045,(r)) (Saturn,18.090,(c)) (trine,3')", '', '', '', '', '', "(Sun,196.060,(r)) (MC,166.081,(c)) (30-semisextile,1')", '', "(MC,203.436,(r)) (Uranus,23.540,(c)) (opposition,6')", "(Mean_Node,190.594,(r)) (MC,160.603,(c)) (30-semisextile,1')", 6]
['12:26:56', '', '', '', "(Moon,300.903,(r)) (ASC,240.914,(c)) (sextile,1')", '', "(ASC,258.072,(r)) (Saturn,18.087,(c)) (trine,1')", '', '', '', '', "(MC,203.471,(r)) (Mercury,248.556,(d)) (45-semisquare,5')", "(Sun,196.060,(r)) (MC,166.117,(c)) (30-semisextile,3')", '', "(MC,203.471,(r)) (Uranus,23.536,(c)) (opposition,4')", "(Mean_Node,190.594,(r)) (MC,160.639,(c)) (30-semisextile,3')", 6]
['12:27:04', '', '', '', "(MC,203.507,(r)) (Moon,338.568,(d)) (135-sesquisquare,4')\n(Moon,300.904,(r)) (ASC,240.938,(c)) (sextile,2')\n(Jupiter,43.714,(r)) (MC,178.650,(c)) (135-sesquisquare,4')", '', "(ASC,258.098,(r)) (Saturn,18.084,(c)) (trine,1')", '', '', '', '', "(MC,203.507,(r)) (Mercury,248.560,(d)) (45-semisquare,3')", "(Sun,196.060,(r)) (MC,166.153,(c)) (30-semisextile,6')", '', "(MC,203.507,(r)) (Uranus,23.532,(c)) (opposition,2')", "(Mean_Node,190.594,(r)) (MC,160.675,(c)) (30-semisextile,5')", 8]
['12:27:11', '', '', '', "(MC,203.542,(r)) (Moon,338.532,(d)) (135-sesquisquare,1')\n(Moon,300.905,(r)) (ASC,240.962,(c)) (sextile,3')\n(Jupiter,43.714,(r)) (MC,178.687,(c)) (135-sesquisquare,2')", '', "(ASC,258.125,(r)) (Saturn,18.082,(c)) (trine,3')", '', '', '', '', "(MC,203.542,(r)) (Mercury,248.564,(d)) (45-semisquare,1')", '', '', "(MC,203.542,(r)) (Uranus,23.528,(c)) (opposition,1')", '', 6]
['12:27:19', '', '', '', "(MC,203.578,(r)) (Moon,338.497,(d)) (135-sesquisquare,5')\n(Sun,196.060,(r)) (ASC,240.985,(c)) (45-semisquare,4')\n(Moon,300.906,(r)) (ASC,240.985,(c)) (sextile,5')\n(Jupiter,43.714,(r)) (MC,178.723,(c)) (135-sesquisquare,1')", '', "(ASC,258.152,(r)) (Saturn,18.079,(c)) (trine,4')", '', '', '', "(Uranus,55.558,(r)) (ASC,235.387,(c)) (opposition,10')", "(MC,203.578,(r)) (Mercury,248.568,(d)) (45-semisquare,1')", '', '', "(MC,203.578,(r)) (Uranus,23.525,(c)) (opposition,3')", '', 8]
['12:27:27', '', '', '', "(Sun,196.060,(r)) (ASC,241.009,(c)) (45-semisquare,3')\n(Jupiter,43.714,(r)) (MC,178.760,(c)) (135-sesquisquare,3')", "(ASC,258.178,(r)) (Sun,168.244,(c)) (square,4')", '', '', '', '', "(Uranus,55.558,(r)) (ASC,235.411,(c)) (opposition,9')", "(MC,203.613,(r)) (Mercury,248.572,(d)) (45-semisquare,2')", '', '', "(MC,203.613,(r)) (Uranus,23.521,(c)) (opposition,6')", '', 6]
['12:27:35', '', '', '', "(Sun,196.060,(r)) (ASC,241.033,(c)) (45-semisquare,2')\n(Jupiter,43.714,(r)) (MC,178.796,(c)) (135-sesquisquare,5')", "(ASC,258.205,(r)) (Sun,168.237,(c)) (square,2')", '', '', '', '', "(Uranus,55.558,(r)) (ASC,235.434,(c)) (opposition,7')", "(MC,203.649,(r)) (Mercury,248.576,(d)) (45-semisquare,4')", '', '', "(MC,203.649,(r)) (Uranus,23.517,(c)) (opposition,8')", '', 6]
['12:27:43', '', '', '', "(Sun,196.060,(r)) (ASC,241.057,(c)) (45-semisquare,0')", "(ASC,258.232,(r)) (Sun,168.230,(c)) (square,0')", '', "(MC,203.684,(r)) (Saturn,68.759,(d)) (135-sesquisquare,5')", '', '', "(Uranus,55.558,(r)) (ASC,235.457,(c)) (opposition,6')", '', '', '', "(MC,203.684,(r)) (Uranus,23.513,(c)) (opposition,10')", '', 5]
['12:27:51', '', '', '', "(Sun,196.061,(r)) (ASC,241.080,(c)) (45-semisquare,1')", "(ASC,258.258,(r)) (Sun,168.223,(c)) (square,2')", '', "(MC,203.720,(r)) (Saturn,68.763,(d)) (135-sesquisquare,3')", '', '', "(Uranus,55.558,(r)) (ASC,235.481,(c)) (opposition,5')", '', '', '', "(MC,203.720,(r)) (Moon,248.796,(c)) (45-semisquare,5')", '', 5]
['12:27:59', '', '', '', "(Sun,196.061,(r)) (ASC,241.104,(c)) (45-semisquare,3')", "(ASC,258.285,(r)) (Sun,168.216,(c)) (square,4')", '', "(MC,203.755,(r)) (Saturn,68.766,(d)) (135-sesquisquare,1')", '', '', "(Uranus,55.558,(r)) (ASC,235.504,(c)) (opposition,3')", '', '', '', "(MC,203.755,(r)) (Moon,248.804,(c)) (45-semisquare,3')", '', 5]
['12:28:07', '', '', '', "(Sun,196.061,(r)) (ASC,241.128,(c)) (45-semisquare,4')", "(Uranus,55.558,(r)) (ASC,280.500,(d)) (135-sesquisquare,3')", '', "(MC,203.791,(r)) (Saturn,68.770,(d)) (135-sesquisquare,1')", '', '', "(Uranus,55.558,(r)) (ASC,235.527,(c)) (opposition,2')", '', '', '', "(MC,203.791,(r)) (Moon,248.812,(c)) (45-semisquare,1')", '', 5]
['12:28:15', '', '', '', "(Sun,196.061,(r)) (ASC,241.152,(c)) (45-semisquare,5')", "(Uranus,55.558,(r)) (ASC,280.536,(d)) (135-sesquisquare,1')", '', "(MC,203.826,(r)) (Saturn,68.774,(d)) (135-sesquisquare,3')", '', '', "(Uranus,55.558,(r)) (ASC,235.550,(c)) (opposition,0')", '', '', '', "(MC,203.826,(r)) (Moon,248.819,(c)) (45-semisquare,0')", '', 5]
['12:28:23', '', '', '', '', "(Uranus,55.558,(r)) (ASC,280.572,(d)) (135-sesquisquare,1')", '', "(MC,203.862,(r)) (Saturn,68.777,(d)) (135-sesquisquare,5')", '', '', "(Uranus,55.558,(r)) (MC,235.385,(d)) (opposition,10')\n(Uranus,55.558,(r)) (ASC,235.574,(c)) (opposition,1')", '', '', '', "(MC,203.862,(r)) (Moon,248.827,(c)) (45-semisquare,2')", '', 5]
['12:28:31', '', '', '', '', "(Uranus,55.558,(r)) (ASC,280.608,(d)) (135-sesquisquare,3')", "(MC,203.897,(r)) (Neptune,143.974,(c)) (sextile,5')", '', '', '', "(Uranus,55.558,(r)) (MC,235.418,(d)) (opposition,8')\n(Uranus,55.558,(r)) (ASC,235.597,(c)) (opposition,2')", '', '', '', "(MC,203.897,(r)) (Moon,248.835,(c)) (45-semisquare,4')", '', 5]
['12:28:39', '', '', '', '', "(Uranus,55.558,(r)) (ASC,280.644,(d)) (135-sesquisquare,5')", "(MC,203.933,(r)) (Neptune,143.967,(c)) (sextile,2')", '', '', '', "(Uranus,55.558,(r)) (MC,235.450,(d)) (opposition,6')\n(Uranus,55.558,(r)) (ASC,235.620,(c)) (opposition,4')", '', '', '', "(MC,203.933,(r)) (Moon,248.843,(c)) (45-semisquare,5')", '', 5]
['12:28:47', '', '', '', '', '', "(MC,203.968,(r)) (Neptune,143.961,(c)) (sextile,0')", '', '', '', "(Uranus,55.558,(r)) (MC,235.483,(d)) (opposition,5')\n(Uranus,55.558,(r)) (ASC,235.644,(c)) (opposition,5')", '', '', "(MC,203.968,(r)) (Mercury,249.051,(d)) (45-semisquare,5')", '', '', 4]
['12:28:55', '', '', '', '', '', "(MC,204.004,(r)) (Neptune,143.955,(c)) (sextile,3')", '', '', '', "(Uranus,55.558,(r)) (MC,235.515,(d)) (opposition,3')\n(Uranus,55.558,(r)) (ASC,235.667,(c)) (opposition,7')", '', '', "(MC,204.004,(r)) (Mercury,249.055,(d)) (45-semisquare,3')", '', '', 4]
['12:29:04', '', '', '', '', '', "(Saturn,43.229,(r)) (ASC,283.143,(d)) (trine,5')\n(MC,204.039,(r)) (Neptune,143.948,(c)) (sextile,5')", '', '', '', "(Uranus,55.558,(r)) (MC,235.548,(d)) (opposition,1')\n(Uranus,55.558,(r)) (ASC,235.690,(c)) (opposition,8')", '', '', "(MC,204.039,(r)) (Mercury,249.059,(d)) (45-semisquare,1')", "(Moon,300.922,(r)) (MC,165.844,(c)) (135-sesquisquare,5')", '', 6]
['12:29:12', '', '', '', '', "(ASC,258.526,(r)) (Uranus,33.591,(c)) (135-sesquisquare,4')", "(Saturn,43.229,(r)) (ASC,283.180,(d)) (trine,3')", '', '', '', "(Uranus,55.558,(r)) (MC,235.580,(d)) (opposition,1')\n(Uranus,55.558,(r)) (ASC,235.713,(c)) (opposition,9')", '', '', "(MC,204.075,(r)) (Mercury,249.063,(d)) (45-semisquare,1')", "(Moon,300.923,(r)) (MC,165.880,(c)) (135-sesquisquare,3')", '', 6]
['12:29:20', '', "(Moon,300.924,(r)) (MC,180.835,(c)) (trine,5')", '', '', "(ASC,258.553,(r)) (Uranus,33.589,(c)) (135-sesquisquare,2')", "(Saturn,43.229,(r)) (ASC,283.218,(d)) (trine,1')\n(MC,204.110,(r)) (Mean_Node,159.165,(c)) (45-semisquare,3')", '', '', '', "(Uranus,55.558,(r)) (MC,235.613,(d)) (opposition,3')\n(Uranus,55.558,(r)) (ASC,235.737,(c)) (opposition,11')", '', '', "(MC,204.110,(r)) (Mercury,249.067,(d)) (45-semisquare,3')", "(Moon,300.924,(r)) (MC,165.916,(c)) (135-sesquisquare,0')", '', 8]
['12:29:28', '', "(Moon,300.925,(r)) (MC,180.871,(c)) (trine,3')", '', '', "(ASC,258.579,(r)) (Uranus,33.586,(c)) (135-sesquisquare,0')", "(Saturn,43.229,(r)) (ASC,283.255,(d)) (trine,2')\n(MC,204.146,(r)) (Mean_Node,159.157,(c)) (45-semisquare,1')", '', '', '', "(Uranus,55.558,(r)) (MC,235.645,(d)) (opposition,5')", '', '', "(MC,204.146,(r)) (Mercury,249.071,(d)) (45-semisquare,4')", "(Moon,300.925,(r)) (MC,165.952,(c)) (135-sesquisquare,2')", "(MC,204.146,(r)) (Mean_Node,144.232,(c)) (sextile,5')", 8]
['12:29:36', '', "(Moon,300.926,(r)) (MC,180.907,(c)) (trine,1')", '', '', "(ASC,258.606,(r)) (Uranus,33.584,(c)) (135-sesquisquare,1')", "(Saturn,43.229,(r)) (ASC,283.293,(d)) (trine,4')\n(MC,204.181,(r)) (Mean_Node,159.149,(c)) (45-semisquare,2')", '', '', '', "(Uranus,55.558,(r)) (MC,235.678,(d)) (opposition,7')\n(ASC,258.606,(r)) (Neptune,138.683,(c)) (trine,5')", '', '', '', "(Moon,300.926,(r)) (MC,165.988,(c)) (135-sesquisquare,4')", "(MC,204.181,(r)) (Mean_Node,144.222,(c)) (sextile,2')", 8]
['12:29:44', '', "(Moon,300.927,(r)) (MC,180.944,(c)) (trine,1')", '', '', "(ASC,258.633,(r)) (Uranus,33.582,(c)) (135-sesquisquare,3')", "(MC,204.217,(r)) (Mean_Node,159.142,(c)) (45-semisquare,4')", '', '', '', "(Uranus,55.558,(r)) (MC,235.710,(d)) (opposition,9')\n(ASC,258.633,(r)) (Neptune,138.676,(c)) (trine,3')", '', '', '', '', "(MC,204.217,(r)) (Mean_Node,144.211,(c)) (sextile,0')", 6]
['12:29:52', '', "(Moon,300.929,(r)) (MC,180.980,(c)) (trine,3')", '', '', "(ASC,258.660,(r)) (Uranus,33.579,(c)) (135-sesquisquare,5')", '', '', '', '', "(ASC,258.660,(r)) (Neptune,138.668,(c)) (trine,1')", '', '', '', '', "(MC,204.252,(r)) (Mean_Node,144.200,(c)) (sextile,3')", 4]
['12:30:00', '', "(Moon,300.930,(r)) (MC,181.017,(c)) (trine,5')", '', '', '', '', '', '', '', "(ASC,258.687,(r)) (Neptune,138.661,(c)) (trine,2')", '', '', '', '', '', 2]
['12:30:08', '', '', '', '', '', '', '', '', '', "(ASC,258.713,(r)) (Neptune,138.654,(c)) (trine,4')", '', '', '', '', "(Pluto,124.186,(r)) (MC,244.102,(d)) (trine,5')", 2]
['12:30:16', "(Mean_Node,190.594,(r)) (MC,220.514,(d)) (30-semisextile,5')", '', '', '', '', '', '', '', '', '', '', '', '', '', "(Pluto,124.186,(r)) (MC,244.134,(d)) (trine,3')", 2]
['12:30:24', "(Mean_Node,190.594,(r)) (MC,220.548,(d)) (30-semisextile,3')", '', '', '', '', '', '', '', '', '', '', '', '', '', "(Pluto,124.186,(r)) (MC,244.166,(d)) (trine,1')", 2]
['12:30:32', "(Mean_Node,190.594,(r)) (MC,220.582,(d)) (30-semisextile,1')", '', '', '', '', '', '', "(MC,204.429,(r)) (Jupiter,69.517,(d)) (135-sesquisquare,5')", '', "(Neptune,176.023,(r)) (ASC,235.947,(c)) (sextile,5')", '', '', '', '', "(Pluto,124.186,(r)) (MC,244.198,(d)) (trine,1')", 4]
['12:30:39', "(Mean_Node,190.594,(r)) (MC,220.616,(d)) (30-semisextile,1')", '', '', '', '', '', '', "(MC,204.465,(r)) (Jupiter,69.520,(d)) (135-sesquisquare,3')", '', "(Neptune,176.023,(r)) (MC,235.938,(d)) (sextile,5')\n(Neptune,176.023,(r)) (ASC,235.970,(c)) (sextile,3')", '', '', '', '', "(Pluto,124.186,(r)) (MC,244.229,(d)) (trine,3')", 5]
['12:30:47', "(Mean_Node,190.594,(r)) (MC,220.650,(d)) (30-semisextile,3')", '', '', "(ASC,258.848,(r)) (Venus,123.935,(c)) (135-sesquisquare,5')", '', "(Neptune,176.023,(r)) (MC,175.856,(c)) (conjunction,10')", '', "(MC,204.500,(r)) (Jupiter,69.523,(d)) (135-sesquisquare,1')", '', "(Neptune,176.023,(r)) (MC,235.970,(d)) (sextile,3')\n(Neptune,176.023,(r)) (ASC,235.993,(c)) (sextile,2')", '', '', '', '', "(Pluto,124.186,(r)) (MC,244.261,(d)) (trine,5')", 7]
['12:30:56', "(Mean_Node,190.594,(r)) (MC,220.684,(d)) (30-semisextile,5')", '', '', "(ASC,258.875,(r)) (Venus,123.930,(c)) (135-sesquisquare,3')", '', "(Neptune,176.023,(r)) (MC,175.893,(c)) (conjunction,8')", '', "(MC,204.536,(r)) (Jupiter,69.526,(d)) (135-sesquisquare,1')", '', "(Neptune,176.023,(r)) (MC,236.003,(d)) (sextile,1')\n(Neptune,176.023,(r)) (ASC,236.017,(c)) (sextile,0')", '', '', '', '', '', 6]
['12:31:04', '', '', '', "(ASC,258.901,(r)) (Venus,123.926,(c)) (135-sesquisquare,1')", '', "(Neptune,176.023,(r)) (MC,175.929,(c)) (conjunction,6')", '', "(MC,204.571,(r)) (Jupiter,69.529,(d)) (135-sesquisquare,3')", '', "(Neptune,176.023,(r)) (MC,236.035,(d)) (sextile,1')\n(Neptune,176.023,(r)) (ASC,236.040,(c)) (sextile,1')", '', '', '', '', '', 5]
['12:31:12', '', '', "(Mars,182.529,(r)) (MC,227.455,(d)) (45-semisquare,4')", "(ASC,258.928,(r)) (Venus,123.921,(c)) (135-sesquisquare,0')", '', "(Neptune,176.023,(r)) (MC,175.966,(c)) (conjunction,3')", '', "(MC,204.606,(r)) (Jupiter,69.532,(d)) (135-sesquisquare,4')", '', "(Neptune,176.023,(r)) (MC,236.068,(d)) (sextile,3')\n(Neptune,176.023,(r)) (ASC,236.063,(c)) (sextile,2')", '', '', '', '', '', 6]
['12:31:20', "(Mars,182.529,(r)) (ASC,272.454,(d)) (square,4')", '', "(Mars,182.529,(r)) (MC,227.488,(d)) (45-semisquare,2')", "(ASC,258.955,(r)) (Venus,123.916,(c)) (135-sesquisquare,2')", '', "(Neptune,176.023,(r)) (MC,176.002,(c)) (conjunction,1')", '', '', '', "(Neptune,176.023,(r)) (MC,236.100,(d)) (sextile,5')\n(Neptune,176.023,(r)) (ASC,236.087,(c)) (sextile,4')", '', '', "(MC,204.642,(r)) (Uranus,24.816,(c)) (opposition,10')", '', '', 7]
['12:31:28', "(Mars,182.529,(r)) (ASC,272.486,(d)) (square,3')", '', "(Mars,182.529,(r)) (MC,227.521,(d)) (45-semisquare,0')", "(ASC,258.982,(r)) (Venus,123.911,(c)) (135-sesquisquare,4')", '', "(Neptune,176.023,(r)) (MC,176.038,(c)) (conjunction,1')", '', '', "(Mercury,218.284,(r)) (MC,173.210,(c)) (45-semisquare,4')", "(Neptune,176.023,(r)) (ASC,236.110,(c)) (sextile,5')", '', '', "(MC,204.677,(r)) (Uranus,24.812,(c)) (opposition,8')", '', '', 7]
['12:31:36', "(Mars,182.529,(r)) (ASC,272.518,(d)) (square,1')", '', "(Mars,182.529,(r)) (MC,227.554,(d)) (45-semisquare,2')", '', '', "(Neptune,176.023,(r)) (MC,176.075,(c)) (conjunction,3')", '', '', "(ASC,259.009,(r)) (Neptune,214.101,(d)) (45-semisquare,5')\n(Mercury,218.284,(r)) (MC,173.246,(c)) (45-semisquare,2')", '', '', '', "(MC,204.713,(r)) (Uranus,24.809,(c)) (opposition,6')", '', '', 6]
['12:31:44', "(Mars,182.529,(r)) (ASC,272.550,(d)) (square,1')", '', "(Mars,182.529,(r)) (MC,227.588,(d)) (45-semisquare,4')", '', '', "(Neptune,176.023,(r)) (MC,176.111,(c)) (conjunction,5')", '', '', "(ASC,259.036,(r)) (Neptune,214.110,(d)) (45-semisquare,4')\n(Mercury,218.285,(r)) (MC,173.283,(c)) (45-semisquare,0')", '', '', '', "(MC,204.748,(r)) (Uranus,24.805,(c)) (opposition,3')", "(ASC,259.036,(r)) (Moon,229.106,(d)) (30-semisextile,4')", '', 7]
