['Time', 'Event0', 'Event1', 'Event2', 'Event3', 'Event4', 'Event5', 'Event6', 'Event7', 'Event8', 'Event9', 'Event10', 'Event11', 'Event12', 'Event13', 'Event14', 'Count']
['23:03:28', '', '', "(Jupiter,43.773,(r)) (ASC,133.831,(d)) (square,3')", '', '', "(ASC,118.398,(r)) (Sun,208.448,(d)) (square,3')", '', '', '', '', '', '', "(MC,0.331,(r)) (Uranus,90.335,(d)) (square,0')", "(ASC,118.398,(r)) (Jupiter,178.452,(c)) (sextile,3')", "(Mean_Node,190.623,(r)) (ASC,145.687,(d)) (45-semisquare,4')", 5]
['23:03:36', '', '', "(Jupiter,43.773,(r)) (ASC,133.854,(d)) (square,5')", '', '', "(ASC,118.421,(r)) (Sun,208.449,(d)) (square,2')", '', '', '', '', '', '', "(MC,0.368,(r)) (Uranus,90.333,(d)) (square,2')\n(ASC,118.421,(r)) (Sun,178.491,(c)) (sextile,4')", "(ASC,118.421,(r)) (Jupiter,178.461,(c)) (sextile,2')", "(Mean_Node,190.623,(r)) (ASC,145.710,(d)) (45-semisquare,5')", 6]
['23:03:44', "(Venus,152.345,(r)) (MC,17.261,(d)) (135-sesquisquare,5')", '', '', '', '', "(ASC,118.445,(r)) (Sun,208.451,(d)) (square,0')", '', '', '', '', '', '', "(MC,0.404,(r)) (Uranus,90.331,(d)) (square,4')\n(ASC,118.445,(r)) (Sun,178.490,(c)) (sextile,3')\n(MC,0.404,(r)) (Jupiter,0.574,(c)) (conjunction,10')", "(ASC,118.445,(r)) (Jupiter,178.470,(c)) (sextile,1')", '', 6]
['23:03:52', "(Venus,152.345,(r)) (MC,17.297,(d)) (135-sesquisquare,3')", '', '', '', '', "(ASC,118.469,(r)) (Sun,208.452,(d)) (square,1')", '', '', '', '', '', '', "(ASC,118.469,(r)) (Sun,178.488,(c)) (sextile,1')\n(MC,0.440,(r)) (Jupiter,0.582,(c)) (conjunction,8')", "(ASC,118.469,(r)) (Jupiter,178.479,(c)) (sextile,1')", '', 5]
['23:03:59', "(Venus,152.346,(r)) (MC,17.333,(d)) (135-sesquisquare,1')", "(Moon,293.831,(r)) (MC,23.763,(d)) (square,4')", '', '', '', "(ASC,118.493,(r)) (Sun,208.454,(d)) (square,2')", '', '', '', '', '', '', "(ASC,118.493,(r)) (Sun,178.487,(c)) (sextile,0')\n(MC,0.477,(r)) (Jupiter,0.590,(c)) (conjunction,7')", "(ASC,118.493,(r)) (Jupiter,178.487,(c)) (sextile,0')", '', 6]
['23:04:07', "(Venus,152.346,(r)) (MC,17.369,(d)) (135-sesquisquare,1')", "(Moon,293.832,(r)) (MC,23.799,(d)) (square,2')", '', '', '', "(ASC,118.517,(r)) (Sun,208.455,(d)) (square,4')", '', '', '', '', '', '', "(ASC,118.517,(r)) (Sun,178.485,(c)) (sextile,2')\n(MC,0.513,(r)) (Jupiter,0.599,(c)) (conjunction,5')", "(ASC,118.517,(r)) (Jupiter,178.496,(c)) (sextile,1')", '', 6]
['23:04:15', "(Venus,152.346,(r)) (MC,17.405,(d)) (135-sesquisquare,4')", "(Moon,293.833,(r)) (MC,23.834,(d)) (square,0')", '', '', "(Sun,195.509,(r)) (ASC,135.419,(d)) (sextile,5')", "(ASC,118.540,(r)) (Sun,208.457,(d)) (square,5')", '', '', '', '', '', '', "(ASC,118.540,(r)) (Sun,178.484,(c)) (sextile,3')\n(MC,0.550,(r)) (Jupiter,0.607,(c)) (conjunction,3')", "(ASC,118.540,(r)) (Jupiter,178.505,(c)) (sextile,2')", '', 7]
['23:04:23', '', "(Moon,293.835,(r)) (MC,23.870,(d)) (square,2')", '', '', "(Sun,195.509,(r)) (ASC,135.442,(d)) (sextile,4')", '', '', '', '', '', '', '', "(ASC,118.564,(r)) (Sun,178.482,(c)) (sextile,5')\n(MC,0.586,(r)) (Jupiter,0.616,(c)) (conjunction,2')", "(ASC,118.564,(r)) (Jupiter,178.514,(c)) (sextile,3')", '', 5]
['23:04:31', '', "(Moon,293.836,(r)) (MC,23.905,(d)) (square,4')", '', '', "(Sun,195.509,(r)) (ASC,135.465,(d)) (sextile,3')\n(ASC,118.588,(r)) (Venus,163.665,(d)) (45-semisquare,5')", '', '', '', '', '', '', '', "(Venus,152.346,(r)) (ASC,92.282,(c)) (sextile,4')\n(MC,0.623,(r)) (Jupiter,0.624,(c)) (conjunction,0')", "(ASC,118.588,(r)) (Jupiter,178.523,(c)) (sextile,4')", '', 6]
['23:04:39', '', '', '', '', "(Sun,195.509,(r)) (ASC,135.488,(d)) (sextile,1')\n(ASC,118.612,(r)) (Venus,163.666,(d)) (45-semisquare,3')", '', '', '', '', '', '', '', "(Venus,152.346,(r)) (ASC,92.312,(c)) (sextile,2')\n(MC,0.659,(r)) (Jupiter,0.633,(c)) (conjunction,2')", "(ASC,118.612,(r)) (Jupiter,178.532,(c)) (sextile,5')", '', 5]
