['Time, Count, opp-conj: 0, sqr-tri-sext: 0, major: 0, minor: 0, empty: 20']
['10:51:36, 14, opp-conj: 3, sqr-tri-sext: 11, major: 14, minor: 0, empty: 10']
['20:04:14, 16, opp-conj: 4, sqr-tri-sext: 12, major: 16, minor: 0, empty: 11']
['05:50:46, 17, opp-conj: 6, sqr-tri-sext: 11, major: 17, minor: 0, empty: 9']
['21:41:28, 20, opp-conj: 4, sqr-tri-sext: 16, major: 20, minor: 0, empty: 6']
['11:26:38, 7, opp-conj: 0, sqr-tri-sext: 7, major: 7, minor: 0, empty: 13']
['11:26:22, 7, opp-conj: 0, sqr-tri-sext: 7, major: 7, minor: 0, empty: 13']
['08:51:20, 15, opp-conj: 5, sqr-tri-sext: 10, major: 15, minor: 0, empty: 10']
['11:05:28, 26, opp-conj: 8, sqr-tri-sext: 18, major: 26, minor: 0, empty: 3']
['21:37:20, 16, opp-conj: 4, sqr-tri-sext: 12, major: 16, minor: 0, empty: 8']
['01:03:02, 20, opp-conj: 4, sqr-tri-sext: 16, major: 20, minor: 0, empty: 4']
['01:40:00, 16, opp-conj: 5, sqr-tri-sext: 11, major: 16, minor: 0, empty: 9']
['20:00:08, 16, opp-conj: 6, sqr-tri-sext: 10, major: 16, minor: 0, empty: 9']
['20:00:08, 16, opp-conj: 6, sqr-tri-sext: 10, major: 16, minor: 0, empty: 9']
['11:44:32, 19, opp-conj: 7, sqr-tri-sext: 12, major: 19, minor: 0, empty: 7']
['11:45:52, 18, opp-conj: 5, sqr-tri-sext: 13, major: 18, minor: 0, empty: 8']
['11:06:16, 23, opp-conj: 8, sqr-tri-sext: 15, major: 23, minor: 0, empty: 5']
['05:33:04, 16, opp-conj: 3, sqr-tri-sext: 13, major: 16, minor: 0, empty: 8']
['12:23:51, 19, opp-conj: 4, sqr-tri-sext: 15, major: 19, minor: 0, empty: 10']
['23:19:44, 15, opp-conj: 4, sqr-tri-sext: 11, major: 15, minor: 0, empty: 9']
['18:19:44, 16, opp-conj: 5, sqr-tri-sext: 11, major: 16, minor: 0, empty: 8']
['23:02:23, 22, opp-conj: 3, sqr-tri-sext: 19, major: 22, minor: 0, empty: 5']
['23:02:38, 21, opp-conj: 3, sqr-tri-sext: 18, major: 21, minor: 0, empty: 6']
['18:30:00, 21, opp-conj: 6, sqr-tri-sext: 15, major: 21, minor: 0, empty: 4']
['15:00:30, 18, opp-conj: 4, sqr-tri-sext: 14, major: 18, minor: 0, empty: 7']
['21:50:14, 15, opp-conj: 3, sqr-tri-sext: 12, major: 15, minor: 0, empty: 10']
['04:44:56, 10, opp-conj: 3, sqr-tri-sext: 7, major: 10, minor: 0, empty: 11']
['15:00:07, 19, opp-conj: 4, sqr-tri-sext: 15, major: 19, minor: 0, empty: 7']
['18:37:20, 23, opp-conj: 4, sqr-tri-sext: 19, major: 23, minor: 0, empty: 7']
['18:26:38, 14, opp-conj: 5, sqr-tri-sext: 9, major: 14, minor: 0, empty: 10']
['21:37:27, 16, opp-conj: 4, sqr-tri-sext: 12, major: 16, minor: 0, empty: 8']
['10:51:44, 14, opp-conj: 3, sqr-tri-sext: 11, major: 14, minor: 0, empty: 10']
['10:51:52, 16, opp-conj: 3, sqr-tri-sext: 13, major: 16, minor: 0, empty: 9']
['07:10:38, 13, opp-conj: 4, sqr-tri-sext: 9, major: 13, minor: 0, empty: 11']
['17:14:22, 14, opp-conj: 3, sqr-tri-sext: 11, major: 14, minor: 0, empty: 9']
['11:45:04, 20, opp-conj: 7, sqr-tri-sext: 13, major: 20, minor: 0, empty: 6']
['19:30:46, 23, opp-conj: 7, sqr-tri-sext: 16, major: 23, minor: 0, empty: 3']
['00:30:56, 18, opp-conj: 3, sqr-tri-sext: 15, major: 18, minor: 0, empty: 8']
['03:03:04, 15, opp-conj: 3, sqr-tri-sext: 12, major: 15, minor: 0, empty: 7']
['11:46:00, 18, opp-conj: 5, sqr-tri-sext: 13, major: 18, minor: 0, empty: 8']
['21:41:04, 20, opp-conj: 4, sqr-tri-sext: 16, major: 20, minor: 0, empty: 6']
['11:26:46, 7, opp-conj: 0, sqr-tri-sext: 7, major: 7, minor: 0, empty: 13']
['18:29:52, 20, opp-conj: 6, sqr-tri-sext: 14, major: 20, minor: 0, empty: 4']
['23:57:52, 14, opp-conj: 5, sqr-tri-sext: 9, major: 14, minor: 0, empty: 8']
['11:05:36, 25, opp-conj: 8, sqr-tri-sext: 17, major: 25, minor: 0, empty: 4']
['17:54:24, 30, opp-conj: 4, sqr-tri-sext: 26, major: 30, minor: 0, empty: 4']
['18:20:08, 14, opp-conj: 5, sqr-tri-sext: 9, major: 14, minor: 0, empty: 8']
['05:50:30, 16, opp-conj: 6, sqr-tri-sext: 10, major: 16, minor: 0, empty: 9']
['13:33:04, 23, opp-conj: 9, sqr-tri-sext: 14, major: 23, minor: 0, empty: 8']
['07:29:44, 16, opp-conj: 3, sqr-tri-sext: 13, major: 16, minor: 0, empty: 8']
['03:02:56, 15, opp-conj: 3, sqr-tri-sext: 12, major: 15, minor: 0, empty: 7']
['05:54:24, 13, opp-conj: 4, sqr-tri-sext: 9, major: 13, minor: 0, empty: 10']
['01:39:50, 16, opp-conj: 5, sqr-tri-sext: 11, major: 16, minor: 0, empty: 9']
['23:16:22, 18, opp-conj: 6, sqr-tri-sext: 12, major: 18, minor: 0, empty: 8']
['11:25:52, 9, opp-conj: 1, sqr-tri-sext: 8, major: 9, minor: 0, empty: 11']
['00:30:39, 20, opp-conj: 3, sqr-tri-sext: 17, major: 20, minor: 0, empty: 9']
['11:26:00, 9, opp-conj: 1, sqr-tri-sext: 8, major: 9, minor: 0, empty: 11']
['17:56:16, 26, opp-conj: 6, sqr-tri-sext: 20, major: 26, minor: 0, empty: 5']
['01:03:10, 20, opp-conj: 4, sqr-tri-sext: 16, major: 20, minor: 0, empty: 4']
['21:36:56, 17, opp-conj: 3, sqr-tri-sext: 14, major: 17, minor: 0, empty: 7']
['18:30:16, 23, opp-conj: 7, sqr-tri-sext: 16, major: 23, minor: 0, empty: 4']
['20:04:30, 16, opp-conj: 5, sqr-tri-sext: 11, major: 16, minor: 0, empty: 11']
['01:39:42, 16, opp-conj: 5, sqr-tri-sext: 11, major: 16, minor: 0, empty: 9']
['21:50:22, 14, opp-conj: 3, sqr-tri-sext: 11, major: 14, minor: 0, empty: 10']
['05:32:48, 16, opp-conj: 3, sqr-tri-sext: 13, major: 16, minor: 0, empty: 7']
