['Time', '0: 1949-08-15', '1: 1952-01-21', '2: 1953-04-18', '3: 1953-06-25', '4: 1953-09-12', '5: 1956-08-23', '6: 1957-08-03', '7: 1957-11-27', '8: 1958-11-04', '9: 1960-11-25', '10: 1963-08-07', '11: 1963-08-09', '12: 1963-11-22', '13: 1964-06-15', '14: 1957-11-15', '15: 1968-03-15', '16: 1968-06-05', '17: 1968-10-20', '18: 1975-03-15', '19: 1994-05-20', 'Count']
['08:51:28', "(H10,6.543,(r)) (Moon,246.365,(cp)) (trine,11')", '1', '2', "(H5,223.142,(r)) (Mars,223.298,(dr)) (conjunction,9')", '4', "(H1,113.892,(r)) (Saturn,293.724,(cp)) (opposition,10')\n(H1,113.892,(r)) (Saturn,293.734,(cr)) (opposition,9')", "(Saturn,264.672,(r)) (Moon,144.571,(dp)) (trine,6')\n(Saturn,264.672,(r)) (Moon,265.090,(cr)) (conjunction,25')", "(Venus,81.332,(r)) (Moon,261.090,(cr)) (opposition,14')", "(H1,113.892,(r)) (Jupiter,204.029,(dp)) (square,8')\n(H1,113.892,(r)) (Jupiter,203.970,(dr)) (square,5')", '9', '10', "(H12,81.082,(r)) (Saturn,320.870,(dp)) (trine,13')\n(H12,81.082,(r)) (Saturn,320.874,(dr)) (trine,12')\n(Pluto,108.368,(r)) (Moon,198.308,(cr)) (square,4')", "(Mars,164.577,(r)) (Moon,224.848,(dp)) (sextile,16')\n(H12,81.082,(r)) (Saturn,320.849,(dp)) (trine,14')\n(H12,81.082,(r)) (Saturn,320.894,(dr)) (trine,11')", "(H12,81.082,(r)) (Saturn,320.933,(dr)) (trine,9')", '14', "(H1,113.892,(r)) (Moon,23.598,(dr)) (square,18')", '16', '17', '18', '19', 17]
['23:02:30', '0', "(H7,106.003,(r)) (Mars,106.090,(dr)) (conjunction,5')", '2', '3', "(Jupiter,69.426,(r)) (Moon,68.952,(cr)) (conjunction,28')", "(H8,149.387,(r)) (Mean_Node,209.483,(cp)) (sextile,6')\n(H8,149.387,(r)) (Mean_Node,209.490,(cr)) (sextile,6')", "(H8,149.387,(r)) (Pluto,149.296,(dp)) (conjunction,5')\n(H8,149.387,(r)) (Pluto,149.295,(dr)) (conjunction,6')", '7', "(Uranus,11.336,(r)) (Moon,131.456,(cr)) (trine,7')", "(Mean_Node,47.254,(r)) (Moon,167.058,(dr)) (trine,12')\n(Mars,164.324,(r)) (Moon,224.058,(cp)) (sextile,16')", '10', "(H4,40.790,(r)) (Pluto,160.633,(dp)) (trine,9')\n(H4,40.790,(r)) (Pluto,160.631,(dr)) (trine,10')", "(H4,40.790,(r)) (Pluto,160.642,(dp)) (trine,9')\n(H4,40.790,(r)) (Pluto,160.623,(dr)) (trine,10')", "(H10,220.790,(r)) (Pluto,160.659,(dp)) (sextile,8')\n(H10,220.790,(r)) (Pluto,160.607,(dr)) (sextile,11')\n(H1,286.003,(r)) (Mercury,105.865,(cp)) (opposition,8')\n(H1,286.003,(r)) (Uranus,225.862,(cp)) (sextile,8')\n(H1,286.003,(r)) (Uranus,225.859,(cr)) (sextile,9')", '14', "(H1,286.003,(r)) (Mercury,106.019,(dp)) (opposition,1')", '16', '17', '18', "(H12,264.445,(r)) (Saturn,204.372,(cp)) (sextile,4')\n(H12,264.445,(r)) (Saturn,204.294,(cr)) (sextile,9')", 21]
['15:00:22', "(Jupiter,69.545,(r)) (Moon,249.625,(cp)) (opposition,5')", "(H10,97.796,(r)) (Mars,277.767,(cp)) (opposition,2')\n(H10,97.796,(r)) (Mars,277.912,(cr)) (opposition,7')", '2', '3', '4', '5', "(H12,161.297,(r)) (Saturn,281.498,(cp)) (trine,12')\n(H12,161.297,(r)) (Saturn,281.500,(cr)) (trine,12')", '7', "(H10,97.796,(r)) (Venus,97.870,(dr)) (conjunction,4')\n(H10,97.796,(r)) (Venus,97.593,(cr)) (conjunction,12')", '9', '10', '11', '12', '13', "(Moon,23.675,(r)) (Moon,143.717,(dr)) (trine,3')", '15', "(Pluto,108.374,(r)) (Moon,18.379,(cr)) (square,0')", '17', "(H7,6.724,(r)) (Neptune,246.955,(dp)) (trine,14')", '19', 10]
['17:14:15', "(Jupiter,69.561,(r)) (Moon,249.574,(cr)) (opposition,1')\n(H10,129.604,(r)) (Moon,249.574,(cr)) (trine,2')", "(Jupiter,69.561,(r)) (Moon,69.378,(dr)) (conjunction,11')", "(Jupiter,69.561,(r)) (Moon,189.377,(dr)) (trine,11')\n(Mars,164.793,(r)) (Moon,224.799,(cp)) (sextile,0')", "(Mean_Node,47.213,(r)) (Moon,227.417,(cp)) (opposition,12')", "(Jupiter,69.561,(r)) (Moon,339.611,(dp)) (square,3')\n(H7,33.140,(r)) (Mean_Node,303.013,(dp)) (square,8')\n(H7,33.140,(r)) (Mean_Node,303.027,(dr)) (square,7')", '5', "(Neptune,150.138,(r)) (Moon,149.831,(dp)) (conjunction,18')\n(Neptune,150.138,(r)) (Moon,269.858,(cp)) (trine,17')", "(Moon,24.906,(r)) (Moon,144.637,(dr)) (trine,16')\n(H1,213.140,(r)) (Venus,152.941,(dr)) (sextile,12')", '8', "(Sun,125.109,(r)) (Moon,184.891,(dp)) (sextile,13')", "(Mars,164.793,(r)) (Moon,224.863,(dr)) (sextile,4')", "(Mars,164.793,(r)) (Moon,224.799,(dr)) (sextile,0')\n(H5,342.666,(r)) (Neptune,222.893,(dp)) (trine,14')\n(H5,342.666,(r)) (Neptune,222.892,(dr)) (trine,14')", "(H5,342.666,(r)) (Neptune,222.893,(dp)) (trine,14')\n(H5,342.666,(r)) (Neptune,222.892,(dr)) (trine,14')\n(H8,61.688,(r)) (Mars,181.557,(dp)) (trine,8')", "(Uranus,11.329,(r)) (Moon,191.062,(cr)) (opposition,16')", "(Moon,24.906,(r)) (Moon,145.127,(dr)) (trine,13')\n(H9,94.480,(r)) (Moon,154.188,(dp)) (sextile,18')\n(H1,213.140,(r)) (Moon,273.398,(cp)) (sextile,15')", '15', '16', "(Mean_Node,47.213,(r)) (Moon,167.266,(dp)) (trine,3')", '18', "(Saturn,264.656,(r)) (Moon,264.480,(dp)) (conjunction,11')\n(H10,129.604,(r)) (Mean_Node,249.395,(dr)) (trine,13')\n(H12,190.492,(r)) (Neptune,10.537,(cp)) (opposition,3')\n(H12,190.492,(r)) (Neptune,10.549,(cr)) (opposition,3')", 30]
['15:00:14', "(Jupiter,69.545,(r)) (Moon,249.624,(cp)) (opposition,5')", "(H10,97.765,(r)) (Mars,277.767,(cp)) (opposition,0')\n(H10,97.765,(r)) (Mars,277.912,(cr)) (opposition,9')", '2', '3', '4', '5', "(H12,161.268,(r)) (Saturn,281.498,(cp)) (trine,14')\n(H12,161.268,(r)) (Saturn,281.500,(cr)) (trine,14')", '7', "(H10,97.765,(r)) (Venus,97.870,(dr)) (conjunction,6')\n(H10,97.765,(r)) (Venus,97.553,(cp)) (conjunction,13')\n(H10,97.765,(r)) (Venus,97.593,(cr)) (conjunction,10')", '9', '10', '11', '12', '13', "(Moon,23.673,(r)) (Moon,143.716,(dr)) (trine,3')", '15', "(Pluto,108.374,(r)) (Moon,18.378,(cr)) (square,0')", '17', '18', '19', 10]
['22:56:56', '0', '1', '2', '3', "(Jupiter,69.425,(r)) (Moon,68.903,(cr)) (conjunction,31')", "(H8,147.517,(r)) (Neptune,207.738,(dp)) (sextile,13')\n(H8,147.517,(r)) (Pluto,147.513,(dp)) (conjunction,0')\n(H8,147.517,(r)) (Neptune,207.736,(dr)) (sextile,13')\n(H8,147.517,(r)) (Pluto,147.508,(dr)) (conjunction,1')", "(H12,263.196,(r)) (Mars,143.004,(dp)) (trine,12')\n(H12,263.196,(r)) (Mars,142.982,(dr)) (trine,13')", "(H5,62.758,(r)) (Venus,152.828,(dp)) (square,4')", "(Uranus,11.336,(r)) (Moon,131.408,(cr)) (trine,4')\n(H3,8.665,(r)) (Uranus,248.635,(cp)) (trine,2')\n(H3,8.665,(r)) (Uranus,248.644,(cr)) (trine,1')", "(Mean_Node,47.254,(r)) (Moon,167.010,(dr)) (trine,15')", '10', '11', '12', '13', '14', '15', "(H1,284.534,(r)) (Saturn,164.638,(cr)) (trine,6')", '17', '18', '19', 13]
['18:29:44', "(Uranus,11.329,(r)) (Moon,251.486,(cp)) (trine,9')", "(Jupiter,69.571,(r)) (Moon,70.004,(dr)) (conjunction,26')\n(Sun,125.159,(r)) (Moon,5.129,(cp)) (trine,2')", "(H7,47.911,(r)) (Jupiter,47.997,(dr)) (conjunction,5')", "(H7,47.911,(r)) (Jupiter,47.974,(dr)) (conjunction,4')", "(H7,47.911,(r)) (Mars,228.099,(cp)) (opposition,11')\n(H7,47.911,(r)) (Mars,227.993,(cr)) (opposition,5')", '5', "(Neptune,150.140,(r)) (Moon,150.620,(dp)) (conjunction,29')\n(Neptune,150.140,(r)) (Moon,150.160,(dr)) (conjunction,1')\n(Neptune,150.140,(r)) (Moon,270.133,(cr)) (trine,0')", "(Moon,25.601,(r)) (Moon,145.432,(dr)) (trine,10')\n(H4,328.826,(r)) (Venus,148.926,(cp)) (opposition,6')", '8', '9', '10', "(Saturn,264.653,(r)) (Moon,204.759,(cp)) (sextile,6')", '12', "(Uranus,11.329,(r)) (Moon,191.807,(cr)) (opposition,29')\n(H10,148.826,(r)) (Mars,148.779,(cr)) (conjunction,3')", "(H10,148.826,(r)) (Mercury,148.768,(dp)) (conjunction,4')", '15', '16', '17', '18', "(Saturn,264.653,(r)) (Moon,265.166,(dp)) (conjunction,31')\n(Mean_Node,47.211,(r)) (Moon,167.087,(cr)) (trine,7')", 18]
['08:51:36', "(H10,6.579,(r)) (Mercury,126.780,(dr)) (trine,12')\n(H10,6.579,(r)) (Moon,246.366,(cp)) (trine,13')", '1', "(H5,223.179,(r)) (Mars,223.381,(dr)) (conjunction,12')", "(H5,223.179,(r)) (Mars,223.298,(dr)) (conjunction,7')", '4', "(H1,113.919,(r)) (Saturn,293.724,(cp)) (opposition,12')\n(H1,113.919,(r)) (Saturn,293.734,(cr)) (opposition,11')", "(Saturn,264.672,(r)) (Moon,144.572,(dp)) (trine,6')\n(Saturn,264.672,(r)) (Moon,265.091,(cr)) (conjunction,25')", "(Venus,81.332,(r)) (Moon,261.092,(cr)) (opposition,14')", "(H1,113.919,(r)) (Jupiter,204.029,(dp)) (square,7')\n(H1,113.919,(r)) (Jupiter,203.970,(dr)) (square,3')", '9', '10', "(Pluto,108.368,(r)) (Moon,198.310,(cr)) (square,3')", "(Mars,164.577,(r)) (Moon,224.849,(dp)) (sextile,16')\n(H12,81.114,(r)) (Saturn,320.894,(dr)) (trine,13')", "(H12,81.114,(r)) (Saturn,320.933,(dr)) (trine,11')", '14', '15', '16', '17', '18', '19', 15]
['11:26:30', '0', '1', '2', "(H5,262.650,(r)) (Mean_Node,322.421,(dr)) (sextile,14')", '4', '5', '6', "(H5,262.650,(r)) (Moon,262.428,(cr)) (conjunction,13')", "(H1,144.455,(r)) (Moon,144.435,(cp)) (conjunction,1')", "(H1,144.455,(r)) (Jupiter,264.583,(dp)) (trine,8')\n(H1,144.455,(r)) (Jupiter,264.629,(dr)) (trine,10')", '10', '11', "(Saturn,264.667,(r)) (Moon,204.624,(cp)) (sextile,3')", "(Mercury,121.781,(r)) (Moon,211.950,(dr)) (square,10')\n(H9,14.377,(r)) (Mercury,104.216,(cr)) (square,10')", "(Moon,21.713,(r)) (Moon,141.465,(dr)) (trine,15')", "(H10,47.342,(r)) (Jupiter,347.337,(cp)) (sextile,0')\n(H10,47.342,(r)) (Jupiter,347.417,(cr)) (sextile,5')", '16', '17', "(H8,346.833,(r)) (Mean_Node,256.824,(dp)) (square,0')\n(H8,346.833,(r)) (Mean_Node,256.891,(dr)) (square,4')", "(H1,144.455,(r)) (Saturn,204.397,(cp)) (sextile,3')\n(H1,144.455,(r)) (Saturn,204.318,(cr)) (sextile,8')", 15]
['11:45:36', '0', '1', '2', '3', '4', '5', "(H12,119.754,(r)) (Neptune,209.902,(dp)) (square,9')\n(H12,119.754,(r)) (Neptune,209.902,(dr)) (square,9')", "(Venus,81.464,(r)) (Moon,141.176,(dr)) (sextile,17')", '8', '9', '10', '11', "(Saturn,264.666,(r)) (Moon,204.807,(cp)) (sextile,8')", "(Mercury,121.809,(r)) (Moon,212.108,(dr)) (square,18')", "(Moon,21.888,(r)) (Moon,141.666,(dr)) (trine,13')\n(H1,148.194,(r)) (Mercury,148.346,(dp)) (conjunction,9')", "(H10,52.076,(r)) (Uranus,171.884,(dp)) (trine,12')", '16', "(Mars,164.652,(r)) (Moon,164.251,(dp)) (conjunction,24')", "(H12,119.754,(r)) (Mars,179.790,(cp)) (sextile,2')", "(Neptune,150.130,(r)) (Moon,239.884,(dr)) (square,15')", 11]
