['Time, Count, opp/conj: 0', 'sqr/tri/sext: 0', 'major: 0', 'minor: 0']
['23:18:32, 1, opp/conj: 1', 'sqr/tri/sext: 0', 'major: 1', 'minor: 0']
['23:18:40, 2, opp/conj: 1', 'sqr/tri/sext: 1', 'major: 2', 'minor: 0']
['23:18:48, 2, opp/conj: 1', 'sqr/tri/sext: 1', 'major: 2', 'minor: 0']
['23:18:56, 2, opp/conj: 1', 'sqr/tri/sext: 1', 'major: 2', 'minor: 0']
['23:19:04, 3, opp/conj: 1', 'sqr/tri/sext: 1', 'major: 2', 'minor: 0']
['23:19:12, 4, opp/conj: 1', 'sqr/tri/sext: 1', 'major: 2', 'minor: 1']
['23:19:20, 4, opp/conj: 1', 'sqr/tri/sext: 0', 'major: 1', 'minor: 2']
['23:19:28, 5, opp/conj: 1', 'sqr/tri/sext: 1', 'major: 2', 'minor: 2']
['23:19:36, 5, opp/conj: 1', 'sqr/tri/sext: 1', 'major: 2', 'minor: 2']
['23:19:44, 5, opp/conj: 1', 'sqr/tri/sext: 1', 'major: 2', 'minor: 2']
['23:19:52, 4, opp/conj: 0', 'sqr/tri/sext: 1', 'major: 1', 'minor: 2']
['23:20:00, 4, opp/conj: 0', 'sqr/tri/sext: 2', 'major: 2', 'minor: 2']
['23:20:08, 4, opp/conj: 0', 'sqr/tri/sext: 2', 'major: 2', 'minor: 2']
['23:20:16, 4, opp/conj: 0', 'sqr/tri/sext: 1', 'major: 1', 'minor: 2']
['23:20:24, 4, opp/conj: 0', 'sqr/tri/sext: 1', 'major: 1', 'minor: 2']
['23:20:32, 4, opp/conj: 0', 'sqr/tri/sext: 1', 'major: 1', 'minor: 3']
['23:20:40, 4, opp/conj: 0', 'sqr/tri/sext: 2', 'major: 2', 'minor: 2']
['23:20:48, 4, opp/conj: 0', 'sqr/tri/sext: 2', 'major: 2', 'minor: 2']
['23:20:56, 5, opp/conj: 0', 'sqr/tri/sext: 2', 'major: 2', 'minor: 3']
['23:21:04, 5, opp/conj: 0', 'sqr/tri/sext: 2', 'major: 2', 'minor: 3']
['23:21:12, 4, opp/conj: 0', 'sqr/tri/sext: 2', 'major: 2', 'minor: 2']
['23:21:20, 4, opp/conj: 0', 'sqr/tri/sext: 3', 'major: 3', 'minor: 1']
['23:21:28, 5, opp/conj: 0', 'sqr/tri/sext: 4', 'major: 4', 'minor: 1']
['23:21:36, 5, opp/conj: 0', 'sqr/tri/sext: 2', 'major: 2', 'minor: 2']
['23:21:44, 7, opp/conj: 0', 'sqr/tri/sext: 2', 'major: 2', 'minor: 3']
['23:21:52, 7, opp/conj: 0', 'sqr/tri/sext: 2', 'major: 2', 'minor: 3']
['23:22:00, 8, opp/conj: 0', 'sqr/tri/sext: 3', 'major: 3', 'minor: 3']
['23:22:08, 7, opp/conj: 0', 'sqr/tri/sext: 2', 'major: 2', 'minor: 3']
['23:22:16, 7, opp/conj: 0', 'sqr/tri/sext: 4', 'major: 4', 'minor: 2']
['23:22:24, 9, opp/conj: 0', 'sqr/tri/sext: 4', 'major: 4', 'minor: 4']
['23:22:32, 8, opp/conj: 0', 'sqr/tri/sext: 2', 'major: 2', 'minor: 5']
['23:22:39, 8, opp/conj: 0', 'sqr/tri/sext: 2', 'major: 2', 'minor: 4']
['23:22:47, 8, opp/conj: 0', 'sqr/tri/sext: 2', 'major: 2', 'minor: 4']
['23:22:56, 7, opp/conj: 1', 'sqr/tri/sext: 2', 'major: 3', 'minor: 4']
['23:23:04, 5, opp/conj: 1', 'sqr/tri/sext: 1', 'major: 2', 'minor: 3']
['23:23:12, 5, opp/conj: 1', 'sqr/tri/sext: 1', 'major: 2', 'minor: 3']
['23:23:20, 5, opp/conj: 1', 'sqr/tri/sext: 1', 'major: 2', 'minor: 3']
['23:23:28, 5, opp/conj: 1', 'sqr/tri/sext: 1', 'major: 2', 'minor: 3']
['23:23:36, 4, opp/conj: 1', 'sqr/tri/sext: 1', 'major: 2', 'minor: 2']
['23:23:44, 3, opp/conj: 1', 'sqr/tri/sext: 1', 'major: 2', 'minor: 1']
['23:23:52, 3, opp/conj: 1', 'sqr/tri/sext: 1', 'major: 2', 'minor: 1']
['23:24:00, 2, opp/conj: 1', 'sqr/tri/sext: 1', 'major: 2', 'minor: 0']
['23:24:08, 2, opp/conj: 1', 'sqr/tri/sext: 1', 'major: 2', 'minor: 0']
['23:24:16, 4, opp/conj: 1', 'sqr/tri/sext: 1', 'major: 2', 'minor: 2']
['23:24:23, 4, opp/conj: 2', 'sqr/tri/sext: 0', 'major: 2', 'minor: 2']
['23:24:31, 4, opp/conj: 1', 'sqr/tri/sext: 0', 'major: 1', 'minor: 3']
['23:24:39, 5, opp/conj: 1', 'sqr/tri/sext: 0', 'major: 1', 'minor: 4']
['23:24:47, 5, opp/conj: 1', 'sqr/tri/sext: 0', 'major: 1', 'minor: 4']
['23:24:56, 4, opp/conj: 1', 'sqr/tri/sext: 0', 'major: 1', 'minor: 3']
['23:25:04, 4, opp/conj: 1', 'sqr/tri/sext: 0', 'major: 1', 'minor: 3']
['23:25:12, 4, opp/conj: 1', 'sqr/tri/sext: 1', 'major: 2', 'minor: 2']
['23:25:20, 5, opp/conj: 1', 'sqr/tri/sext: 2', 'major: 3', 'minor: 2']
['23:25:28, 5, opp/conj: 1', 'sqr/tri/sext: 3', 'major: 4', 'minor: 1']
['23:25:36, 6, opp/conj: 2', 'sqr/tri/sext: 3', 'major: 5', 'minor: 1']
['23:25:44, 6, opp/conj: 2', 'sqr/tri/sext: 3', 'major: 5', 'minor: 1']
['23:25:52, 6, opp/conj: 2', 'sqr/tri/sext: 3', 'major: 5', 'minor: 1']
['23:26:00, 4, opp/conj: 2', 'sqr/tri/sext: 2', 'major: 4', 'minor: 0']
['23:26:07, 4, opp/conj: 2', 'sqr/tri/sext: 1', 'major: 3', 'minor: 1']
['23:26:15, 5, opp/conj: 2', 'sqr/tri/sext: 2', 'major: 4', 'minor: 1']
['23:26:23, 5, opp/conj: 2', 'sqr/tri/sext: 2', 'major: 4', 'minor: 1']
['23:26:31, 5, opp/conj: 2', 'sqr/tri/sext: 2', 'major: 4', 'minor: 1']
['23:26:39, 5, opp/conj: 2', 'sqr/tri/sext: 2', 'major: 4', 'minor: 1']
['23:26:47, 5, opp/conj: 2', 'sqr/tri/sext: 2', 'major: 4', 'minor: 1']
['23:26:56, 6, opp/conj: 2', 'sqr/tri/sext: 3', 'major: 5', 'minor: 1']
['23:27:04, 5, opp/conj: 1', 'sqr/tri/sext: 3', 'major: 4', 'minor: 1']
['23:27:12, 6, opp/conj: 1', 'sqr/tri/sext: 3', 'major: 4', 'minor: 2']
['23:27:20, 5, opp/conj: 0', 'sqr/tri/sext: 2', 'major: 2', 'minor: 2']
['23:27:28, 6, opp/conj: 0', 'sqr/tri/sext: 2', 'major: 2', 'minor: 2']
['23:27:36, 6, opp/conj: 0', 'sqr/tri/sext: 3', 'major: 3', 'minor: 2']
['23:27:44, 4, opp/conj: 0', 'sqr/tri/sext: 2', 'major: 2', 'minor: 1']
['23:27:51, 5, opp/conj: 0', 'sqr/tri/sext: 4', 'major: 4', 'minor: 1']
['23:27:59, 6, opp/conj: 0', 'sqr/tri/sext: 4', 'major: 4', 'minor: 1']
['23:28:07, 6, opp/conj: 0', 'sqr/tri/sext: 4', 'major: 4', 'minor: 0']
['23:28:15, 7, opp/conj: 0', 'sqr/tri/sext: 5', 'major: 5', 'minor: 0']
['23:28:23, 9, opp/conj: 0', 'sqr/tri/sext: 6', 'major: 6', 'minor: 1']
['23:28:31, 8, opp/conj: 0', 'sqr/tri/sext: 4', 'major: 4', 'minor: 2']
['23:28:39, 8, opp/conj: 0', 'sqr/tri/sext: 5', 'major: 5', 'minor: 0']
['23:28:47, 8, opp/conj: 1', 'sqr/tri/sext: 4', 'major: 5', 'minor: 1']
['23:28:56, 8, opp/conj: 1', 'sqr/tri/sext: 4', 'major: 5', 'minor: 1']
['23:29:04, 9, opp/conj: 1', 'sqr/tri/sext: 3', 'major: 4', 'minor: 3']
['23:29:12, 7, opp/conj: 1', 'sqr/tri/sext: 2', 'major: 3', 'minor: 3']
['23:29:20, 6, opp/conj: 1', 'sqr/tri/sext: 2', 'major: 3', 'minor: 2']
['23:29:28, 3, opp/conj: 1', 'sqr/tri/sext: 0', 'major: 1', 'minor: 2']
['23:29:36, 3, opp/conj: 1', 'sqr/tri/sext: 0', 'major: 1', 'minor: 1']
['23:29:44, 4, opp/conj: 1', 'sqr/tri/sext: 1', 'major: 2', 'minor: 1']
['23:29:52, 4, opp/conj: 1', 'sqr/tri/sext: 1', 'major: 2', 'minor: 1']
['23:30:00, 4, opp/conj: 1', 'sqr/tri/sext: 1', 'major: 2', 'minor: 1']
['23:30:08, 3, opp/conj: 1', 'sqr/tri/sext: 1', 'major: 2', 'minor: 1']
['23:30:16, 3, opp/conj: 0', 'sqr/tri/sext: 1', 'major: 1', 'minor: 2']
['23:30:24, 3, opp/conj: 0', 'sqr/tri/sext: 0', 'major: 0', 'minor: 3']
['23:30:32, 6, opp/conj: 1', 'sqr/tri/sext: 2', 'major: 3', 'minor: 3']
['23:30:40, 7, opp/conj: 0', 'sqr/tri/sext: 3', 'major: 3', 'minor: 3']
['23:30:48, 7, opp/conj: 0', 'sqr/tri/sext: 3', 'major: 3', 'minor: 3']
['23:30:56, 7, opp/conj: 0', 'sqr/tri/sext: 4', 'major: 4', 'minor: 2']
['23:31:04, 6, opp/conj: 0', 'sqr/tri/sext: 4', 'major: 4', 'minor: 1']
