['Time, Count, opp/conj: 0', 'sqr/tri/sext: 0', 'major: 0', 'minor: 0']
['20:10:08, 253, opp/conj: 4', 'sqr/tri/sext: 8', 'major: 12', 'minor: 4']
['20:10:16, 280, opp/conj: 3', 'sqr/tri/sext: 11', 'major: 14', 'minor: 5']
['20:10:24, 276, opp/conj: 3', 'sqr/tri/sext: 11', 'major: 14', 'minor: 5']
['20:10:32, 252, opp/conj: 3', 'sqr/tri/sext: 10', 'major: 13', 'minor: 4']
['20:10:40, 240, opp/conj: 3', 'sqr/tri/sext: 9', 'major: 12', 'minor: 4']
['20:10:47, 290, opp/conj: 3', 'sqr/tri/sext: 12', 'major: 15', 'minor: 5']
['20:10:56, 289, opp/conj: 4', 'sqr/tri/sext: 11', 'major: 15', 'minor: 4']
['20:11:04, 254, opp/conj: 3', 'sqr/tri/sext: 10', 'major: 13', 'minor: 4']
['20:11:12, 327, opp/conj: 4', 'sqr/tri/sext: 13', 'major: 17', 'minor: 4']
['20:11:20, 269, opp/conj: 4', 'sqr/tri/sext: 9', 'major: 13', 'minor: 5']
['20:11:28, 305, opp/conj: 4', 'sqr/tri/sext: 12', 'major: 16', 'minor: 4']
['20:11:36, 325, opp/conj: 4', 'sqr/tri/sext: 14', 'major: 18', 'minor: 3']
['20:11:44, 312, opp/conj: 4', 'sqr/tri/sext: 11', 'major: 15', 'minor: 8']
['20:11:52, 326, opp/conj: 4', 'sqr/tri/sext: 11', 'major: 15', 'minor: 10']
['20:12:00, 245, opp/conj: 3', 'sqr/tri/sext: 8', 'major: 11', 'minor: 9']
['20:12:08, 277, opp/conj: 3', 'sqr/tri/sext: 7', 'major: 10', 'minor: 16']
['20:12:16, 281, opp/conj: 3', 'sqr/tri/sext: 6', 'major: 9', 'minor: 18']
['20:12:24, 265, opp/conj: 3', 'sqr/tri/sext: 5', 'major: 8', 'minor: 17']
['20:12:31, 261, opp/conj: 2', 'sqr/tri/sext: 6', 'major: 8', 'minor: 17']
['20:12:39, 273, opp/conj: 2', 'sqr/tri/sext: 7', 'major: 9', 'minor: 17']
['20:12:47, 263, opp/conj: 2', 'sqr/tri/sext: 7', 'major: 9', 'minor: 16']
['20:12:56, 210, opp/conj: 1', 'sqr/tri/sext: 6', 'major: 7', 'minor: 14']
['20:13:04, 162, opp/conj: 2', 'sqr/tri/sext: 3', 'major: 5', 'minor: 11']
['20:13:12, 211, opp/conj: 2', 'sqr/tri/sext: 6', 'major: 8', 'minor: 11']
['20:13:20, 207, opp/conj: 2', 'sqr/tri/sext: 8', 'major: 10', 'minor: 6']
['20:13:28, 239, opp/conj: 2', 'sqr/tri/sext: 8', 'major: 10', 'minor: 11']
['20:13:36, 247, opp/conj: 2', 'sqr/tri/sext: 8', 'major: 10', 'minor: 12']
['20:13:44, 225, opp/conj: 2', 'sqr/tri/sext: 6', 'major: 8', 'minor: 14']
['20:13:52, 295, opp/conj: 3', 'sqr/tri/sext: 8', 'major: 11', 'minor: 16']
['20:14:00, 260, opp/conj: 3', 'sqr/tri/sext: 6', 'major: 9', 'minor: 15']
['20:14:08, 264, opp/conj: 3', 'sqr/tri/sext: 6', 'major: 9', 'minor: 15']
['20:14:15, 254, opp/conj: 3', 'sqr/tri/sext: 6', 'major: 9', 'minor: 13']
['20:14:23, 263, opp/conj: 3', 'sqr/tri/sext: 7', 'major: 10', 'minor: 12']
['20:14:31, 235, opp/conj: 3', 'sqr/tri/sext: 5', 'major: 8', 'minor: 13']
['20:14:39, 193, opp/conj: 3', 'sqr/tri/sext: 3', 'major: 6', 'minor: 12']
['20:14:47, 191, opp/conj: 3', 'sqr/tri/sext: 3', 'major: 6', 'minor: 12']
['20:14:56, 175, opp/conj: 3', 'sqr/tri/sext: 2', 'major: 5', 'minor: 12']
['20:15:04, 185, opp/conj: 3', 'sqr/tri/sext: 4', 'major: 7', 'minor: 11']
['20:15:12, 174, opp/conj: 3', 'sqr/tri/sext: 4', 'major: 7', 'minor: 9']
['20:15:20, 166, opp/conj: 3', 'sqr/tri/sext: 4', 'major: 7', 'minor: 8']
['20:15:28, 202, opp/conj: 2', 'sqr/tri/sext: 7', 'major: 9', 'minor: 8']
['20:15:36, 226, opp/conj: 2', 'sqr/tri/sext: 9', 'major: 11', 'minor: 7']
['20:15:44, 220, opp/conj: 2', 'sqr/tri/sext: 9', 'major: 11', 'minor: 6']
['20:15:51, 260, opp/conj: 2', 'sqr/tri/sext: 12', 'major: 14', 'minor: 8']
['20:15:59, 265, opp/conj: 3', 'sqr/tri/sext: 10', 'major: 13', 'minor: 9']
['20:16:07, 283, opp/conj: 3', 'sqr/tri/sext: 9', 'major: 12', 'minor: 14']
['20:16:15, 222, opp/conj: 2', 'sqr/tri/sext: 7', 'major: 9', 'minor: 14']
['20:16:23, 224, opp/conj: 2', 'sqr/tri/sext: 8', 'major: 10', 'minor: 12']
['20:16:31, 240, opp/conj: 2', 'sqr/tri/sext: 7', 'major: 9', 'minor: 14']
['20:16:39, 278, opp/conj: 2', 'sqr/tri/sext: 10', 'major: 12', 'minor: 12']
['20:16:47, 306, opp/conj: 2', 'sqr/tri/sext: 11', 'major: 13', 'minor: 13']
['20:16:56, 290, opp/conj: 2', 'sqr/tri/sext: 12', 'major: 14', 'minor: 8']
['20:17:04, 294, opp/conj: 2', 'sqr/tri/sext: 12', 'major: 14', 'minor: 9']
['20:17:12, 283, opp/conj: 2', 'sqr/tri/sext: 9', 'major: 11', 'minor: 12']
['20:17:20, 229, opp/conj: 2', 'sqr/tri/sext: 7', 'major: 9', 'minor: 10']
['20:17:28, 243, opp/conj: 2', 'sqr/tri/sext: 7', 'major: 9', 'minor: 12']
['20:17:36, 251, opp/conj: 2', 'sqr/tri/sext: 7', 'major: 9', 'minor: 13']
['20:17:44, 228, opp/conj: 1', 'sqr/tri/sext: 7', 'major: 8', 'minor: 12']
['20:17:52, 278, opp/conj: 1', 'sqr/tri/sext: 10', 'major: 11', 'minor: 11']
['20:18:00, 248, opp/conj: 1', 'sqr/tri/sext: 9', 'major: 10', 'minor: 10']
['20:18:08, 232, opp/conj: 1', 'sqr/tri/sext: 9', 'major: 10', 'minor: 8']
