['Time', 'Event0', 'Count']
['02:18:40', "(MC,51.660,(r)) (Venus,141.749,(c)) (square,5')", 1]
['02:18:48', "(MC,51.693,(r)) (Venus,141.750,(c)) (square,3')", 1]
['02:18:56', "(MC,51.726,(r)) (Venus,141.752,(c)) (square,2')", 1]
['02:19:04', "(MC,51.759,(r)) (Venus,141.754,(c)) (square,0')", 1]
['02:19:12', "(MC,51.792,(r)) (Venus,141.756,(c)) (square,2')", 1]
['02:19:20', "(MC,51.825,(r)) (Venus,141.758,(c)) (square,4')", 1]
['02:19:28', '', 0]
['02:19:36', '', 0]
['02:19:44', '', 0]
['02:19:52', '', 0]
['02:20:00', '', 0]
['02:20:08', '', 0]
['02:20:16', '', 0]
['02:20:24', '', 0]
['02:20:32', '', 0]
['02:20:40', '', 0]
['02:20:48', '', 0]
['02:20:56', '', 0]
['02:21:04', '', 0]
['02:21:12', '', 0]
['02:21:20', '', 0]
['02:21:28', '', 0]
['02:21:36', "(Saturn,43.257,(r)) (ASC,163.175,(d)) (trine,5')", 1]
['02:21:44', "(Saturn,43.257,(r)) (ASC,163.198,(d)) (trine,4')", 1]
['02:21:52', "(Saturn,43.257,(r)) (ASC,163.220,(d)) (trine,2')", 1]
['02:22:00', "(Saturn,43.257,(r)) (ASC,163.243,(d)) (trine,1')", 1]
['02:22:08', "(Saturn,43.257,(r)) (ASC,163.266,(d)) (trine,1')", 1]
['02:22:16', "(Saturn,43.257,(r)) (ASC,163.289,(d)) (trine,2')", 1]
['02:22:24', "(Saturn,43.257,(r)) (ASC,163.312,(d)) (trine,3')", 1]
['02:22:32', "(Saturn,43.257,(r)) (ASC,163.335,(d)) (trine,5')", 1]
['02:22:39', '', 0]
['02:22:47', '', 0]
['02:22:56', '', 0]
['02:23:04', '', 0]
['02:23:12', '', 0]
['02:23:20', '', 0]
['02:23:28', '', 0]
['02:23:36', '', 0]
['02:23:44', '', 0]
['02:23:52', '', 0]
['02:24:00', '', 0]
['02:24:08', "(MC,53.006,(r)) (Neptune,188.066,(d)) (135-sesquisquare,4')", 1]
['02:24:16', "(MC,53.039,(r)) (Neptune,188.064,(d)) (135-sesquisquare,1')", 1]
['02:24:23', "(MC,53.072,(r)) (Neptune,188.061,(d)) (135-sesquisquare,1')", 1]
['02:24:31', "(MC,53.104,(r)) (Neptune,188.059,(d)) (135-sesquisquare,3')", 1]
['02:24:39', "(MC,53.137,(r)) (Neptune,188.056,(d)) (135-sesquisquare,5')", 1]
['02:24:47', '', 0]
['02:24:56', '', 0]
['02:25:04', '', 0]
['02:25:12', '', 0]
['02:25:20', '', 0]
['02:25:28', '', 0]
['02:25:36', '', 0]
['02:25:44', '', 0]
['02:25:52', '', 0]
['02:26:00', '', 0]
['02:26:07', '', 0]
['02:26:15', '', 0]
['02:26:23', '', 0]
['02:26:31', '', 0]
['02:26:39', '', 0]
['02:26:47', '', 0]
['02:26:56', '', 0]
['02:27:04', '', 0]
['02:27:12', '', 0]
['02:27:20', '', 0]
['02:27:28', '', 0]
['02:27:36', '', 0]
['02:27:44', '', 0]
['02:27:51', '', 0]
['02:27:59', "(MC,53.955,(r)) (Mean_Node,204.016,(d)) (150-quincunx,4')", 1]
['02:28:07', "(MC,53.987,(r)) (Mean_Node,204.014,(d)) (150-quincunx,2')", 1]
