['Time, Count, opp/conj: 0', 'sqr/tri/sext: 0', 'major: 0', 'minor: 0']
['23:26:56, 31, opp/conj: 9', 'sqr/tri/sext: 22', 'major: 31', 'minor: 0']
['23:27:04, 30, opp/conj: 9', 'sqr/tri/sext: 21', 'major: 30', 'minor: 0']
['23:27:12, 30, opp/conj: 9', 'sqr/tri/sext: 21', 'major: 30', 'minor: 0']
['23:27:20, 30, opp/conj: 9', 'sqr/tri/sext: 21', 'major: 30', 'minor: 0']
['23:27:28, 31, opp/conj: 9', 'sqr/tri/sext: 22', 'major: 31', 'minor: 0']
['23:27:36, 31, opp/conj: 9', 'sqr/tri/sext: 22', 'major: 31', 'minor: 0']
['23:27:44, 31, opp/conj: 9', 'sqr/tri/sext: 22', 'major: 31', 'minor: 0']
['23:27:51, 31, opp/conj: 9', 'sqr/tri/sext: 22', 'major: 31', 'minor: 0']
['23:27:59, 29, opp/conj: 9', 'sqr/tri/sext: 20', 'major: 29', 'minor: 0']
['23:28:07, 28, opp/conj: 8', 'sqr/tri/sext: 20', 'major: 28', 'minor: 0']
['23:28:15, 28, opp/conj: 8', 'sqr/tri/sext: 20', 'major: 28', 'minor: 0']
['23:28:23, 29, opp/conj: 8', 'sqr/tri/sext: 21', 'major: 29', 'minor: 0']
['23:28:31, 30, opp/conj: 9', 'sqr/tri/sext: 21', 'major: 30', 'minor: 0']
['23:28:39, 29, opp/conj: 8', 'sqr/tri/sext: 21', 'major: 29', 'minor: 0']
['23:28:47, 31, opp/conj: 10', 'sqr/tri/sext: 21', 'major: 31', 'minor: 0']
['23:28:56, 30, opp/conj: 10', 'sqr/tri/sext: 20', 'major: 30', 'minor: 0']
['23:29:04, 30, opp/conj: 10', 'sqr/tri/sext: 20', 'major: 30', 'minor: 0']
['23:29:12, 29, opp/conj: 10', 'sqr/tri/sext: 19', 'major: 29', 'minor: 0']
['23:29:20, 29, opp/conj: 10', 'sqr/tri/sext: 19', 'major: 29', 'minor: 0']
['23:29:28, 29, opp/conj: 10', 'sqr/tri/sext: 19', 'major: 29', 'minor: 0']
['23:29:36, 30, opp/conj: 11', 'sqr/tri/sext: 19', 'major: 30', 'minor: 0']
['23:29:44, 28, opp/conj: 10', 'sqr/tri/sext: 18', 'major: 28', 'minor: 0']
['23:29:52, 28, opp/conj: 10', 'sqr/tri/sext: 18', 'major: 28', 'minor: 0']
['23:30:00, 29, opp/conj: 10', 'sqr/tri/sext: 19', 'major: 29', 'minor: 0']
['23:30:08, 29, opp/conj: 10', 'sqr/tri/sext: 19', 'major: 29', 'minor: 0']
['23:30:16, 29, opp/conj: 10', 'sqr/tri/sext: 19', 'major: 29', 'minor: 0']
['23:30:24, 29, opp/conj: 10', 'sqr/tri/sext: 19', 'major: 29', 'minor: 0']
['23:30:32, 28, opp/conj: 9', 'sqr/tri/sext: 19', 'major: 28', 'minor: 0']
['23:30:40, 28, opp/conj: 9', 'sqr/tri/sext: 19', 'major: 28', 'minor: 0']
['23:30:48, 28, opp/conj: 9', 'sqr/tri/sext: 19', 'major: 28', 'minor: 0']
['23:30:56, 28, opp/conj: 9', 'sqr/tri/sext: 19', 'major: 28', 'minor: 0']
['23:31:04, 28, opp/conj: 9', 'sqr/tri/sext: 19', 'major: 28', 'minor: 0']
['23:31:12, 28, opp/conj: 9', 'sqr/tri/sext: 19', 'major: 28', 'minor: 0']
['23:31:20, 28, opp/conj: 9', 'sqr/tri/sext: 19', 'major: 28', 'minor: 0']
['23:31:28, 27, opp/conj: 9', 'sqr/tri/sext: 18', 'major: 27', 'minor: 0']
['23:31:36, 27, opp/conj: 9', 'sqr/tri/sext: 18', 'major: 27', 'minor: 0']
['23:31:44, 26, opp/conj: 9', 'sqr/tri/sext: 17', 'major: 26', 'minor: 0']
['23:31:52, 26, opp/conj: 9', 'sqr/tri/sext: 17', 'major: 26', 'minor: 0']
['23:32:00, 27, opp/conj: 9', 'sqr/tri/sext: 18', 'major: 27', 'minor: 0']
['23:32:08, 27, opp/conj: 9', 'sqr/tri/sext: 18', 'major: 27', 'minor: 0']
['23:32:16, 26, opp/conj: 9', 'sqr/tri/sext: 17', 'major: 26', 'minor: 0']
['23:32:24, 26, opp/conj: 9', 'sqr/tri/sext: 17', 'major: 26', 'minor: 0']
['23:32:32, 26, opp/conj: 9', 'sqr/tri/sext: 17', 'major: 26', 'minor: 0']
['23:32:40, 26, opp/conj: 9', 'sqr/tri/sext: 17', 'major: 26', 'minor: 0']
['23:32:48, 26, opp/conj: 9', 'sqr/tri/sext: 17', 'major: 26', 'minor: 0']
['23:32:56, 26, opp/conj: 9', 'sqr/tri/sext: 17', 'major: 26', 'minor: 0']
['23:33:04, 26, opp/conj: 9', 'sqr/tri/sext: 17', 'major: 26', 'minor: 0']
['23:33:12, 26, opp/conj: 9', 'sqr/tri/sext: 17', 'major: 26', 'minor: 0']
['23:33:20, 26, opp/conj: 9', 'sqr/tri/sext: 17', 'major: 26', 'minor: 0']
['23:33:28, 26, opp/conj: 9', 'sqr/tri/sext: 17', 'major: 26', 'minor: 0']
['23:33:36, 24, opp/conj: 8', 'sqr/tri/sext: 16', 'major: 24', 'minor: 0']
['23:33:44, 25, opp/conj: 9', 'sqr/tri/sext: 16', 'major: 25', 'minor: 0']
['23:33:52, 24, opp/conj: 9', 'sqr/tri/sext: 15', 'major: 24', 'minor: 0']
['23:34:00, 24, opp/conj: 9', 'sqr/tri/sext: 15', 'major: 24', 'minor: 0']
['23:34:08, 22, opp/conj: 9', 'sqr/tri/sext: 13', 'major: 22', 'minor: 0']
['23:34:16, 20, opp/conj: 7', 'sqr/tri/sext: 13', 'major: 20', 'minor: 0']
['23:34:24, 20, opp/conj: 7', 'sqr/tri/sext: 13', 'major: 20', 'minor: 0']
['23:34:31, 20, opp/conj: 7', 'sqr/tri/sext: 13', 'major: 20', 'minor: 0']
['23:34:39, 19, opp/conj: 7', 'sqr/tri/sext: 12', 'major: 19', 'minor: 0']
['23:34:47, 19, opp/conj: 7', 'sqr/tri/sext: 12', 'major: 19', 'minor: 0']
['23:34:56, 18, opp/conj: 7', 'sqr/tri/sext: 11', 'major: 18', 'minor: 0']
['23:35:04, 18, opp/conj: 7', 'sqr/tri/sext: 11', 'major: 18', 'minor: 0']
['23:35:12, 19, opp/conj: 7', 'sqr/tri/sext: 12', 'major: 19', 'minor: 0']
['23:35:20, 19, opp/conj: 7', 'sqr/tri/sext: 12', 'major: 19', 'minor: 0']
['23:35:28, 19, opp/conj: 7', 'sqr/tri/sext: 12', 'major: 19', 'minor: 0']
['23:35:36, 18, opp/conj: 6', 'sqr/tri/sext: 12', 'major: 18', 'minor: 0']
['23:35:44, 18, opp/conj: 6', 'sqr/tri/sext: 12', 'major: 18', 'minor: 0']
['23:35:52, 18, opp/conj: 6', 'sqr/tri/sext: 12', 'major: 18', 'minor: 0']
['23:36:00, 18, opp/conj: 6', 'sqr/tri/sext: 12', 'major: 18', 'minor: 0']
['23:36:08, 18, opp/conj: 6', 'sqr/tri/sext: 12', 'major: 18', 'minor: 0']
['23:36:15, 19, opp/conj: 6', 'sqr/tri/sext: 13', 'major: 19', 'minor: 0']
['23:36:23, 19, opp/conj: 6', 'sqr/tri/sext: 13', 'major: 19', 'minor: 0']
['23:36:31, 18, opp/conj: 6', 'sqr/tri/sext: 12', 'major: 18', 'minor: 0']
['23:36:39, 17, opp/conj: 5', 'sqr/tri/sext: 12', 'major: 17', 'minor: 0']
['23:36:47, 16, opp/conj: 4', 'sqr/tri/sext: 12', 'major: 16', 'minor: 0']
