['Time', '0: 1949-08-15', '1: 1952-01-21', '2: 1953-04-18', '3: 1953-06-25', '4: 1953-09-12', '5: 1956-08-23', '6: 1957-08-03', '7: 1957-11-27', '8: 1958-11-04', '9: 1960-11-25', '10: 1963-08-07', '11: 1963-08-09', '12: 1963-11-22', '13: 1964-06-15', '14: 1957-11-15', '15: 1968-03-15', '16: 1968-06-05', '17: 1968-10-20', '18: 1975-03-15', '19: 1994-05-20', 'Count']
['08:51:28', "(H1,113.892,(r)) (Jupiter,294.144,(p)) (opposition,15')", '1', '2', "(H10,6.543,(r)) (Mars,97.551,(p)) (square,61')", '4', '5', '6', "(H1,113.892,(r)) (Jupiter,203.074,(p)) (square,49')", '8', "(H4,186.543,(r)) (Jupiter,275.880,(p)) (square,40')\n(H1,113.892,(r)) (Mean_Node,293.197,(c)) (opposition,42')", "(H4,186.543,(r)) (Mars,186.923,(p)) (conjunction,23')", '11', '12', "(H1,113.892,(r)) (Saturn,203.034,(c)) (square,51')", "(H10,6.543,(r)) (Mercury,245.688,(p)) (trine,51')", '15', "(H1,113.892,(r)) (Neptune,234.622,(p)) (trine,44')\n(H10,6.543,(r)) (Neptune,66.799,(c)) (sextile,15')", '17', "(H7,293.892,(r)) (Sun,354.281,(p)) (sextile,23')\n(H4,186.543,(r)) (Saturn,65.749,(c)) (trine,48')", "(H1,113.892,(r)) (Neptune,293.184,(p)) (opposition,42')\n(H1,113.892,(r)) (Mean_Node,233.709,(p)) (trine,11')\n(H10,6.543,(r)) (Neptune,6.807,(c)) (conjunction,16')", 15]
['23:02:30', "(H10,220.790,(r)) (Mercury,160.520,(p)) (sextile,16')\n(H10,220.790,(r)) (Jupiter,160.819,(c)) (sextile,2')", "(H10,220.790,(r)) (Sun,311.413,(c)) (square,37')", '2', '3', '4', '5', "(H1,286.003,(r)) (Mean_Node,225.355,(p)) (sextile,39')\n(H10,220.790,(r)) (Sun,130.868,(p)) (square,5')", "(H4,40.790,(r)) (Jupiter,281.256,(c)) (trine,28')", "(H10,220.790,(r)) (Sun,221.564,(p)) (conjunction,46')\n(H10,220.790,(r)) (Moon,130.376,(p)) (square,25')\n(H10,220.790,(r)) (Venus,219.802,(p)) (conjunction,59')", "(H4,40.790,(r)) (Mean_Node,161.276,(p)) (trine,29')", "(H1,286.003,(r)) (Mean_Node,345.397,(c)) (sextile,36')", "(H4,40.790,(r)) (Pluto,160.998,(p)) (trine,12')\n(H7,106.003,(r)) (Mean_Node,345.503,(c)) (trine,30')", "(H7,106.003,(r)) (Neptune,225.913,(p)) (trine,5')", "(H1,286.003,(r)) (Neptune,225.497,(p)) (sextile,30')\n(H10,220.790,(r)) (Pluto,161.733,(p)) (sextile,57')", "(H10,220.790,(r)) (Uranus,131.666,(p)) (square,53')", '15', "(H1,286.003,(r)) (Mean_Node,15.706,(p)) (square,18')", "(H10,220.790,(r)) (Jupiter,310.991,(c)) (square,12')", '18', "(H10,220.790,(r)) (Saturn,341.483,(p)) (trine,42')\n(H10,220.790,(r)) (Mean_Node,220.813,(c)) (conjunction,1')", 21]
['15:00:22', '0', "(H10,97.796,(r)) (Jupiter,8.625,(p)) (square,50')", '2', "(H7,6.724,(r)) (Mars,97.551,(p)) (square,50')\n(H10,97.796,(r)) (Mars,97.551,(p)) (conjunction,15')", "(H10,97.796,(r)) (Mars,218.467,(c)) (trine,40')", '5', "(H1,186.724,(r)) (Saturn,247.740,(p)) (sextile,61')", '7', "(H1,186.724,(r)) (Moon,276.823,(c)) (square,6')\n(H10,97.796,(r)) (Moon,276.823,(c)) (opposition,58')", "(H1,186.724,(r)) (Jupiter,275.880,(p)) (square,51')", "(H1,186.724,(r)) (Mars,186.923,(p)) (conjunction,12')\n(H4,277.796,(r)) (Mars,186.923,(p)) (square,52')", "(H4,277.796,(r)) (Mars,188.164,(p)) (square,22')", '12', '13', "(H1,186.724,(r)) (Mercury,245.688,(p)) (sextile,62')", '15', "(H1,186.724,(r)) (Neptune,66.796,(c)) (trine,4')", "(H10,97.796,(r)) (Mean_Node,8.452,(p)) (square,39')", "(H4,277.796,(r)) (Pluto,188.273,(p)) (square,29')\n(H7,6.724,(r)) (Saturn,65.708,(c)) (sextile,61')", "(H1,186.724,(r)) (Neptune,6.793,(c)) (opposition,4')\n(H10,97.796,(r)) (Neptune,6.793,(c)) (square,60')", 18]
['17:14:15', "(H1,213.140,(r)) (Uranus,93.682,(p)) (trine,33')", "(H7,33.140,(r)) (Mean_Node,332.374,(p)) (sextile,46')\n(H10,129.604,(r)) (Jupiter,8.625,(p)) (trine,59')\n(H7,33.140,(r)) (Mean_Node,122.059,(c)) (square,65')", '2', "(H7,33.140,(r)) (Sun,93.616,(p)) (sextile,29')", "(H7,33.140,(r)) (Mean_Node,153.832,(c)) (trine,42')", '5', '6', "(H4,309.604,(r)) (Mean_Node,219.212,(p)) (square,24')", "(H10,129.604,(r)) (Moon,130.376,(p)) (conjunction,46')\n(H10,129.604,(r)) (Venus,219.802,(p)) (square,12')\n(H10,129.604,(r)) (Jupiter,249.983,(c)) (trine,23')", "(H4,309.604,(r)) (Sun,9.256,(c)) (sextile,21')", '10', '11', "(H4,309.604,(r)) (Pluto,70.065,(c)) (trine,28')", '13', '14', "(H10,129.604,(r)) (Jupiter,309.969,(c)) (opposition,22')", '16', '17', "(H4,309.604,(r)) (Mars,309.257,(p)) (conjunction,21')", '19', 14]
['15:00:14', '0', "(H10,97.765,(r)) (Jupiter,8.625,(p)) (square,52')", '2', "(H7,6.698,(r)) (Mars,97.551,(p)) (square,51')\n(H10,97.765,(r)) (Mars,97.551,(p)) (conjunction,13')", "(H10,97.765,(r)) (Mars,218.467,(c)) (trine,42')", '5', "(H1,186.698,(r)) (Saturn,247.740,(p)) (sextile,63')", '7', "(H1,186.698,(r)) (Moon,276.821,(c)) (square,7')\n(H10,97.765,(r)) (Moon,276.821,(c)) (opposition,57')", "(H1,186.698,(r)) (Jupiter,275.880,(p)) (square,49')", "(H1,186.698,(r)) (Mars,186.923,(p)) (conjunction,13')\n(H4,277.765,(r)) (Mars,186.923,(p)) (square,51')", "(H4,277.765,(r)) (Mars,188.164,(p)) (square,24')", '12', '13', "(H1,186.698,(r)) (Mercury,245.688,(p)) (sextile,61')", '15', "(H1,186.698,(r)) (Neptune,66.796,(c)) (trine,6')", "(H10,97.765,(r)) (Mean_Node,8.452,(p)) (square,41')", "(H4,277.765,(r)) (Pluto,188.273,(p)) (square,30')\n(H7,6.698,(r)) (Saturn,65.708,(c)) (sextile,59')", "(H1,186.698,(r)) (Neptune,6.793,(c)) (opposition,6')\n(H10,97.765,(r)) (Neptune,6.793,(c)) (square,58')", 18]
['22:56:56', '0', '1', "(H10,219.365,(r)) (Mean_Node,308.387,(p)) (square,59')", '3', "(H10,219.365,(r)) (Mars,218.563,(c)) (conjunction,48')", "(H10,219.365,(r)) (Sun,98.607,(c)) (trine,45')", "(H1,284.534,(r)) (Mean_Node,225.355,(p)) (sextile,49')", "(H4,39.365,(r)) (Mean_Node,219.212,(p)) (opposition,9')\n(H4,39.365,(r)) (Moon,98.751,(c)) (sextile,37')", "(H10,219.365,(r)) (Moon,130.376,(p)) (square,61')\n(H10,219.365,(r)) (Venus,219.802,(p)) (conjunction,26')", '9', "(H1,284.534,(r)) (Mean_Node,345.398,(c)) (sextile,52')", "(H7,104.534,(r)) (Mean_Node,345.504,(c)) (trine,58')", "(H7,104.534,(r)) (Pluto,164.063,(p)) (sextile,28')", "(H1,284.534,(r)) (Neptune,225.497,(p)) (sextile,58')", '14', "(H10,219.365,(r)) (Jupiter,309.683,(c)) (square,19')", "(H10,219.365,(r)) (Saturn,159.505,(c)) (sextile,8')", '17', "(H4,39.365,(r)) (Mars,309.257,(p)) (square,6')", '19', 15]
['18:29:44', "(H10,148.826,(r)) (Moon,27.954,(c)) (trine,52')", "(H10,148.826,(r)) (Mars,238.624,(c)) (square,12')", "(H10,148.826,(r)) (Sun,28.152,(p)) (trine,40')", "(H10,148.826,(r)) (Mean_Node,149.643,(c)) (conjunction,49')", "(H10,148.826,(r)) (Mars,148.577,(p)) (conjunction,15')", "(H10,148.826,(r)) (Neptune,208.180,(p)) (sextile,39')\n(H10,148.826,(r)) (Pluto,148.362,(p)) (conjunction,28')", "(H10,148.826,(r)) (Pluto,149.493,(p)) (conjunction,40')", '7', "(H10,148.826,(r)) (Mercury,239.131,(p)) (square,18')", "(H1,227.911,(r)) (Mars,108.493,(p)) (trine,35')", '10', '11', "(H4,328.826,(r)) (Sun,239.460,(p)) (square,38')\n(H7,47.911,(r)) (Saturn,317.300,(p)) (square,37')", "(H10,148.826,(r)) (Mars,58.577,(p)) (square,15')", '14', "(H10,148.826,(r)) (Jupiter,147.923,(p)) (conjunction,54')", '16', "(H7,47.911,(r)) (Mars,167.890,(p)) (trine,1')", "(H4,328.826,(r)) (Pluto,59.889,(c)) (square,64')\n(H4,328.826,(r)) (Mean_Node,209.731,(c)) (trine,54')\n(H7,47.911,(r)) (Neptune,48.911,(c)) (conjunction,60')", "(H10,148.826,(r)) (Sun,59.246,(p)) (square,25')", 19]
['08:51:36', "(H1,113.919,(r)) (Jupiter,294.144,(p)) (opposition,14')", '1', '2', "(H10,6.579,(r)) (Mars,97.551,(p)) (square,58')", '4', '5', '6', "(H1,113.919,(r)) (Jupiter,203.074,(p)) (square,51')", '8', "(H4,186.579,(r)) (Jupiter,275.880,(p)) (square,42')\n(H1,113.919,(r)) (Mean_Node,293.197,(c)) (opposition,43')", "(H4,186.579,(r)) (Mars,186.923,(p)) (conjunction,21')", '11', '12', "(H1,113.919,(r)) (Saturn,203.034,(c)) (square,53')", "(H10,6.579,(r)) (Mercury,245.688,(p)) (trine,53')", '15', "(H1,113.919,(r)) (Neptune,234.622,(p)) (trine,42')\n(H10,6.579,(r)) (Neptune,66.799,(c)) (sextile,13')", '17', "(H7,293.919,(r)) (Sun,354.281,(p)) (sextile,22')\n(H4,186.579,(r)) (Saturn,65.749,(c)) (trine,50')", "(H1,113.919,(r)) (Neptune,293.184,(p)) (opposition,44')\n(H1,113.919,(r)) (Mean_Node,233.709,(p)) (trine,13')\n(H10,6.579,(r)) (Neptune,6.807,(c)) (conjunction,14')", 15]
['11:26:30', '0', '1', "(H7,324.455,(r)) (Jupiter,55.163,(p)) (square,43')", '3', "(H7,324.455,(r)) (Jupiter,84.777,(p)) (trine,19')", '5', '6', "(H1,144.455,(r)) (Mean_Node,235.254,(c)) (square,48')", '8', '9', '10', '11', "(H4,227.342,(r)) (Saturn,317.300,(p)) (square,3')", '13', '14', '15', "(H1,144.455,(r)) (Neptune,234.622,(p)) (square,10')", "(H10,47.342,(r)) (Mars,167.890,(p)) (trine,33')", '18', "(H1,144.455,(r)) (Mean_Node,233.709,(p)) (square,45')", 7]
['11:45:36', '0', "(H7,328.194,(r)) (Mars,238.295,(c)) (square,6')", "(H7,328.194,(r)) (Sun,28.152,(p)) (sextile,3')\n(H10,52.076,(r)) (Mars,51.027,(p)) (conjunction,63')\n(H10,52.076,(r)) (Mars,291.265,(c)) (trine,49')", '3', "(H7,328.194,(r)) (Mars,148.577,(p)) (opposition,23')\n(H10,52.076,(r)) (Jupiter,52.234,(c)) (conjunction,10')", "(H1,148.194,(r)) (Neptune,208.180,(p)) (sextile,1')\n(H1,148.194,(r)) (Pluto,148.362,(p)) (conjunction,10')", '6', "(H4,232.076,(r)) (Venus,291.829,(p)) (sextile,15')\n(H4,232.076,(r)) (Moon,112.764,(c)) (trine,41')", "(H1,148.194,(r)) (Mercury,239.131,(p)) (square,56')", '9', '10', "(H4,232.076,(r)) (Mars,142.111,(c)) (square,2')", "(H4,232.076,(r)) (Mean_Node,351.007,(c)) (trine,64')", "(H1,148.194,(r)) (Mars,58.577,(p)) (square,23')", "(H10,52.076,(r)) (Mercury,351.800,(c)) (sextile,17')", "(H1,148.194,(r)) (Mercury,327.583,(p)) (opposition,37')\n(H1,148.194,(r)) (Jupiter,147.923,(p)) (conjunction,16')", '16', "(H7,328.194,(r)) (Sun,207.158,(p)) (trine,62')", '18', "(H1,148.194,(r)) (Sun,59.246,(p)) (square,63')", 19]
