['Time', '0: 2017-09-22', '1: 2024-10-25', '2: 2018-02-19', '3: 2021-04-06', '4: 2016-05-26', '5: 2022-01-01', 'Count']
['2014-03-24 01:04:15', "(Mars,204.381,(r)) (H12,294.405,(d)) (square,1')", '1', "(H3,15.770,(r)) (Uranus,15.948,(d)) (conjunction,11')\n(H7,140.529,(r)) (Venus,320.431,(d)) (opposition,6')\n(Uranus,11.940,(r)) (H3,11.876,(c)) (conjunction,4')", "(H4,48.008,(r)) (Mars,198.053,(c)) (150-quincunx,3')", "(H1,320.529,(r)) (Sun,5.436,(d)) (45-semisquare,6')", '5', 85]
['2014-03-24 01:56:15', "(H1,331.955,(r)) (Pluto,286.944,(d)) (45-semisquare,1')", '1', "(H4,60.732,(r)) (Uranus,15.803,(d)) (45-semisquare,4')\n(Uranus,11.942,(r)) (H4,57.018,(c)) (45-semisquare,5')\n(H4,60.732,(r)) (Moon,270.660,(c)) (150-quincunx,4')", '3', "(H1,331.955,(r)) (Mean_Node,212.034,(d)) (trine,5')\n(H10,240.732,(r)) (Pluto,285.763,(d)) (45-semisquare,2')", "(H10,240.732,(r)) (Saturn,240.818,(d)) (conjunction,5')\n(H10,240.732,(r)) (Mercury,330.724,(c)) (square,1')", 97]
['2014-03-24 01:37:19', "(Saturn,232.938,(r)) (H10,232.787,(c)) (conjunction,9')", '1', "(Mean_Node,209.922,(r)) (H4,59.877,(d)) (150-quincunx,3')\n(H4,56.153,(r)) (Mean_Node,206.068,(c)) (150-quincunx,5')", "(H1,327.777,(r)) (Moon,267.762,(c)) (sextile,1')", "(H1,327.777,(r)) (Mean_Node,207.782,(c)) (trine,0')", '5', 77]
['2014-03-24 01:41:12', '0', "(Mercury,337.673,(r)) (H1,337.851,(d)) (conjunction,11')\n(H1,328.629,(r)) (Moon,283.625,(d)) (45-semisquare,0')\n(Venus,316.813,(r)) (H10,226.832,(c)) (square,1')", '2', '3', "(H10,237.093,(r)) (Mars,207.096,(d)) (30-semisextile,0')\n(Saturn,232.938,(r)) (H8,173.000,(c)) (sextile,4')", "(H6,119.581,(r)) (Mercury,344.573,(d)) (135-sesquisquare,0')\n(Mercury,337.673,(r)) (H6,112.752,(c)) (135-sesquisquare,5')", 89]
['2014-03-24 00:43:36', "(Pluto,283.456,(r)) (H12,283.636,(c)) (conjunction,11')", "(H3,10.534,(r)) (Mean_Node,220.456,(d)) (150-quincunx,5')\n(Mean_Node,209.924,(r)) (H3,359.925,(c)) (150-quincunx,0')", "(Venus,316.773,(r)) (H4,46.687,(d)) (square,5')\n(H7,136.027,(r)) (Uranus,16.008,(d)) (trine,1')\n(H3,10.534,(r)) (Pluto,280.612,(c)) (square,5')", "(Saturn,232.939,(r)) (H12,292.896,(d)) (sextile,3')", "(H1,316.027,(r)) (Pluto,285.988,(d)) (30-semisextile,2')\n(Mars,204.385,(r)) (H8,159.310,(c)) (45-semisquare,5')", "(H1,316.027,(r)) (Saturn,226.007,(c)) (square,1')", 126]
['2014-03-24 01:21:28', '0', "(Uranus,11.941,(r)) (H10,221.857,(c)) (150-quincunx,5')", '2', "(Sun,3.325,(r)) (H1,318.246,(c)) (45-semisquare,5')", "(Mars,204.378,(r)) (H10,234.369,(d)) (30-semisextile,1')", '5', 22]
['2014-03-24 01:59:11', '0', "(Uranus,11.943,(r)) (H1,341.864,(d)) (30-semisextile,5')\n(H10,241.437,(r)) (Jupiter,91.402,(c)) (150-quincunx,2')", "(Sun,3.351,(r)) (H3,33.295,(d)) (30-semisextile,3')", '3', "(Moon,273.470,(r)) (H10,243.483,(d)) (30-semisextile,1')", "(Mars,204.371,(r)) (H1,339.395,(d)) (135-sesquisquare,1')", 36]
['2014-03-24 01:38:31', "(Saturn,232.938,(r)) (H10,233.082,(c)) (conjunction,9')", "(H1,328.042,(r)) (Mercury,328.199,(c)) (conjunction,9')", '2', '3', "(Pluto,283.457,(r)) (H10,238.519,(d)) (45-semisquare,4')\n(Mean_Node,209.922,(r)) (H1,329.927,(d)) (trine,0')\n(Mars,204.375,(r)) (H10,234.360,(c)) (30-semisextile,1')", '5', 86]
['2014-03-24 01:25:11', "(Saturn,232.938,(r)) (H12,292.933,(c)) (sextile,0')", "(Sun,3.328,(r)) (H10,243.266,(d)) (trine,4')\n(H10,233.187,(r)) (Sun,353.102,(c)) (trine,5')", "(Uranus,11.941,(r)) (H4,56.942,(d)) (45-semisquare,0')\n(Pluto,283.456,(r)) (H7,148.492,(d)) (135-sesquisquare,2')\n(H4,53.187,(r)) (Uranus,8.233,(c)) (45-semisquare,3')", "(Mean_Node,209.923,(r)) (H4,59.916,(d)) (150-quincunx,0')\n(H1,325.111,(r)) (Sun,10.114,(d)) (45-semisquare,0')\n(H4,53.187,(r)) (Venus,323.157,(d)) (square,2')", "(Uranus,11.941,(r)) (H1,326.990,(d)) (45-semisquare,3')", '5', 110]
['2014-03-24 01:58:07', '0', '1', "(H7,152.368,(r)) (Pluto,287.305,(d)) (135-sesquisquare,4')", '3', '4', "(H1,332.368,(r)) (Mars,212.408,(d)) (trine,2')\n(H1,332.368,(r)) (Mars,197.300,(c)) (135-sesquisquare,4')", 34]
['2014-03-24 01:27:59', "(H1,325.726,(r)) (Pluto,280.809,(c)) (45-semisquare,5')", "(Venus,316.804,(r)) (H1,316.627,(c)) (conjunction,11')", '2', "(H8,171.891,(r)) (Mean_Node,216.810,(d)) (45-semisquare,5')", "(H1,325.726,(r)) (Saturn,235.649,(d)) (square,5')", "(H1,325.726,(r)) (Sun,10.816,(d)) (45-semisquare,5')", 67]
['2014-03-24 01:39:51', "(H1,328.335,(r)) (Mars,208.395,(d)) (trine,4')\n(H10,236.769,(r)) (Saturn,236.863,(d)) (conjunction,6')", "(Mercury,337.672,(r)) (H1,337.554,(d)) (conjunction,7')\n(H1,328.335,(r)) (Mercury,328.204,(c)) (conjunction,8')", '2', '3', '4', "(Neptune,336.089,(r)) (H6,126.140,(d)) (150-quincunx,3')", 103]
['2014-03-24 00:22:23', '0', '1', "(H4,37.403,(r)) (Moon,277.347,(d)) (trine,3')\n(H7,131.428,(r)) (Mercury,341.379,(d)) (150-quincunx,3')\n(H4,37.403,(r)) (Jupiter,97.400,(c)) (sextile,0')", "(Moon,272.526,(r)) (H1,317.435,(d)) (45-semisquare,5')\n(Mean_Node,209.925,(r)) (H8,149.850,(c)) (sextile,4')", '4', '5', 68]
['2014-03-24 00:37:27', '0', '1', "(H4,41.257,(r)) (Mercury,341.324,(d)) (sextile,4')", "(Sun,3.295,(r)) (H4,48.225,(d)) (45-semisquare,4')\n(Sun,3.295,(r)) (H8,153.371,(c)) (150-quincunx,5')\n(H4,41.257,(r)) (Sun,356.322,(c)) (45-semisquare,4')", "(Uranus,11.939,(r)) (H8,161.904,(d)) (150-quincunx,2')\n(Pluto,283.456,(r)) (H10,223.427,(d)) (sextile,2')\n(Pluto,283.456,(r)) (H12,283.429,(c)) (conjunction,2')\n(H8,159.881,(r)) (Uranus,9.922,(c)) (150-quincunx,2')", '5', 90]
