['Time', '0: 2008-09-05', '1: 2009-03-19', '2: 2010-09-15', '3: 2012-03-06', '4: 2012-12-12', '5: 2013-12-12', '6: 2014-03-24', '7: 2015-05-27', '8: 2016-05-27', '9: 2017-09-15', '10: 2017-09-22', '11: 2018-02-19', '12: 2019-05-22', '13: 2021-04-06', '14: 2021-07-10', '15: 2022-05-25', 'Count']
['2000-03-11 10:28:31', '0', '1', '2', '3', "(H1,74.162,(r)) (Moon,254.025,(c)) (opposition,8.24')", '5', '6', '7', '8', "(Sun,8.556,(p)) (POF,8.544,(p)) (conjunction,0.71')", '10', "(H4,174.080,(r)) (Moon,293.814,(p)) (trine,15.97')\n(Mean_Node,122.288,(c)) (H3,122.161,(c)) (conjunction,7.61')", "(H9,319.648,(r)) (Uranus,319.602,(p)) (conjunction,2.74')", '13', "(H9,319.648,(r)) (Uranus,319.690,(p)) (conjunction,2.52')", '15', 6]
['2000-03-11 06:40:16', "(Mean_Node,121.345,(r)) (H7,211.296,(p)) (square,2.96')", "(Venus,316.126,(c)) (H3,76.231,(c)) (trine,6.28')", '2', '3', "(Jupiter,34.702,(r)) (H1,34.705,(p)) (conjunction,0.17')\n(Jupiter,34.702,(r)) (H9,274.532,(p)) (trine,10.25')\n(Mercury,344.372,(c)) (H10,284.253,(c)) (sextile,7.13')", "(Mercury,345.183,(c)) (H12,345.273,(c)) (conjunction,5.42')", '6', '7', '8', "(Jupiter,38.456,(p)) (H1,38.488,(p)) (conjunction,1.91')\n(Jupiter,38.456,(p)) (H3,98.550,(p)) (sextile,5.60')", '10', '11', '12', '13', '14', '15', 8]
['2000-03-11 13:49:35', '0', '1', '2', "(POF,36.282,(c)) (H10,36.152,(c)) (conjunction,7.78')", "(Moon,58.871,(r)) (H10,58.846,(p)) (conjunction,1.49')", '5', "(Mars,31.873,(p)) (H3,211.979,(p)) (opposition,6.41')\n(Mean_Node,122.073,(c)) (H3,182.235,(c)) (sextile,9.69')", "(H1,122.626,(r)) (Mars,32.733,(p)) (square,6.44')\n(POF,190.199,(r)) (Mars,10.109,(c)) (opposition,5.41')", "(Mean_Node,122.188,(c)) (H10,32.018,(c)) (square,10.24')", "(POF,62.985,(p)) (H10,62.995,(p)) (conjunction,0.59')", '10', '11', '12', '13', '14', "(H9,17.462,(r)) (Uranus,317.497,(c)) (sextile,2.16')", 9]
['2000-03-11 07:46:39', '0', '1', "(H1,39.066,(r)) (Moon,279.204,(c)) (trine,8.28')\n(H3,99.168,(r)) (Moon,279.204,(c)) (opposition,2.15')", "(H9,279.168,(r)) (Sun,339.038,(c)) (sextile,7.80')", "(Moon,230.370,(p)) (H9,290.208,(p)) (sextile,9.71')\n(H10,311.529,(r)) (Venus,311.569,(c)) (conjunction,2.39')", '5', "(Sun,351.046,(r)) (POF,291.198,(p)) (sextile,9.10')", '7', '8', '9', '10', "(Moon,55.340,(r)) (H4,115.246,(c)) (sextile,5.61')", '12', "(H4,131.529,(r)) (Saturn,41.605,(c)) (square,4.51')", "(Mars,21.320,(r)) (H1,21.436,(c)) (conjunction,6.98')\n(H10,311.529,(r)) (Saturn,41.587,(c)) (square,3.47')", '15', 10]
['2000-03-11 10:23:51', '0', "(Venus,327.467,(r)) (H3,147.388,(p)) (opposition,4.72')", "(Mercury,342.080,(c)) (H10,342.258,(c)) (conjunction,10.65')", '3', '4', '5', '6', '7', '8', "(Venus,327.467,(r)) (H1,87.328,(p)) (trine,8.34')\n(Mean_Node,121.337,(r)) (H3,121.397,(c)) (conjunction,3.57')", '10', '11', "(Mercury,333.398,(r)) (H10,333.498,(c)) (conjunction,6.00')", '13', '14', "(Moon,56.869,(r)) (H9,296.917,(c)) (trine,2.89')\n(Jupiter,30.553,(c)) (H10,330.453,(c)) (sextile,5.98')", 7]
['2000-03-11 06:30:00', '0', "(Mean_Node,120.868,(p)) (H4,120.809,(p)) (conjunction,3.56')", "(H3,81.500,(r)) (Moon,201.083,(p)) (trine,25.05')", "(H9,261.500,(r)) (Moon,261.169,(c)) (conjunction,19.86')", "(Moon,252.052,(c)) (H1,11.579,(c)) (trine,28.38')\n(Venus,311.503,(c)) (H1,11.579,(c)) (sextile,4.51')", "(Pluto,252.897,(r)) (H12,342.837,(c)) (square,3.62')\n(Mars,10.974,(c)) (H10,280.997,(c)) (square,1.39')\n(Pluto,252.810,(c)) (H12,342.837,(c)) (square,1.62')", "(Mercury,333.459,(r)) (H7,213.470,(p)) (trine,0.65')", "(Mars,9.878,(c)) (H4,99.727,(c)) (square,9.03')", '8', "(Sun,8.392,(p)) (H10,308.330,(p)) (sextile,3.72')", '10', "(Uranus,319.542,(p)) (POF,319.615,(p)) (conjunction,4.38')\n(Moon,187.025,(c)) (H7,187.167,(c)) (conjunction,8.50')", '12', '13', '14', "(Mercury,333.459,(r)) (H10,273.567,(c)) (sextile,6.50')\n(Mean_Node,122.522,(c)) (H9,242.422,(c)) (trine,6.03')", 15]
['2000-03-11 14:18:40', '0', "(Mean_Node,121.329,(r)) (H7,301.449,(c)) (opposition,7.20')", "(H3,205.786,(r)) (Moon,205.324,(p)) (conjunction,27.74')\n(Venus,314.677,(c)) (H3,194.611,(c)) (trine,3.93')", "(Venus,312.857,(c)) (H9,13.007,(c)) (sextile,8.99')", '4', '5', '6', "(Venus,327.668,(r)) (H1,147.845,(p)) (opposition,10.61')\n(Saturn,44.917,(p)) (POF,44.741,(p)) (conjunction,10.58')", '8', '9', '10', "(H7,310.887,(r)) (Moon,191.385,(c)) (trine,29.93')", '12', "(Pluto,252.898,(r)) (H4,252.912,(p)) (conjunction,0.83')\n(Pluto,252.820,(p)) (H4,252.912,(p)) (conjunction,5.50')", '14', '15', 9]
['2000-03-11 08:50:07', '0', "(Sun,0.073,(p)) (H7,239.948,(p)) (trine,7.49')\n(Moon,182.490,(p)) (H3,122.531,(p)) (sextile,2.45')", '2', "(Mercury,343.597,(c)) (H9,283.645,(c)) (sextile,2.90')", "(Neptune,306.020,(p)) (H9,305.982,(p)) (conjunction,2.30')", '5', '6', "(Saturn,43.327,(r)) (H4,133.249,(c)) (square,4.66')\n(Moon,223.536,(c)) (H4,133.249,(c)) (square,17.21')", '8', '9', '10', "(H7,232.842,(r)) (Moon,293.003,(p)) (sextile,9.66')", '12', "(Neptune,305.685,(r)) (H7,215.685,(c)) (square,0.01')", "(Mars,5.320,(c)) (H9,275.335,(c)) (square,0.92')", "(Jupiter,34.721,(r)) (H1,34.728,(c)) (conjunction,0.41')\n(Jupiter,34.721,(r)) (H9,274.555,(c)) (trine,9.94')", 11]
['2000-03-11 05:36:39', '0', "(Jupiter,32.903,(c)) (H4,92.787,(c)) (sextile,6.99')", "(Uranus,318.694,(r)) (H1,18.821,(p)) (sextile,7.60')\n(H10,280.480,(r)) (Sun,340.426,(c)) (sextile,3.25')", "(Uranus,319.277,(p)) (H9,259.300,(p)) (sextile,1.36')", '4', '5', "(Uranus,317.940,(c)) (POF,257.880,(c)) (sextile,3.60')", '7', '8', "(H10,280.480,(r)) (Mercury,340.566,(p)) (sextile,5.16')\n(Moon,54.077,(r)) (H3,54.189,(c)) (conjunction,6.76')", '10', '11', '12', '13', '14', '15', 7]
['2000-03-11 10:11:59', '0', "(Mercury,340.534,(c)) (H4,160.565,(c)) (opposition,1.89')", '2', '3', '4', '5', '6', '7', '8', "(H3,135.217,(r)) (Moon,194.804,(c)) (sextile,24.74')", '10', "(H4,169.578,(r)) (Venus,349.622,(p)) (opposition,2.65')", "(H9,315.217,(r)) (Saturn,45.343,(p)) (square,7.61')", '13', '14', "(Venus,327.457,(r)) (H10,327.347,(c)) (conjunction,6.57')", 5]
