['Time', '0: 1883-07-05', '1: 1895-01-24', '2: 1899-11-15', '3: 1898-12-01', '4: 1900-06-05', '5: 1909-07-11', '6: 1911-05-28', '7: 1914-10-07', '8: 1918-11-15', '9: 1921-06-29', '10: 1922-09-15', '11: 1941-12-12', '12: 1944-09-05', '13: 1953-06-24', '14: 1963-10-19', 'Count']
['1874-11-30 00:21:52', '0', '1', '2', '3', "(Uranus,135.230,(r)) (H9,15.100,(c)) (trine,7.78')\n(Uranus,135.146,(c)) (H9,15.100,(c)) (trine,2.74')", "(Mean_Node,24.370,(r)) (H5,324.436,(p)) (sextile,3.98')", '6', "(Jupiter,209.531,(p)) (H5,329.589,(p)) (trine,3.45')", '8', "(Neptune,28.434,(r)) (H4,208.276,(c)) (opposition,9.50')", "(Uranus,134.595,(c)) (H1,134.680,(c)) (conjunction,5.11')", '11', '12', '13', '14', 6]
['1874-11-30 01:22:23', '0', "(Saturn,309.593,(r)) (H8,39.671,(p)) (square,4.66')", '2', '3', "(Neptune,29.053,(c)) (H9,28.886,(c)) (conjunction,9.96')", "(Sun,212.865,(c)) (H5,273.024,(c)) (sextile,9.54')", '6', "(Moon,330.838,(c)) (H1,150.411,(c)) (opposition,25.63')", "(Mercury,227.588,(r)) (H5,347.439,(p)) (trine,8.93')", "(Moon,34.870,(p)) (H1,214.389,(p)) (opposition,28.89')", '10', '11', "(Venus,262.031,(r)) (H10,22.002,(c)) (trine,1.69')", '13', "(Mean_Node,29.075,(c)) (H1,119.093,(c)) (square,1.13')", 8]
['1874-11-30 00:44:39', '0', '1', '2', "(Moon,103.234,(p)) (H10,103.748,(p)) (conjunction,30.86')\n(Venus,261.726,(c)) (H9,21.680,(c)) (trine,2.77')", '4', "(Mean_Node,24.369,(r)) (H5,264.304,(c)) (trine,3.90')", '6', '7', '8', "(Sun,247.687,(r)) (H8,337.723,(c)) (square,2.14')", '10', '11', "(Jupiter,211.572,(p)) (H10,151.727,(p)) (sextile,9.30')", '13', '14', 5]
['1874-11-30 00:09:28', '0', '1', '2', '3', '4', "(Venus,255.722,(c)) (H5,255.870,(c)) (conjunction,8.89')", "(Jupiter,203.557,(r)) (H5,323.505,(p)) (trine,3.16')", '7', '8', '9', '10', '11', '12', '13', "(Pluto,51.425,(r)) (H1,231.325,(p)) (opposition,6.00')\n(Moon,231.405,(p)) (H1,231.325,(p)) (conjunction,4.75')\n(Neptune,30.600,(c)) (H8,300.625,(c)) (square,1.55')", 5]
['1874-11-30 00:32:47', '0', '1', '2', "(Jupiter,198.853,(c)) (H9,18.972,(c)) (opposition,7.13')", "(Venus,249.700,(p)) (H1,189.577,(p)) (sextile,7.41')", '5', "(Moon,19.955,(c)) (H5,259.783,(c)) (trine,10.34')", "(Mars,196.525,(r)) (H5,256.703,(c)) (sextile,10.64')", '8', "(Moon,34.385,(p)) (H4,304.391,(p)) (square,0.37')", '10', '11', "(Mercury,188.791,(c)) (H10,8.614,(c)) (opposition,10.64')", '13', '14', 6]
['1874-11-30 02:14:47', '0', "(Mean_Node,23.299,(p)) (H1,203.310,(p)) (opposition,0.65')", '2', '3', '4', '5', '6', '7', "(Moon,276.835,(c)) (H1,156.872,(c)) (trine,2.20')\n(Moon,276.835,(c)) (H5,276.886,(c)) (conjunction,3.02')", "(Moon,244.897,(c)) (H1,155.168,(c)) (square,16.28')", '10', "(Venus,262.014,(r)) (H1,142.193,(c)) (trine,10.74')", '12', "(Pluto,51.424,(r)) (H12,231.338,(p)) (opposition,5.13')", '14', 6]
['1874-11-30 02:40:32', "(Uranus,135.122,(p)) (H8,45.018,(p)) (square,6.22')", '1', "(Mars,211.673,(p)) (H1,211.523,(p)) (conjunction,8.97')", "(Mercury,227.632,(r)) (H9,47.663,(c)) (opposition,1.87')", "(Venus,262.006,(r)) (H10,81.904,(c)) (opposition,6.15')", '5', '6', '7', '8', '9', '10', '11', "(Jupiter,189.072,(c)) (H9,9.125,(c)) (opposition,3.19')", "(Moon,102.329,(p)) (H10,192.429,(p)) (square,6.00')", "(Moon,150.232,(r)) (H8,330.407,(c)) (opposition,10.51')\n(Mean_Node,24.365,(r)) (H4,204.521,(c)) (opposition,9.38')", 8]
['1874-11-30 01:10:07', '0', '1', "(Mercury,241.112,(c)) (H10,61.210,(c)) (opposition,5.91')", '3', '4', '5', '6', "(Mars,220.462,(p)) (H5,340.549,(p)) (trine,5.21')", "(Venus,262.035,(r)) (H5,261.974,(c)) (conjunction,3.64')", '9', '10', '11', "(Jupiter,189.058,(c)) (H1,129.162,(c)) (sextile,6.25')", '13', '14', 4]
['1874-11-30 00:23:12', '0', "(Neptune,28.117,(p)) (H8,28.004,(p)) (conjunction,6.74')", '2', '3', "(Moon,124.206,(p)) (H9,63.904,(p)) (sextile,18.10')\n(Uranus,135.230,(r)) (H9,15.406,(c)) (trine,10.56')", "(Jupiter,203.559,(r)) (H1,143.564,(c)) (sextile,0.28')", "(Mars,196.521,(r)) (H1,196.393,(p)) (conjunction,7.71')", '7', "(Venus,262.049,(r)) (H1,202.085,(p)) (sextile,2.14')\n(Mean_Node,22.043,(p)) (H1,202.085,(p)) (opposition,2.51')", "(Pluto,50.807,(p)) (H8,50.820,(p)) (conjunction,0.77')\n(Moon,243.969,(c)) (H8,333.474,(c)) (square,29.70')", '10', '11', '12', '13', '14', 9]
['1874-11-30 01:46:39', '0', "(Mean_Node,24.367,(r)) (H10,114.295,(p)) (square,4.30')", '2', '3', '4', "(Venus,249.877,(p)) (H4,309.771,(p)) (sextile,6.38')", '6', '7', '8', '9', "(Mean_Node,24.367,(r)) (H4,324.236,(p)) (sextile,7.86')", '11', '12', "(Moon,188.828,(c)) (H12,98.954,(c)) (square,7.59')", '14', 4]
