Row 54: {'time': '2000-03-11 08:01:36', 'p_a_conj': 3, 'p_a_maj': 19, 'p_a_allm': 22, 'p_a_min': 21, 'e': 1, 'all_conj': 3}
Row 55: {'time': '2000-03-11 11:13:36', 'p_a_conj': 6, 'p_a_maj': 22, 'p_a_allm': 28, 'p_a_min': 25, 'e': 0, 'all_conj': 6}
Row 56: {'time': '2000-03-11 08:28:23', 'p_a_conj': 8, 'p_a_maj': 28, 'p_a_allm': 36, 'p_a_min': 38, 'e': 0, 'all_conj': 8}
Row 57: {'time': '2000-03-11 11:21:20', 'p_a_conj': 8, 'p_a_maj': 18, 'p_a_allm': 26, 'p_a_min': 32, 'e': 1, 'all_conj': 8}
Row 58: {'time': '2000-03-11 11:37:04', 'p_a_conj': 8, 'p_a_maj': 22, 'p_a_allm': 30, 'p_a_min': 30, 'e': 2, 'all_conj': 8}
Row 59: {'time': '2000-03-11 08:26:23', 'p_a_conj': 7, 'p_a_maj': 29, 'p_a_allm': 36, 'p_a_min': 31, 'e': 0, 'all_conj': 7}
Row 60: {'time': '2000-03-11 14:44:00', 'p_a_conj': 8, 'p_a_maj': 23, 'p_a_allm': 31, 'p_a_min': 35, 'e': 0, 'all_conj': 8}
Row 61: {'time': '2000-03-11 11:19:52', 'p_a_conj': 6, 'p_a_maj': 16, 'p_a_allm': 22, 'p_a_min': 29, 'e': 2, 'all_conj': 6}
Row 62: {'time': '2000-03-11 10:25:51', 'p_a_conj': 9, 'p_a_maj': 18, 'p_a_allm': 27, 'p_a_min': 30, 'e': 0, 'all_conj': 9}
Row 63: {'time': '2000-03-11 08:22:08', 'p_a_conj': 4, 'p_a_maj': 26, 'p_a_allm': 30, 'p_a_min': 25, 'e': 0, 'all_conj': 4}
Row 64: {'time': '2000-03-11 06:57:28', 'p_a_conj': 7, 'p_a_maj': 18, 'p_a_allm': 25, 'p_a_min': 26, 'e': 2, 'all_conj': 7}
Row 65: {'time': '2000-03-11 11:48:39', 'p_a_conj': 5, 'p_a_maj': 23, 'p_a_allm': 28, 'p_a_min': 33, 'e': 1, 'all_conj': 5}
Row 66: {'time': '2000-03-11 15:30:32', 'p_a_conj': 5, 'p_a_maj': 28, 'p_a_allm': 33, 'p_a_min': 31, 'e': 0, 'all_conj': 5}
Row 67: {'time': '2000-03-11 09:40:32', 'p_a_conj': 10, 'p_a_maj': 22, 'p_a_allm': 32, 'p_a_min': 32, 'e': 1, 'all_conj': 10}
Row 68: {'time': '2000-03-11 13:46:31', 'p_a_conj': 6, 'p_a_maj': 27, 'p_a_allm': 33, 'p_a_min': 25, 'e': 2, 'all_conj': 6}
Row 69: {'time': '2000-03-11 14:46:31', 'p_a_conj': 9, 'p_a_maj': 29, 'p_a_allm': 38, 'p_a_min': 35, 'e': 1, 'all_conj': 9}
Row 70: {'time': '2000-03-11 13:52:31', 'p_a_conj': 4, 'p_a_maj': 29, 'p_a_allm': 33, 'p_a_min': 32, 'e': 2, 'all_conj': 4}
Row 71: {'time': '2000-03-11 11:50:31', 'p_a_conj': 4, 'p_a_maj': 21, 'p_a_allm': 25, 'p_a_min': 30, 'e': 2, 'all_conj': 4}
Row 72: {'time': '2000-03-11 15:35:59', 'p_a_conj': 5, 'p_a_maj': 20, 'p_a_allm': 25, 'p_a_min': 33, 'e': 2, 'all_conj': 5}
Row 73: {'time': '2000-03-11 13:08:39', 'p_a_conj': 11, 'p_a_maj': 22, 'p_a_allm': 33, 'p_a_min': 29, 'e': 0, 'all_conj': 11}
Row 74: {'time': '2000-03-11 11:22:47', 'p_a_conj': 6, 'p_a_maj': 20, 'p_a_allm': 26, 'p_a_min': 34, 'e': 2, 'all_conj': 6}
Row 75: {'time': '2000-03-11 11:31:04', 'p_a_conj': 9, 'p_a_maj': 20, 'p_a_allm': 29, 'p_a_min': 30, 'e': 0, 'all_conj': 9}
Row 76: {'time': '2000-03-11 07:54:47', 'p_a_conj': 8, 'p_a_maj': 26, 'p_a_allm': 34, 'p_a_min': 30, 'e': 1, 'all_conj': 8}
Row 77: {'time': '2000-03-11 11:33:52', 'p_a_conj': 11, 'p_a_maj': 16, 'p_a_allm': 27, 'p_a_min': 29, 'e': 1, 'all_conj': 11}
Row 78: {'time': '2000-03-11 10:11:59', 'p_a_conj': 9, 'p_a_maj': 23, 'p_a_allm': 32, 'p_a_min': 31, 'e': 0, 'all_conj': 9}
Row 79: {'time': '2000-03-11 07:20:07', 'p_a_conj': 6, 'p_a_maj': 17, 'p_a_allm': 23, 'p_a_min': 26, 'e': 2, 'all_conj': 6}
Row 80: {'time': '2000-03-11 14:00:39', 'p_a_conj': 6, 'p_a_maj': 21, 'p_a_allm': 27, 'p_a_min': 28, 'e': 2, 'all_conj': 6}
Row 81: {'time': '2000-03-11 15:54:08', 'p_a_conj': 9, 'p_a_maj': 25, 'p_a_allm': 34, 'p_a_min': 29, 'e': 2, 'all_conj': 9}
Row 82: {'time': '2000-03-11 11:06:08', 'p_a_conj': 11, 'p_a_maj': 21, 'p_a_allm': 32, 'p_a_min': 32, 'e': 0, 'all_conj': 11}
Row 83: {'time': '2000-03-11 12:17:04', 'p_a_conj': 8, 'p_a_maj': 24, 'p_a_allm': 32, 'p_a_min': 27, 'e': 1, 'all_conj': 8}
Row 84: {'time': '2000-03-11 15:17:28', 'p_a_conj': 4, 'p_a_maj': 25, 'p_a_allm': 29, 'p_a_min': 23, 'e': 1, 'all_conj': 4}
Row 85: {'time': '2000-03-11 06:48:56', 'p_a_conj': 7, 'p_a_maj': 16, 'p_a_allm': 23, 'p_a_min': 37, 'e': 1, 'all_conj': 7}
Row 86: {'time': '2000-03-11 09:59:59', 'p_a_conj': 3, 'p_a_maj': 20, 'p_a_allm': 23, 'p_a_min': 25, 'e': 2, 'all_conj': 3}
Row 87: {'time': '2000-03-11 11:54:00', 'p_a_conj': 6, 'p_a_maj': 25, 'p_a_allm': 31, 'p_a_min': 22, 'e': 3, 'all_conj': 6}
Row 88: {'time': '2000-03-11 08:03:04', 'p_a_conj': 4, 'p_a_maj': 20, 'p_a_allm': 24, 'p_a_min': 24, 'e': 3, 'all_conj': 4}
Row 89: {'time': '2000-03-11 13:20:15', 'p_a_conj': 5, 'p_a_maj': 29, 'p_a_allm': 34, 'p_a_min': 30, 'e': 1, 'all_conj': 5}
Row 90: {'time': '2000-03-11 15:40:47', 'p_a_conj': 6, 'p_a_maj': 17, 'p_a_allm': 23, 'p_a_min': 33, 'e': 2, 'all_conj': 6}
Row 91: {'time': '2000-03-11 14:58:23', 'p_a_conj': 6, 'p_a_maj': 23, 'p_a_allm': 29, 'p_a_min': 36, 'e': 0, 'all_conj': 6}
