Row 68: {'time': '1813-05-22 02:53:20', 'p_a_conj': 3, 'p_a_maj': 17, 'p_a_min': 16, 'a_p_conj': 0, 'e': 0, 'total_count': 36}
Row 69: {'time': '1813-05-22 08:18:32', 'p_a_conj': 2, 'p_a_maj': 12, 'p_a_min': 22, 'a_p_conj': 0, 'e': 0, 'total_count': 36}
Row 70: {'time': '1813-05-22 15:05:11', 'p_a_conj': 3, 'p_a_maj': 11, 'p_a_min': 12, 'a_p_conj': 0, 'e': 1, 'total_count': 26}
Row 71: {'time': '1813-05-22 14:34:56', 'p_a_conj': 4, 'p_a_maj': 10, 'p_a_min': 14, 'a_p_conj': 0, 'e': 2, 'total_count': 28}
Row 72: {'time': '1813-05-22 16:47:19', 'p_a_conj': 7, 'p_a_maj': 10, 'p_a_min': 16, 'a_p_conj': 0, 'e': 0, 'total_count': 33}
Row 73: {'time': '1813-05-22 04:24:55', 'p_a_conj': 2, 'p_a_maj': 18, 'p_a_min': 19, 'a_p_conj': 0, 'e': 1, 'total_count': 39}
Row 74: {'time': '1813-05-22 00:42:00', 'p_a_conj': 6, 'p_a_maj': 10, 'p_a_min': 9, 'a_p_conj': 0, 'e': 0, 'total_count': 25}
Row 75: {'time': '1813-05-22 19:45:19', 'p_a_conj': 3, 'p_a_maj': 11, 'p_a_min': 19, 'a_p_conj': 0, 'e': 0, 'total_count': 33}
Row 76: {'time': '1813-05-22 15:42:24', 'p_a_conj': 3, 'p_a_maj': 8, 'p_a_min': 10, 'a_p_conj': 0, 'e': 1, 'total_count': 21}
Row 77: {'time': '1813-05-22 04:31:20', 'p_a_conj': 5, 'p_a_maj': 10, 'p_a_min': 8, 'a_p_conj': 0, 'e': 0, 'total_count': 23}
Row 78: {'time': '1813-05-22 16:50:47', 'p_a_conj': 3, 'p_a_maj': 12, 'p_a_min': 15, 'a_p_conj': 0, 'e': 0, 'total_count': 30}
Row 79: {'time': '1813-05-22 07:18:00', 'p_a_conj': 2, 'p_a_maj': 12, 'p_a_min': 23, 'a_p_conj': 0, 'e': 0, 'total_count': 37}
Row 80: {'time': '1813-05-22 06:50:31', 'p_a_conj': 3, 'p_a_maj': 17, 'p_a_min': 18, 'a_p_conj': 0, 'e': 0, 'total_count': 38}
Row 81: {'time': '1813-05-22 01:57:04', 'p_a_conj': 4, 'p_a_maj': 11, 'p_a_min': 15, 'a_p_conj': 0, 'e': 0, 'total_count': 30}
Row 82: {'time': '1813-05-22 16:49:27', 'p_a_conj': 5, 'p_a_maj': 12, 'p_a_min': 17, 'a_p_conj': 0, 'e': 0, 'total_count': 34}
Row 83: {'time': '1813-05-22 04:50:39', 'p_a_conj': 4, 'p_a_maj': 8, 'p_a_min': 22, 'a_p_conj': 0, 'e': 0, 'total_count': 34}
Row 84: {'time': '1813-05-22 13:23:43', 'p_a_conj': 3, 'p_a_maj': 11, 'p_a_min': 25, 'a_p_conj': 0, 'e': 0, 'total_count': 39}
Row 85: {'time': '1813-05-22 03:59:12', 'p_a_conj': 3, 'p_a_maj': 15, 'p_a_min': 17, 'a_p_conj': 0, 'e': 1, 'total_count': 35}
Row 86: {'time': '1813-05-21 23:57:12', 'p_a_conj': 5, 'p_a_maj': 7, 'p_a_min': 18, 'a_p_conj': 0, 'e': 0, 'total_count': 30}
Row 87: {'time': '1813-05-22 22:12:47', 'p_a_conj': 5, 'p_a_maj': 14, 'p_a_min': 15, 'a_p_conj': 0, 'e': 0, 'total_count': 34}
Row 88: {'time': '1813-05-22 20:24:31', 'p_a_conj': 2, 'p_a_maj': 10, 'p_a_min': 13, 'a_p_conj': 0, 'e': 0, 'total_count': 25}
Row 89: {'time': '1813-05-22 15:57:12', 'p_a_conj': 2, 'p_a_maj': 13, 'p_a_min': 20, 'a_p_conj': 0, 'e': 0, 'total_count': 35}
Row 90: {'time': '1813-05-22 02:19:44', 'p_a_conj': 5, 'p_a_maj': 12, 'p_a_min': 16, 'a_p_conj': 0, 'e': 0, 'total_count': 33}
Row 91: {'time': '1813-05-22 11:03:52', 'p_a_conj': 5, 'p_a_maj': 13, 'p_a_min': 17, 'a_p_conj': 0, 'e': 0, 'total_count': 35}
Row 92: {'time': '1813-05-22 02:09:36', 'p_a_conj': 5, 'p_a_maj': 14, 'p_a_min': 10, 'a_p_conj': 0, 'e': 0, 'total_count': 29}
Row 93: {'time': '1813-05-22 07:47:03', 'p_a_conj': 2, 'p_a_maj': 8, 'p_a_min': 15, 'a_p_conj': 0, 'e': 1, 'total_count': 25}
Row 94: {'time': '1813-05-22 13:19:12', 'p_a_conj': 2, 'p_a_maj': 15, 'p_a_min': 24, 'a_p_conj': 0, 'e': 0, 'total_count': 41}
Row 95: {'time': '1813-05-22 06:59:35', 'p_a_conj': 5, 'p_a_maj': 13, 'p_a_min': 17, 'a_p_conj': 0, 'e': 0, 'total_count': 35}
Row 96: {'time': '1813-05-22 04:53:36', 'p_a_conj': 2, 'p_a_maj': 8, 'p_a_min': 24, 'a_p_conj': 0, 'e': 1, 'total_count': 34}
Row 97: {'time': '1813-05-22 08:00:47', 'p_a_conj': 4, 'p_a_maj': 8, 'p_a_min': 25, 'a_p_conj': 0, 'e': 0, 'total_count': 37}
Row 98: {'time': '1813-05-22 20:13:28', 'p_a_conj': 5, 'p_a_maj': 11, 'p_a_min': 18, 'a_p_conj': 0, 'e': 0, 'total_count': 34}
Row 99: {'time': '1813-05-22 22:21:35', 'p_a_conj': 5, 'p_a_maj': 13, 'p_a_min': 12, 'a_p_conj': 0, 'e': 0, 'total_count': 30}
Row 100: {'time': '1813-05-22 14:56:47', 'p_a_conj': 4, 'p_a_maj': 16, 'p_a_min': 16, 'a_p_conj': 0, 'e': 0, 'total_count': 36}
