['Time', '0: 2008-09-05', '1: 2009-03-19', '2: 2010-09-15', '3: 2012-03-06', '4: 2012-12-12', '5: 2013-12-12', '6: 2014-03-24', '7: 2015-05-27', '8: 2016-05-27', '9: 2017-09-15', '10: 2017-09-22', '11: 2018-02-19', '12: 2019-05-22', '13: 2021-04-06', '14: 2021-07-10', '15: 2022-05-25', 'Count']
['2000-03-11 06:17:20', '0', '1', '2', '3', '4', '5', '6', '7', '8', "(Jupiter,34.699,(r)) (H1,34.584,(d)) (conjunction,6.91')\n(H10,289.958,(r)) (Jupiter,50.041,(d)) (trine,4.97')", '10', "(H3,78.609,(r)) (Mean_Node,138.538,(d)) (sextile,4.28')\n(H3,78.609,(r)) (Jupiter,18.552,(c)) (sextile,3.43')", '12', '13', '14', '15', 4]
['2000-03-11 06:54:39', "(H4,118.822,(r)) (Mars,28.793,(d)) (square,1.71')\n(H7,207.635,(r)) (Neptune,297.628,(c)) (square,0.43')", "(H7,207.635,(r)) (Uranus,327.658,(d)) (trine,1.35')", '2', '3', '4', '5', '6', '7', "(H10,298.822,(r)) (Saturn,28.754,(c)) (square,4.05')", '9', "(H1,27.635,(r)) (Saturn,27.570,(c)) (conjunction,3.91')", '11', '12', '13', "(H10,298.822,(r)) (Uranus,298.707,(c)) (conjunction,6.90')", '15', 6]
['2000-03-11 07:20:39', "(Saturn,43.321,(r)) (H4,133.370,(d)) (square,2.95')", '1', "(Moon,55.087,(r)) (H10,295.157,(c)) (trine,4.17')", '3', '4', "(Mars,21.306,(r)) (H1,21.400,(c)) (conjunction,5.64')", "(Uranus,318.698,(r)) (H4,138.876,(d)) (opposition,10.70')\n(POF,97.428,(r)) (Sun,337.482,(c)) (trine,3.27')", '7', '8', '9', '10', '11', '12', '13', '14', "(Venus,327.310,(r)) (H10,327.149,(d)) (conjunction,9.61')", 6]
['2000-03-11 07:05:51', '0', '1', '2', '3', '4', '5', '6', "(Saturn,43.320,(r)) (H1,43.207,(d)) (conjunction,6.79')", '8', "(Uranus,318.697,(r)) (H10,318.592,(d)) (conjunction,6.33')", "(Uranus,318.697,(r)) (H10,318.611,(d)) (conjunction,5.18')", '11', '12', '13', '14', '15', 3]
['2000-03-11 05:56:24', '0', '1', '2', '3', "(Mercury,333.468,(r)) (H10,273.462,(c)) (sextile,0.36')", '5', "(H7,194.659,(r)) (Mean_Node,134.629,(d)) (sextile,1.76')", '7', '8', '9', '10', "(H4,105.061,(r)) (Mean_Node,104.889,(c)) (conjunction,10.31')", '12', '13', '14', "(H9,253.830,(r)) (Moon,73.874,(d)) (opposition,2.58')\n(H1,14.659,(r)) (Jupiter,14.519,(c)) (conjunction,8.36')", 5]
['2000-03-11 06:41:28', '0', '1', '2', '3', '4', '5', "(H3,84.120,(r)) (Pluto,264.186,(d)) (opposition,3.98')", '7', '8', '9', '10', '11', '12', '13', '14', '15', 1]
['2000-03-11 08:00:08', '0', "(H7,222.003,(r)) (Mercury,341.964,(d)) (trine,2.30')", "(Sun,351.055,(r)) (H1,50.970,(d)) (sextile,5.14')", '3', "(H10,314.900,(r)) (Venus,315.058,(c)) (conjunction,9.52')", '5', "(Mean_Node,121.343,(r)) (H4,121.298,(c)) (conjunction,2.65')", '7', '8', '9', '10', '11', '12', '13', "(H1,42.003,(r)) (Mercury,311.945,(c)) (square,3.47')", "(H10,314.900,(r)) (Jupiter,14.933,(c)) (sextile,1.98')", 6]
['2000-03-11 05:52:32', "(Mars,21.261,(r)) (H7,201.250,(d)) (opposition,0.63')\n(H7,193.792,(r)) (Mars,13.680,(c)) (opposition,6.71')", '1', '2', '3', "(Mean_Node,121.347,(r)) (H9,241.421,(c)) (trine,4.44')", "(Mercury,333.469,(r)) (H12,333.302,(c)) (conjunction,10.05')", "(Mean_Node,121.347,(r)) (H7,181.386,(c)) (sextile,2.34')", '7', '8', "(H10,284.161,(r)) (Venus,344.140,(d)) (sextile,1.27')", '10', '11', '12', '13', '14', "(H1,13.792,(r)) (Moon,73.877,(d)) (sextile,5.07')\n(Moon,54.231,(r)) (H1,354.153,(c)) (sextile,4.67')", 8]
['2000-03-11 06:26:47', '0', '1', '2', '3', '4', '5', "(Mercury,333.460,(r)) (H3,93.428,(d)) (trine,1.91')", "(H8,230.355,(r)) (Neptune,320.284,(d)) (square,4.26')\n(H1,21.449,(r)) (Neptune,291.507,(c)) (square,3.45')", '8', '9', '10', '11', "(Mercury,333.460,(r)) (H9,243.489,(c)) (square,1.76')", '13', '14', '15', 4]
['2000-03-11 06:48:07', '0', '1', '2', '3', '4', '5', "(Pluto,252.897,(r)) (H3,73.042,(c)) (opposition,8.70')", '7', '8', '9', "(Pluto,252.897,(r)) (H12,342.906,(c)) (square,0.52')", '11', "(H1,26.188,(r)) (Saturn,26.048,(c)) (conjunction,8.39')", '13', '14', "(Uranus,318.697,(r)) (H10,318.772,(d)) (conjunction,4.51')", 4]
