['Time', '0: 2017-01-31', '1: 2018-10-10', '2: 2018-04-15', '3: 2018-01-28', '4: 2016-10-05', '5: 2016-01-28', '6: 2015-11-04', '7: 2015-03-27', '8: 2015-03-16', '9: 2011-12-07', 'Count']
['2000-03-11 10:28:31', '0', '1', '2', "(Mean_Node,122.284,(c)) (H3,122.219,(c)) (conjunction,3.95')", "(Venus,327.471,(r)) (H1,87.609,(p)) (trine,8.32')", '5', "(Moon,266.664,(p)) (H1,86.850,(p)) (opposition,11.17')\n(Venus,346.802,(p)) (POF,346.802,(p)) (conjunction,0.01')", "(Jupiter,34.735,(r)) (H3,154.839,(p)) (trine,6.26')\n(H3,139.648,(r)) (Moon,259.450,(p)) (trine,11.88')", "(Jupiter,34.735,(r)) (H3,154.808,(p)) (trine,4.40')", '9', 7]
['2000-03-11 06:40:16', '0', '1', '2', '3', '4', '5', "(H1,24.443,(r)) (Moon,264.791,(p)) (trine,20.84')\n(H10,295.380,(r)) (POF,295.244,(p)) (conjunction,8.21')", '7', '8', "(H1,24.443,(r)) (Moon,264.166,(c)) (trine,16.68')\n(H9,263.846,(r)) (Moon,264.166,(c)) (conjunction,19.19')", 4]
['2000-03-11 13:49:35', "(Jupiter,34.764,(r)) (H3,214.853,(p)) (opposition,5.37')\n(Jupiter,31.505,(c)) (H10,31.342,(c)) (conjunction,9.75')", "(H1,122.626,(r)) (Moon,303.114,(p)) (opposition,29.27')\n(H1,122.626,(r)) (Moon,182.550,(c)) (sextile,4.57')", '2', '3', "(Jupiter,31.563,(c)) (H10,31.662,(c)) (conjunction,5.99')", "(H10,47.434,(r)) (Venus,347.262,(p)) (sextile,10.33')\n(Uranus,319.467,(p)) (H1,139.492,(p)) (opposition,1.50')", '6', "(Uranus,318.712,(r)) (H1,138.558,(p)) (opposition,9.24')\n(Mercury,333.347,(r)) (H10,33.171,(c)) (sextile,10.57')\n(Moon,228.170,(c)) (H1,107.861,(c)) (trine,18.59')", "(Mercury,333.347,(r)) (H10,33.200,(c)) (sextile,8.79')\n(Mean_Node,121.330,(r)) (H3,181.150,(c)) (sextile,10.78')", '9', 12]
['2000-03-11 07:46:39', "(Venus,327.332,(r)) (H10,327.200,(p)) (conjunction,7.94')", "(Moon,55.340,(r)) (H3,115.363,(p)) (sextile,1.36')", '2', "(Moon,55.340,(r)) (H10,295.301,(c)) (trine,2.34')", "(Moon,205.797,(c)) (H1,25.478,(c)) (opposition,19.12')", "(H1,39.066,(r)) (Mercury,339.098,(p)) (sextile,1.92')\n(H3,99.168,(r)) (Mercury,339.098,(p)) (trine,4.21')", "(H1,39.066,(r)) (Mercury,338.886,(p)) (sextile,10.77')", "(Sun,351.046,(r)) (H1,50.964,(p)) (sextile,4.91')", "(Sun,351.046,(r)) (H1,50.941,(p)) (sextile,6.33')", "(H9,279.168,(r)) (Sun,339.285,(c)) (sextile,7.05')", 10]
['2000-03-11 10:23:51', '0', "(Moon,180.604,(c)) (H3,120.375,(c)) (sextile,13.75')", "(Jupiter,34.734,(r)) (H10,334.611,(c)) (sextile,7.42')", "(Venus,327.467,(r)) (H1,87.633,(p)) (trine,9.99')\n(H10,352.808,(r)) (Moon,293.059,(p)) (sextile,15.05')\n(Jupiter,34.734,(r)) (H10,334.824,(c)) (sextile,5.37')", "(Mean_Node,122.215,(c)) (H3,122.301,(c)) (conjunction,5.19')", '5', '6', "(Mercury,333.398,(r)) (H3,153.517,(p)) (opposition,7.12')\n(Mercury,338.442,(p)) (POF,338.598,(p)) (conjunction,9.35')", "(Mercury,333.398,(r)) (H3,153.486,(p)) (opposition,5.26')\n(Mercury,338.416,(p)) (POF,338.244,(p)) (conjunction,10.27')", "(H1,73.140,(r)) (Venus,312.959,(c)) (trine,10.86')", 11]
['2000-03-11 06:30:00', "(Sun,7.778,(p)) (H10,307.774,(p)) (sextile,0.21')", "(Venus,327.266,(r)) (POF,327.102,(p)) (conjunction,9.87')\n(Sun,9.448,(p)) (H10,309.288,(p)) (sextile,9.58')", "(Sun,8.966,(p)) (H10,308.850,(p)) (sextile,6.94')", "(Sun,8.758,(p)) (H10,308.661,(p)) (sextile,5.77')", "(Sun,7.458,(p)) (H10,307.485,(p)) (sextile,1.65')\n(Moon,275.585,(p)) (H1,35.490,(p)) (trine,5.73')\n(Moon,275.585,(p)) (H3,95.361,(p)) (opposition,13.47')", "(Jupiter,34.701,(r)) (H3,94.782,(p)) (sextile,4.88')\n(Sun,6.778,(p)) (H10,306.872,(p)) (sextile,5.65')", "(Jupiter,34.701,(r)) (H1,34.757,(p)) (conjunction,3.38')\n(Jupiter,34.701,(r)) (H3,94.587,(p)) (sextile,6.87')\n(H10,292.945,(r)) (POF,292.916,(p)) (conjunction,1.71')\n(Sun,6.548,(p)) (H10,306.665,(p)) (sextile,7.03')", "(Sun,5.946,(p)) (H10,306.124,(p)) (sextile,10.67')\n(Venus,308.680,(c)) (H3,68.715,(c)) (trine,2.09')", "(Sun,5.916,(p)) (H10,306.097,(p)) (sextile,10.85')\n(Venus,308.717,(c)) (H3,68.741,(c)) (trine,1.43')", '9', 18]
['2000-03-11 14:18:40', "(Moon,283.236,(p)) (H3,222.752,(p)) (sextile,29.06')", '1', '2', "(H10,54.616,(r)) (Moon,294.995,(p)) (trine,22.72')", '4', '5', "(Moon,268.550,(p)) (H1,148.359,(p)) (trine,11.49')", "(Venus,327.668,(r)) (H1,147.651,(p)) (opposition,1.04')", "(Venus,327.668,(r)) (H1,147.616,(p)) (opposition,3.14')", "(Venus,313.161,(c)) (H9,13.276,(c)) (sextile,6.87')", 6]
['2000-03-11 08:50:07', '0', '1', "(H3,114.340,(r)) (Moon,294.796,(p)) (opposition,27.34')", '3', '4', '5', '6', '7', '8', "(Mercury,343.364,(c)) (H1,43.414,(c)) (sextile,3.02')", 2]
['2000-03-11 05:36:39', '0', "(H3,69.316,(r)) (Sun,9.411,(p)) (sextile,5.72')", '2', '3', '4', "(Moon,54.077,(r)) (H10,294.011,(p)) (trine,3.94')", "(Venus,327.220,(r)) (H10,267.058,(c)) (sextile,9.75')", '7', '8', "(Uranus,319.266,(p)) (H9,259.096,(p)) (sextile,10.21')", 4]
['2000-03-11 10:11:59', "(Moon,56.753,(r)) (H1,56.926,(c)) (conjunction,10.38')", '1', "(Mercury,333.401,(r)) (H3,153.295,(p)) (opposition,6.36')", "(H10,349.578,(r)) (Venus,349.547,(p)) (conjunction,1.82')\n(Sun,8.910,(p)) (POF,8.995,(p)) (conjunction,5.10')", '4', '5', '6', '7', "(Jupiter,34.733,(r)) (H10,334.565,(c)) (sextile,10.04')\n(Venus,308.908,(c)) (POF,309.042,(c)) (conjunction,8.08')", '9', 6]
