['Time', '0: 2008-09-05', '1: 2009-03-19', '2: 2013-12-12', '3: 2014-03-24', '4: 2015-05-27', '5: 2017-09-15', '6: 2018-02-19', '7: 2019-05-22', '8: 2019-08-13', '9: 2021-04-06', '10: 2021-07-10', '11: 2022-01-03', '12: 2022-05-25', '13: 2024-02-28', '14: 2024-03-08', '15: 1994-07-02', '16: 1997-08-13', '17: 1997-11-16', '18: 2021-02-20', 'Count']
['2000-03-11 11:26:47', "(H10,9.981,(r)) (Uranus,310.044,(c)) (sextile,4')", '1', "(Mars,21.434,(r)) (H3,171.482,(d)) (150-quincunx,3')", "(H3,155.832,(r)) (Sun,335.731,(c)) (opposition,6')", '4', "(Sun,351.199,(r)) (H10,351.192,(c)) (conjunction,0')", '6', "(H1,87.143,(r)) (Pluto,267.079,(d)) (opposition,4')", "(H1,87.143,(r)) (Pluto,267.283,(d)) (opposition,8')", "(H1,87.143,(r)) (Uranus,297.224,(c)) (150-quincunx,5')", "(Pluto,252.898,(r)) (H9,312.817,(c)) (sextile,5')", "(H1,87.143,(r)) (Mercury,357.121,(d)) (square,1')\n(H10,9.981,(r)) (Mean_Node,99.988,(c)) (square,0')", '12', '13', "(Mercury,333.382,(r)) (H3,183.308,(d)) (150-quincunx,4')\n(H10,9.981,(r)) (Sun,325.070,(c)) (45-semisquare,5')", "(H8,300.088,(r)) (Pluto,255.131,(d)) (45-semisquare,3')", "(Moon,57.481,(r)) (H8,297.464,(c)) (trine,1')\n(Venus,327.521,(r)) (H8,297.464,(c)) (30-semisextile,3')\n(H4,189.981,(r)) (Moon,54.898,(c)) (135-sesquisquare,5')", "(Moon,57.481,(r)) (H4,192.454,(d)) (135-sesquisquare,2')\n(Venus,327.521,(r)) (H4,192.454,(d)) (135-sesquisquare,4')", '18', 235]
['2000-03-11 07:49:19', "(H1,39.648,(r)) (Mean_Node,129.625,(d)) (square,1')", "(Mercury,333.438,(r)) (H4,123.458,(c)) (150-quincunx,1')\n(H4,132.194,(r)) (Sun,342.187,(c)) (150-quincunx,0')", "(Mars,21.321,(r)) (H1,51.390,(d)) (30-semisextile,4')\n(H3,99.792,(r)) (Saturn,54.770,(d)) (45-semisquare,1')", '3', '4', "(H1,39.648,(r)) (Moon,69.739,(d)) (30-semisextile,5')\n(H3,99.792,(r)) (Moon,69.739,(d)) (30-semisextile,3')\n(Moon,55.366,(r)) (H10,295.428,(c)) (trine,4')", '6', "(Pluto,252.897,(r)) (H3,117.960,(d)) (135-sesquisquare,4')\n(H3,99.792,(r)) (Neptune,324.817,(d)) (135-sesquisquare,1')", '8', "(Mercury,333.438,(r)) (H10,333.507,(d)) (conjunction,4')\n(Mercury,333.438,(r)) (H12,33.433,(d)) (sextile,0')\n(Mars,21.321,(r)) (H1,21.379,(c)) (conjunction,3')\n(Neptune,305.683,(r)) (H3,80.698,(c)) (135-sesquisquare,1')\n(H10,312.194,(r)) (Mercury,312.323,(c)) (conjunction,8')", "(Mars,21.321,(r)) (H1,21.151,(c)) (conjunction,10')\n(H10,312.194,(r)) (Mercury,312.076,(c)) (conjunction,7')", '11', '12', "(H4,132.194,(r)) (Mercury,357.230,(d)) (135-sesquisquare,2')\n(H1,39.648,(r)) (Mercury,309.577,(c)) (square,4')", "(H10,312.194,(r)) (Mercury,357.255,(d)) (45-semisquare,4')", '15', '16', '17', "(Venus,327.334,(r)) (H8,267.381,(d)) (sextile,3')\n(Mars,21.321,(r)) (H1,21.487,(c)) (conjunction,10')", 310]
['2000-03-11 15:11:59', "(Mean_Node,121.327,(r)) (H3,211.400,(c)) (square,4')\n(H3,220.559,(r)) (Sun,340.522,(c)) (trine,2')", '1', "(H10,67.428,(r)) (Mars,37.454,(d)) (30-semisextile,2')", '3', "(Sun,351.355,(r)) (H10,81.379,(d)) (square,1')", "(Sun,351.355,(r)) (H1,126.419,(c)) (135-sesquisquare,4')\n(Sun,351.355,(r)) (H3,201.359,(c)) (150-quincunx,0')", "(H4,247.428,(r)) (Venus,307.397,(c)) (sextile,2')\n(H7,327.193,(r)) (Pluto,237.113,(c)) (square,5')", "(H1,147.193,(r)) (Neptune,327.289,(d)) (opposition,6')\n(H1,147.193,(r)) (Sun,327.316,(c)) (opposition,7')", "(H1,147.193,(r)) (Sun,327.043,(c)) (opposition,9')\n(H1,147.193,(r)) (Mean_Node,102.105,(c)) (45-semisquare,5')", "(Uranus,318.715,(r)) (H12,138.870,(d)) (opposition,9')\n(H3,220.559,(r)) (Mean_Node,100.552,(c)) (trine,0')", '10', "(H3,220.559,(r)) (Jupiter,10.620,(c)) (150-quincunx,4')", '12', "(Jupiter,34.775,(r)) (H3,244.826,(d)) (150-quincunx,3')", "(Jupiter,34.775,(r)) (H3,244.850,(d)) (150-quincunx,4')", "(H10,67.428,(r)) (Mean_Node,127.342,(d)) (sextile,5')", '16', '17', "(Uranus,318.715,(r)) (H12,138.731,(d)) (opposition,1')", 283]
['2000-03-11 04:07:04', '0', '1', '2', "(Mean_Node,121.351,(r)) (H3,61.392,(d)) (sextile,2')", "(Mercury,333.498,(r)) (H1,3.530,(d)) (30-semisextile,2')\n(Uranus,318.691,(r)) (H10,273.606,(d)) (45-semisquare,5')\n(H1,350.070,(r)) (Uranus,305.077,(c)) (45-semisquare,0')", "(Jupiter,34.681,(r)) (H1,334.686,(c)) (sextile,0')", "(H4,79.831,(r)) (Mercury,349.817,(d)) (square,1')\n(Mean_Node,121.351,(r)) (H3,31.411,(c)) (square,4')", "(H3,48.467,(r)) (Neptune,288.508,(c)) (trine,2')", "(Mars,21.206,(r)) (H3,66.279,(d)) (45-semisquare,4')", '9', '10', '11', '12', '13', '14', "(Moon,53.206,(r)) (H8,203.294,(d)) (150-quincunx,5')", '16', '17', "(Saturn,43.308,(r)) (H8,178.368,(c)) (135-sesquisquare,4')", 116]
['2000-03-11 13:40:00', "(H10,45.027,(r)) (Neptune,315.109,(d)) (square,5')", "(H7,299.990,(r)) (Uranus,330.066,(d)) (30-semisextile,5')", "(Moon,58.777,(r)) (H3,178.833,(c)) (trine,3')\n(H1,119.990,(r)) (Saturn,30.071,(c)) (square,5')", "(Moon,58.777,(r)) (H4,238.631,(d)) (opposition,9')", "(Mercury,333.349,(r)) (H12,108.350,(d)) (135-sesquisquare,0')\n(H10,45.027,(r)) (Moon,44.977,(c)) (conjunction,3')", "(H1,119.990,(r)) (Uranus,299.951,(c)) (opposition,2')", "(Jupiter,34.762,(r)) (H3,214.706,(d)) (opposition,3')\n(H7,299.990,(r)) (Sun,330.009,(c)) (30-semisextile,1')", "(H3,194.679,(r)) (Sun,14.577,(d)) (opposition,6')\n(H1,119.990,(r)) (Mars,359.935,(c)) (trine,3')\n(H10,45.027,(r)) (Mars,359.935,(c)) (45-semisquare,6')", "(Sun,351.291,(r)) (H3,216.304,(d)) (135-sesquisquare,1')\n(H3,194.679,(r)) (Sun,14.850,(d)) (opposition,10')", '9', '10', '11', '12', '13', '14', "(Sun,351.291,(r)) (H1,126.204,(d)) (135-sesquisquare,5')\n(Mean_Node,121.330,(r)) (H8,331.260,(c)) (150-quincunx,4')", '16', '17', "(H1,119.990,(r)) (Uranus,345.045,(d)) (135-sesquisquare,3')\n(H4,225.027,(r)) (Uranus,345.045,(d)) (trine,1')", 260]
['2000-03-11 15:44:39', "(H1,157.876,(r)) (Mean_Node,112.796,(c)) (45-semisquare,5')", '1', "(H1,157.876,(r)) (Mars,37.794,(d)) (trine,5')", "(Mercury,333.319,(r)) (H3,243.251,(d)) (square,4')", "(Mars,21.567,(r)) (H12,141.642,(d)) (trine,5')\n(Saturn,43.354,(r)) (H1,178.346,(d)) (135-sesquisquare,1')\n(H1,157.876,(r)) (Uranus,337.731,(d)) (opposition,9')\n(Uranus,318.716,(r)) (H1,138.711,(c)) (opposition,0')", '5', "(Mean_Node,121.325,(r)) (H4,271.378,(d)) (150-quincunx,3')\n(H4,255.089,(r)) (Sun,15.072,(d)) (trine,1')", "(Uranus,318.716,(r)) (H1,183.787,(d)) (135-sesquisquare,4')", '8', "(H10,75.089,(r)) (Uranus,345.177,(d)) (square,5')", '10', '11', "(Pluto,252.898,(r)) (H12,102.891,(c)) (150-quincunx,0')", "(H1,157.876,(r)) (Sun,22.843,(d)) (135-sesquisquare,2')", "(H1,157.876,(r)) (Sun,22.874,(d)) (135-sesquisquare,0')", '15', "(Pluto,252.898,(r)) (H4,252.725,(c)) (conjunction,10')", "(Jupiter,34.780,(r)) (H1,154.850,(c)) (trine,4')\n(Pluto,252.898,(r)) (H4,252.964,(c)) (conjunction,4')", "(H4,255.089,(r)) (Uranus,345.019,(d)) (square,4')\n(Sun,351.378,(r)) (H8,351.336,(c)) (conjunction,2')", 267]
['2000-03-11 12:09:04', "(Moon,57.892,(r)) (H3,177.810,(d)) (trine,5')", '1', "(Neptune,305.689,(r)) (H10,35.627,(d)) (square,4')\n(H1,96.954,(r)) (Sun,7.007,(d)) (square,3')\n(H3,168.028,(r)) (Mercury,347.991,(d)) (opposition,2')\n(Mean_Node,121.333,(r)) (H12,61.325,(c)) (sextile,1')\n(H1,96.954,(r)) (Mars,6.903,(c)) (square,3')\n(H10,21.391,(r)) (Neptune,291.450,(c)) (square,4')", '3', "(H3,168.028,(r)) (Mean_Node,137.946,(d)) (30-semisextile,5')", "(H1,96.954,(r)) (Jupiter,51.989,(d)) (45-semisquare,2')\n(Sun,351.228,(r)) (H1,81.157,(c)) (square,4')", "(Moon,57.892,(r)) (H3,147.869,(c)) (square,1')", '7', '8', "(Moon,57.892,(r)) (H1,117.804,(d)) (sextile,5')\n(Pluto,252.898,(r)) (H10,42.987,(d)) (150-quincunx,5')", "(Saturn,43.340,(r)) (H10,43.246,(d)) (conjunction,6')\n(H1,96.954,(r)) (Pluto,231.966,(c)) (135-sesquisquare,1')", '11', '12', '13', '14', '15', "(Uranus,318.708,(r)) (H4,198.674,(c)) (trine,2')", "(Mars,21.455,(r)) (H5,231.404,(d)) (150-quincunx,3')\n(Jupiter,34.749,(r)) (H1,94.802,(c)) (sextile,3')", "(Pluto,252.898,(r)) (H4,222.864,(d)) (30-semisextile,2')", 275]
['2000-03-11 06:30:16', '0', "(Mean_Node,121.346,(r)) (H4,121.489,(d)) (conjunction,9')\n(H4,113.008,(r)) (Mean_Node,112.943,(c)) (conjunction,4')", "(Sun,350.993,(r)) (H10,306.019,(d)) (45-semisquare,2')\n(H10,293.008,(r)) (Sun,338.046,(c)) (45-semisquare,2')", "(H7,202.221,(r)) (Jupiter,22.144,(c)) (opposition,5')", "(H3,81.561,(r)) (Neptune,291.493,(c)) (150-quincunx,4')", '5', '6', '7', "(Saturn,43.318,(r)) (H12,13.317,(d)) (30-semisextile,0')", "(Uranus,318.696,(r)) (H1,3.653,(c)) (45-semisquare,3')\n(Uranus,318.696,(r)) (H10,273.732,(c)) (45-semisquare,2')", "(Saturn,43.318,(r)) (H10,313.395,(d)) (square,5')\n(Mercury,333.459,(r)) (H1,3.423,(c)) (30-semisextile,2')\n(Mercury,333.459,(r)) (H10,273.497,(c)) (sextile,2')", '11', '12', '13', '14', '15', '16', "(H1,22.221,(r)) (Moon,52.200,(c)) (30-semisextile,1')", "(Uranus,318.696,(r)) (H1,3.762,(c)) (45-semisquare,4')\n(H4,113.008,(r)) (Pluto,232.967,(c)) (trine,2')", 189]
['2000-03-11 10:03:43', "(H3,133.029,(r)) (Mars,13.064,(c)) (trine,2')", '1', "(Neptune,305.686,(r)) (H1,80.625,(d)) (135-sesquisquare,4')\n(H10,347.333,(r)) (Mercury,347.347,(d)) (conjunction,1')", "(Moon,56.673,(r)) (H7,236.818,(c)) (opposition,9')", "(Uranus,318.704,(r)) (H10,3.639,(d)) (45-semisquare,4')\n(Mean_Node,121.338,(r)) (H10,331.330,(c)) (150-quincunx,0')", '5', "(H4,167.333,(r)) (Venus,347.477,(d)) (opposition,9')", "(Pluto,252.897,(r)) (H12,27.862,(c)) (135-sesquisquare,2')", '8', "(Neptune,305.686,(r)) (H3,155.770,(d)) (150-quincunx,5')", "(H1,68.753,(r)) (Saturn,23.785,(c)) (45-semisquare,2')", '11', '12', '13', '14', '15', "(Pluto,252.897,(r)) (H12,42.964,(c)) (150-quincunx,4')", "(Jupiter,34.731,(r)) (H4,169.806,(d)) (135-sesquisquare,4')\n(H1,68.753,(r)) (Mars,23.691,(d)) (45-semisquare,4')", '18', 142]
['2000-03-11 02:53:28', '0', '1', "(Moon,52.491,(r)) (H12,292.563,(c)) (trine,4')", '3', "(H3,30.661,(r)) (Pluto,240.665,(c)) (150-quincunx,0')", "(Uranus,318.688,(r)) (H10,258.735,(d)) (sextile,3')\n(H10,242.555,(r)) (Jupiter,17.610,(c)) (135-sesquisquare,3')", '6', '7', "(Sun,350.843,(r)) (H1,350.692,(d)) (conjunction,9')\n(Neptune,305.678,(r)) (H1,350.692,(d)) (45-semisquare,1')\n(H10,242.555,(r)) (Pluto,272.642,(d)) (30-semisextile,5')\n(H1,333.637,(r)) (Neptune,288.638,(c)) (45-semisquare,0')", "(H1,333.637,(r)) (Saturn,63.550,(d)) (square,5')\n(H3,30.661,(r)) (Mars,0.596,(c)) (30-semisextile,4')", '10', '11', '12', "(H3,30.661,(r)) (Moon,75.738,(d)) (45-semisquare,5')", '14', '15', "(H1,333.637,(r)) (Mean_Node,123.634,(d)) (150-quincunx,0')\n(Mean_Node,121.354,(r)) (H1,331.396,(c)) (150-quincunx,3')\n(H1,333.637,(r)) (Mars,18.702,(c)) (45-semisquare,4')", "(Jupiter,34.670,(r)) (H4,64.726,(d)) (30-semisextile,3')\n(H4,62.555,(r)) (Jupiter,32.617,(c)) (30-semisextile,4')", "(H8,180.465,(r)) (Uranus,300.392,(c)) (trine,4')", 177]
['2000-03-11 16:20:56', "(Neptune,305.694,(r)) (H12,125.755,(c)) (opposition,4')", '1', "(Moon,60.344,(r)) (H12,120.272,(c)) (sextile,4')", '3', '4', "(H10,83.487,(r)) (Venus,308.483,(c)) (135-sesquisquare,0')", "(H7,350.201,(r)) (Mean_Node,140.254,(d)) (150-quincunx,3')", "(H1,170.201,(r)) (Moon,80.125,(d)) (square,5')\n(H3,238.533,(r)) (Uranus,298.519,(c)) (sextile,1')", "(Neptune,305.694,(r)) (H10,65.668,(c)) (trine,2')", "(Uranus,318.717,(r)) (H1,198.762,(d)) (trine,3')\n(Uranus,318.717,(r)) (H3,258.645,(d)) (sextile,4')\n(H3,238.533,(r)) (Neptune,328.606,(d)) (square,4')", "(Pluto,252.898,(r)) (H10,102.821,(d)) (150-quincunx,5')", '11', '12', "(Sun,351.403,(r)) (H3,261.316,(d)) (square,5')\n(Mean_Node,121.324,(r)) (H4,241.404,(c)) (trine,5')", "(Sun,351.403,(r)) (H3,261.339,(d)) (square,4')\n(Moon,60.344,(r)) (H10,105.255,(d)) (45-semisquare,5')\n(Mean_Node,121.324,(r)) (H10,61.381,(c)) (sextile,3')", "(Sun,351.403,(r)) (H12,141.309,(d)) (150-quincunx,6')\n(H1,170.201,(r)) (Pluto,260.121,(d)) (square,5')\n(H8,28.570,(r)) (Mars,28.669,(d)) (conjunction,6')\n(Mars,21.586,(r)) (H8,21.738,(c)) (conjunction,9')\n(H10,83.487,(r)) (Saturn,38.459,(c)) (45-semisquare,2')", '16', "(Sun,351.403,(r)) (H4,261.385,(c)) (square,1')\n(Moon,60.344,(r)) (H5,285.411,(c)) (135-sesquisquare,4')", '18', 314]
['2000-03-11 06:06:56', "(Moon,54.370,(r)) (H1,24.452,(d)) (30-semisextile,5')", "(Moon,54.370,(r)) (H3,84.335,(d)) (30-semisextile,2')", "(H1,17.016,(r)) (Uranus,332.028,(d)) (45-semisquare,1')", "(H7,197.016,(r)) (Jupiter,47.065,(d)) (150-quincunx,3')\n(Jupiter,34.698,(r)) (H4,94.730,(c)) (sextile,2')\n(Jupiter,34.698,(r)) (H7,184.629,(c)) (150-quincunx,4')", "(Uranus,318.695,(r)) (H10,273.666,(c)) (45-semisquare,2')", '5', '6', "(Mercury,333.465,(r)) (H3,93.526,(d)) (trine,4')\n(Neptune,305.681,(r)) (H10,305.543,(d)) (conjunction,8')", "(Uranus,318.695,(r)) (H3,93.733,(d)) (135-sesquisquare,2')\n(Neptune,305.681,(r)) (H10,305.762,(d)) (conjunction,5')", "(Moon,54.370,(r)) (H12,9.302,(d)) (45-semisquare,4')\n(Saturn,43.316,(r)) (H1,358.398,(c)) (45-semisquare,5')\n(Saturn,43.316,(r)) (H10,268.364,(c)) (135-sesquisquare,3')\n(H3,76.236,(r)) (Neptune,286.256,(c)) (150-quincunx,1')", "(Neptune,305.681,(r)) (H1,35.595,(d)) (square,5')\n(H1,17.016,(r)) (Saturn,62.080,(d)) (45-semisquare,4')", "(Sun,350.977,(r)) (H1,36.012,(d)) (45-semisquare,2')", '12', "(Moon,54.370,(r)) (H3,54.510,(c)) (conjunction,8')", "(Moon,54.370,(r)) (H3,54.487,(c)) (conjunction,7')", "(Sun,350.977,(r)) (H8,230.922,(d)) (trine,3')", '16', "(Mars,21.268,(r)) (H5,141.298,(d)) (trine,2')", '18', 255]
['2000-03-11 15:50:56', "(Sun,351.382,(r)) (H1,171.362,(d)) (opposition,1')\n(Pluto,252.898,(r)) (H12,117.862,(c)) (135-sesquisquare,2')\n(H3,230.866,(r)) (Mercury,320.820,(c)) (square,3')", "(Moon,60.052,(r)) (H3,239.906,(d)) (opposition,9')\n(H7,339.976,(r)) (Venus,340.140,(d)) (conjunction,10')", "(Sun,351.382,(r)) (H3,216.438,(c)) (135-sesquisquare,3')", "(Jupiter,34.781,(r)) (H3,244.796,(d)) (150-quincunx,1')\n(H7,339.976,(r)) (Sun,10.036,(d)) (30-semisextile,4')", "(H10,76.546,(r)) (Moon,46.462,(c)) (30-semisextile,5')", "(Uranus,318.716,(r)) (H1,183.668,(d)) (135-sesquisquare,3')", "(Moon,60.052,(r)) (H4,239.886,(c)) (opposition,10')", '7', '8', "(Neptune,305.693,(r)) (H10,95.650,(d)) (150-quincunx,3')", "(Saturn,43.355,(r)) (H1,133.354,(c)) (square,0')\n(H9,50.866,(r)) (Saturn,20.956,(c)) (30-semisextile,5')", "(H1,159.976,(r)) (Jupiter,10.058,(c)) (150-quincunx,5')\n(H1,159.976,(r)) (Mean_Node,100.069,(c)) (sextile,6')", "(H10,76.546,(r)) (Uranus,346.497,(d)) (square,3')", '13', "(H3,230.866,(r)) (Sun,320.932,(c)) (square,4')", '15', "(Saturn,43.355,(r)) (H1,163.400,(d)) (trine,3')\n(Mars,21.570,(r)) (H1,156.587,(c)) (135-sesquisquare,1')", "(Uranus,318.716,(r)) (H4,258.660,(d)) (sextile,3')\n(H4,256.546,(r)) (Pluto,256.515,(d)) (conjunction,2')\n(H4,256.546,(r)) (Uranus,316.616,(c)) (sextile,4')", '18', 311]
['2000-03-11 16:40:31', "(Neptune,305.694,(r)) (H10,95.678,(d)) (150-quincunx,1')\n(H1,176.981,(r)) (Neptune,297.001,(c)) (trine,1')", "(Jupiter,34.788,(r)) (H4,259.822,(c)) (135-sesquisquare,2')", "(Mars,21.596,(r)) (H12,156.633,(d)) (135-sesquisquare,2')\n(H3,243.420,(r)) (Sun,333.350,(c)) (square,4')", "(H4,268.000,(r)) (Pluto,268.056,(d)) (conjunction,3')", "(Mars,21.596,(r)) (H1,156.565,(c)) (135-sesquisquare,2')", '5', "(H4,268.000,(r)) (Sun,328.061,(c)) (sextile,4')", "(Mars,21.596,(r)) (H3,261.511,(d)) (trine,5')\n(Mean_Node,121.323,(r)) (H1,151.407,(c)) (30-semisextile,5')\n(H1,176.981,(r)) (Pluto,237.025,(c)) (sextile,3')", "(H1,176.981,(r)) (Mars,356.920,(c)) (opposition,4')", "(H10,88.000,(r)) (Mercury,358.034,(d)) (square,2')\n(Pluto,252.898,(r)) (H12,117.895,(c)) (135-sesquisquare,0')", '10', '11', '12', '13', '14', '15', "(Moon,60.535,(r)) (H1,180.499,(d)) (trine,2')\n(Mean_Node,121.323,(r)) (H8,31.413,(c)) (square,5')\n(H1,176.981,(r)) (Saturn,41.929,(c)) (135-sesquisquare,3')", '17', "(H1,176.981,(r)) (Uranus,296.905,(c)) (trine,5')", 246]
['2000-03-11 04:12:15', "(Saturn,43.309,(r)) (H10,253.284,(c)) (150-quincunx,2')", "(Pluto,252.897,(r)) (H4,72.793,(c)) (opposition,6')", "(Mercury,333.496,(r)) (H1,3.414,(d)) (30-semisextile,5')\n(Mercury,333.496,(r)) (H10,273.487,(d)) (sextile,1')\n(H1,351.238,(r)) (Mercury,321.208,(c)) (30-semisextile,2')", "(Uranus,318.691,(r)) (H4,93.740,(d)) (135-sesquisquare,3')\n(Uranus,318.691,(r)) (H7,183.661,(d)) (135-sesquisquare,2')\n(H4,81.033,(r)) (Mercury,320.961,(c)) (trine,4')\n(H4,81.033,(r)) (Uranus,306.101,(c)) (135-sesquisquare,4')", "(H3,49.699,(r)) (Neptune,319.611,(d)) (square,5')", '5', "(H7,171.238,(r)) (Jupiter,51.310,(d)) (trine,4')", "(Moon,53.257,(r)) (H1,8.227,(d)) (45-semisquare,2')\n(H10,261.033,(r)) (Mercury,350.989,(d)) (square,3')", "(H1,351.238,(r)) (Mercury,351.198,(d)) (conjunction,2')\n(Mean_Node,121.351,(r)) (H3,31.260,(c)) (square,5')", '9', "(Mercury,333.496,(r)) (H12,303.522,(c)) (30-semisextile,2')", '11', '12', '13', '14', '15', "(H4,81.033,(r)) (Uranus,321.034,(d)) (trine,0')\n(Uranus,318.691,(r)) (H4,78.690,(c)) (trine,0')", "(Moon,53.257,(r)) (H1,353.285,(d)) (sextile,2')", '18', 242]
['2000-03-11 02:31:20', "(Mars,21.157,(r)) (H1,336.131,(d)) (45-semisquare,2')\n(H1,328.746,(r)) (Sun,358.728,(d)) (30-semisextile,1')\n(Moon,52.277,(r)) (H12,292.246,(c)) (trine,2')", '1', '2', '3', "(H1,328.746,(r)) (Saturn,28.745,(c)) (sextile,0')", '5', '6', "(Pluto,252.897,(r)) (H12,282.833,(c)) (30-semisextile,4')\n(H10,237.223,(r)) (Pluto,237.067,(c)) (conjunction,9')", '8', "(H3,25.174,(r)) (Pluto,235.229,(c)) (150-quincunx,3')", "(Uranus,318.688,(r)) (H12,318.654,(d)) (conjunction,2')", "(Sun,350.827,(r)) (H10,215.741,(c)) (135-sesquisquare,5')\n(Mercury,333.524,(r)) (H3,3.495,(c)) (30-semisextile,2')\n(H10,237.223,(r)) (Mean_Node,102.208,(c)) (135-sesquisquare,1')", '12', "(Jupiter,34.667,(r)) (H1,349.734,(d)) (45-semisquare,4')\n(Mercury,333.524,(r)) (H4,33.547,(c)) (sextile,1')\n(Mean_Node,121.355,(r)) (H3,1.337,(c)) (trine,1')\n(H1,328.746,(r)) (Sun,328.787,(c)) (conjunction,2')", "(Jupiter,34.667,(r)) (H1,349.756,(d)) (45-semisquare,5')\n(Mercury,333.524,(r)) (H10,213.522,(c)) (trine,0')\n(Mean_Node,121.355,(r)) (H3,1.312,(c)) (trine,3')\n(H1,328.746,(r)) (Sun,328.764,(c)) (conjunction,1')", '15', '16', "(Venus,327.061,(r)) (H5,86.994,(c)) (trine,4')", "(Neptune,305.677,(r)) (H8,155.616,(c)) (150-quincunx,4')", 273]
['2000-03-11 10:25:51', "(Mars,21.402,(r)) (H1,66.314,(c)) (45-semisquare,5')\n(H10,353.353,(r)) (Mercury,323.287,(c)) (30-semisextile,4')", '1', '2', '3', "(Moon,56.888,(r)) (H1,86.884,(d)) (30-semisextile,0')", "(Jupiter,34.735,(r)) (H10,334.785,(c)) (sextile,3')", "(H7,253.578,(r)) (Mercury,313.506,(c)) (sextile,4')", '7', "(Moon,56.888,(r)) (H1,57.023,(c)) (conjunction,8')", "(Mean_Node,121.337,(r)) (H12,31.305,(c)) (square,2')", '10', '11', "(Saturn,43.333,(r)) (H9,343.407,(d)) (sextile,4')\n(H1,73.578,(r)) (Uranus,343.534,(d)) (square,3')", '13', '14', '15', "(Neptune,305.687,(r)) (H4,170.594,(c)) (135-sesquisquare,6')", "(H5,204.138,(r)) (Moon,54.208,(c)) (150-quincunx,4')", "(Neptune,305.687,(r)) (H8,305.758,(d)) (conjunction,4')\n(Mean_Node,121.337,(r)) (H12,31.417,(c)) (square,5')", 176]
['2000-03-11 07:37:11', '0', '1', "(Uranus,318.698,(r)) (H1,48.766,(d)) (square,4')", '3', "(Moon,55.248,(r)) (H12,25.225,(d)) (30-semisextile,1')", "(Sun,351.040,(r)) (H3,81.120,(c)) (square,5')\n(H10,309.181,(r)) (Moon,39.173,(c)) (square,0')", "(H3,96.958,(r)) (Uranus,336.951,(d)) (trine,0')\n(H7,216.996,(r)) (Uranus,336.951,(d)) (trine,3')", "(Sun,351.040,(r)) (H10,290.991,(c)) (sextile,3')", "(Moon,55.248,(r)) (H3,115.183,(d)) (sextile,4')", "(H10,309.181,(r)) (Mercury,354.158,(d)) (45-semisquare,1')\n(Mars,21.315,(r)) (H12,351.271,(c)) (30-semisextile,3')\n(Uranus,318.698,(r)) (H1,18.673,(c)) (sextile,2')", "(Mercury,333.441,(r)) (H1,18.445,(c)) (45-semisquare,0')\n(H9,276.958,(r)) (Pluto,232.018,(c)) (45-semisquare,4')", '11', "(Pluto,252.897,(r)) (H9,297.885,(d)) (45-semisquare,1')", "(Mercury,333.441,(r)) (H4,153.310,(d)) (opposition,8')", "(Mercury,333.441,(r)) (H10,333.336,(d)) (conjunction,6')", "(Neptune,305.683,(r)) (H12,5.729,(c)) (sextile,3')", '16', '17', "(Mars,21.315,(r)) (H12,351.387,(c)) (30-semisextile,4')\n(Uranus,318.698,(r)) (H1,18.781,(c)) (sextile,5')\n(H8,246.140,(r)) (Moon,36.126,(c)) (150-quincunx,1')", 255]
['2000-03-11 08:01:36', "(H3,102.677,(r)) (Sun,342.664,(c)) (trine,1')", "(Jupiter,34.714,(r)) (H7,214.568,(c)) (opposition,9')", "(H3,102.677,(r)) (Moon,42.696,(c)) (sextile,1')", "(H4,135.269,(r)) (Mean_Node,135.222,(d)) (conjunction,3')\n(H7,222.322,(r)) (Moon,42.452,(c)) (opposition,8')", '4', '5', "(Mercury,333.435,(r)) (H4,153.500,(d)) (opposition,4')\n(Pluto,252.897,(r)) (H4,117.953,(c)) (135-sesquisquare,3')\n(H4,135.269,(r)) (Mercury,315.174,(c)) (opposition,6')", '7', "(Mean_Node,121.342,(r)) (H3,121.249,(d)) (conjunction,6')\n(Moon,55.485,(r)) (H1,25.545,(c)) (30-semisextile,4')", '9', '10', "(H3,102.677,(r)) (Sun,12.740,(d)) (square,4')\n(H10,315.269,(r)) (Jupiter,15.269,(c)) (sextile,0')", "(H10,315.269,(r)) (Pluto,270.263,(d)) (45-semisquare,0')", "(H1,42.322,(r)) (Mercury,357.349,(d)) (45-semisquare,2')\n(H4,135.269,(r)) (Moon,75.344,(d)) (sextile,5')\n(H3,102.677,(r)) (Sun,327.603,(c)) (135-sesquisquare,4')", "(H1,42.322,(r)) (Mercury,357.375,(d)) (45-semisquare,3')", "(H8,251.587,(r)) (Mars,26.546,(d)) (135-sesquisquare,2')", '16', "(Pluto,252.897,(r)) (H4,132.984,(c)) (trine,5')\n(H5,167.541,(r)) (Jupiter,32.598,(c)) (135-sesquisquare,3')", "(H8,251.587,(r)) (Mean_Node,101.666,(c)) (150-quincunx,5')", 301]
