Row 23: {'time': '1929-07-27 20:02:56', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 1, 'a_p_maj': 1, 'a_p_allm': 2, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 2, 'h_p_allm': 2, 'h_p_min': 0, 'e': 16, 'all_conj': 1, 'all_maj': 3, 'a_p_p_a_conj': 1}
Row 24: {'time': '1929-07-27 20:03:04', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 1, 'a_p_maj': 0, 'a_p_allm': 1, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 2, 'h_p_allm': 2, 'h_p_min': 0, 'e': 17, 'all_conj': 1, 'all_maj': 2, 'a_p_p_a_conj': 1}
Row 25: {'time': '1929-07-27 20:03:12', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 1, 'a_p_maj': 0, 'a_p_allm': 1, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 2, 'h_p_allm': 2, 'h_p_min': 0, 'e': 17, 'all_conj': 1, 'all_maj': 2, 'a_p_p_a_conj': 1}
Row 26: {'time': '1929-07-27 20:03:20', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 1, 'a_p_maj': 1, 'a_p_allm': 2, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 2, 'h_p_allm': 2, 'h_p_min': 0, 'e': 16, 'all_conj': 1, 'all_maj': 3, 'a_p_p_a_conj': 1}
Row 27: {'time': '1929-07-27 20:03:28', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 2, 'a_p_maj': 1, 'a_p_allm': 3, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 2, 'h_p_allm': 2, 'h_p_min': 0, 'e': 15, 'all_conj': 2, 'all_maj': 3, 'a_p_p_a_conj': 2}
Row 28: {'time': '1929-07-27 20:03:36', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 2, 'a_p_maj': 1, 'a_p_allm': 3, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_allm': 1, 'h_p_min': 0, 'e': 16, 'all_conj': 2, 'all_maj': 2, 'a_p_p_a_conj': 2}
Row 29: {'time': '1929-07-27 20:03:44', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 2, 'a_p_maj': 1, 'a_p_allm': 3, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_allm': 1, 'h_p_min': 0, 'e': 16, 'all_conj': 2, 'all_maj': 2, 'a_p_p_a_conj': 2}
Row 30: {'time': '1929-07-27 20:03:52', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 3, 'a_p_maj': 1, 'a_p_allm': 4, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_allm': 0, 'h_p_min': 0, 'e': 16, 'all_conj': 3, 'all_maj': 1, 'a_p_p_a_conj': 3}
Row 31: {'time': '1929-07-27 20:03:59', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 3, 'a_p_maj': 1, 'a_p_allm': 4, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_allm': 0, 'h_p_min': 0, 'e': 16, 'all_conj': 3, 'all_maj': 1, 'a_p_p_a_conj': 3}
Row 32: {'time': '1929-07-27 20:04:07', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 3, 'a_p_maj': 1, 'a_p_allm': 4, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_allm': 1, 'h_p_min': 0, 'e': 15, 'all_conj': 3, 'all_maj': 2, 'a_p_p_a_conj': 3}
