['Time', '0: 1949-08-15', '1: 1952-01-21', '2: 1953-04-18', '3: 1953-06-25', '4: 1953-09-12', '5: 1956-08-23', '6: 1957-08-03', '7: 1957-11-27', '8: 1958-11-04', '9: 1960-11-25', '10: 1963-08-07', '11: 1963-08-09', '12: 1963-11-22', '13: 1964-06-15', '14: 1957-11-15', '15: 1968-03-15', '16: 1968-06-05', '17: 1968-10-20', '18: 1975-03-15', '19: 1994-05-20', 'Count']
['1929-07-28 12:30:16', "(Moon,292.436,(p)) (H1,172.111,(p)) (trine,19.55')", '1', '2', '3', '4', '5', "(Sun,124.920,(r)) (H10,34.776,(c)) (square,8.67')", '7', "(Mercury,175.051,(p)) (H3,235.181,(p)) (sextile,7.78')", '9', "(Mars,186.190,(p)) (H5,306.136,(p)) (trine,3.25')", '11', '12', "(Mercury,182.935,(p)) (H1,182.912,(p)) (conjunction,1.40')", '14', "(Venus,125.495,(p)) (H1,185.601,(p)) (sextile,6.37')", '16', "(Venus,126.201,(p)) (H7,6.030,(p)) (trine,10.31')\n(Uranus,10.439,(p)) (H5,310.422,(p)) (sextile,1.00')", '18', '19', 8]
['1929-07-28 05:16:23', "(Sun,124.632,(r)) (H9,304.684,(p)) (opposition,3.10')", '1', '2', '3', "(Mars,149.805,(c)) (H7,209.929,(c)) (sextile,7.45')", '5', '6', '7', "(Venus,81.169,(r)) (H1,21.306,(c)) (sextile,8.18')", "(Moon,74.061,(p)) (H5,194.508,(p)) (trine,26.82')", '10', '11', '12', "(Uranus,11.334,(r)) (H1,11.449,(c)) (conjunction,6.90')", "(Venus,81.169,(r)) (H9,261.286,(c)) (opposition,7.01')", "(Uranus,11.074,(c)) (H9,250.998,(c)) (trine,4.58')", '16', '17', "(Saturn,264.048,(p)) (H4,174.153,(p)) (square,6.32')", '19', 8]
['1929-07-28 04:04:23', "(Moon,288.256,(p)) (H9,288.465,(p)) (conjunction,12.59')", "(Jupiter,73.024,(p)) (H10,313.044,(p)) (trine,1.18')", "(Mars,150.016,(c)) (H10,270.095,(c)) (trine,4.76')", "(Mars,149.904,(c)) (H10,269.919,(c)) (trine,0.88')", "(Mars,149.775,(c)) (H10,269.714,(c)) (trine,3.63')", "(Mean_Node,47.243,(r)) (H10,317.302,(p)) (square,3.54')", '6', "(Mean_Node,47.243,(r)) (H5,107.084,(c)) (sextile,9.53')\n(Venus,51.891,(c)) (H1,351.882,(c)) (sextile,0.60')", '8', '9', '10', "(Uranus,11.334,(r)) (H5,101.406,(c)) (square,4.31')", '12', '13', "(Moon,4.014,(c)) (H9,243.710,(c)) (trine,18.24')\n(Venus,51.923,(c)) (H1,351.940,(c)) (sextile,1.05')\n(Jupiter,63.849,(c)) (H9,243.710,(c)) (opposition,8.32')", '15', '16', "(Mercury,121.133,(r)) (H5,181.029,(p)) (sextile,6.23')", '18', '19', 13]
['1929-07-27 23:25:20', '0', "(Moon,83.323,(c)) (H10,203.146,(c)) (trine,10.62')", '2', "(Mean_Node,47.253,(r)) (H5,47.343,(c)) (conjunction,5.43')", "(Mean_Node,47.253,(r)) (H5,47.139,(c)) (conjunction,6.83')", '5', '6', '7', '8', '9', '10', '11', '12', '13', "(Mercury,76.585,(c)) (H10,196.715,(c)) (trine,7.77')", '15', '16', "(Mars,164.334,(r)) (H7,164.239,(p)) (conjunction,5.73')\n(Sun,124.399,(r)) (H10,184.414,(c)) (sextile,0.86')", "(Saturn,264.043,(p)) (H7,174.156,(p)) (square,6.79')", '19', 7]
['1929-07-28 11:21:52', "(Moon,127.891,(c)) (H1,127.811,(c)) (conjunction,4.79')", '1', "(Sun,124.875,(r)) (H7,304.844,(c)) (opposition,1.85')\n(Venus,81.446,(r)) (H10,21.411,(c)) (sextile,2.09')\n(Jupiter,64.886,(c)) (H7,304.844,(c)) (trine,2.53')", "(Sun,124.875,(r)) (H7,304.693,(c)) (opposition,10.91')\n(Jupiter,64.847,(c)) (H7,304.693,(c)) (trine,9.24')", "(Moon,341.792,(p)) (H7,341.558,(p)) (conjunction,14.07')", "(Pluto,107.668,(c)) (H10,17.708,(c)) (square,2.39')", '6', '7', '8', "(Pluto,108.370,(r)) (H5,288.511,(p)) (opposition,8.46')", '10', '11', '12', '13', '14', "(Mean_Node,47.226,(r)) (H9,47.327,(p)) (conjunction,6.03')", '16', '17', '18', '19', 10]
['1929-07-28 02:10:24', "(Venus,103.425,(p)) (H10,283.506,(p)) (opposition,4.88')", '1', '2', "(Moon,63.718,(c)) (H10,243.359,(c)) (opposition,21.52')", "(Uranus,10.910,(p)) (H5,130.773,(p)) (trine,8.23')", "(Neptune,150.117,(r)) (H10,240.235,(c)) (square,7.11')", "(Neptune,149.272,(c)) (H10,239.295,(c)) (square,1.39')", '7', '8', '9', "(Venus,81.029,(r)) (H5,140.847,(p)) (sextile,10.87')", '11', '12', '13', '14', '15', '16', '17', "(Neptune,150.117,(r)) (H8,149.961,(c)) (conjunction,9.31')", '19', 7]
['1929-07-28 09:45:20', '0', "(Venus,81.373,(r)) (H7,321.402,(p)) (trine,1.74')", "(Mars,164.600,(r)) (H10,44.579,(p)) (trine,1.30')", "(Mars,164.600,(r)) (H10,44.752,(p)) (trine,9.09')", '4', '5', '6', '7', '8', '9', '10', "(Pluto,108.369,(r)) (H5,198.434,(c)) (square,3.93')", '12', "(Neptune,150.127,(r)) (H1,150.289,(p)) (conjunction,9.72')", '14', '15', '16', '17', '18', '19', 5]
['1929-07-28 18:08:08', '0', "(Mean_Node,46.021,(p)) (H10,165.863,(p)) (trine,9.47')", "(Mean_Node,47.212,(r)) (H10,167.104,(p)) (trine,6.43')", "(Mean_Node,47.212,(r)) (H10,167.291,(p)) (trine,4.74')\n(Mercury,167.198,(p)) (H10,167.291,(p)) (conjunction,5.55')", "(Mercury,167.542,(p)) (H10,167.507,(p)) (conjunction,2.09')", '5', '6', "(Venus,81.754,(r)) (H5,21.572,(p)) (sextile,10.90')", "(Moon,52.877,(p)) (H10,172.638,(p)) (trine,14.32')", "(Moon,25.402,(r)) (H5,325.348,(c)) (sextile,3.28')", '10', '11', '12', "(Pluto,108.377,(r)) (H10,108.545,(c)) (conjunction,10.07')", '14', "(Uranus,11.086,(c)) (H9,71.028,(c)) (sextile,3.44')", "(Sun,162.533,(p)) (H1,252.596,(p)) (square,3.77')", "(Mercury,122.370,(r)) (H10,182.495,(p)) (sextile,7.55')", '18', "(Pluto,106.789,(c)) (H8,16.749,(c)) (square,2.42')", 13]
['1929-07-28 14:55:44', '0', "(Moon,323.178,(p)) (H7,22.730,(p)) (sextile,26.91')", "(Moon,23.632,(r)) (H7,23.633,(p)) (conjunction,0.05')\n(Moon,74.404,(c)) (H10,74.710,(c)) (conjunction,18.34')\n(Mean_Node,48.475,(c)) (H5,288.609,(c)) (trine,8.09')", "(Moon,23.632,(r)) (H7,23.768,(p)) (conjunction,8.16')\n(Mean_Node,48.484,(c)) (H5,288.438,(c)) (trine,2.82')", '4', '5', '6', '7', '8', "(Mars,184.515,(p)) (H4,304.559,(p)) (trine,2.64')", '10', "(Sun,92.549,(c)) (H8,2.381,(c)) (square,10.11')", "(Sun,92.275,(c)) (H8,2.120,(c)) (square,9.29')", '13', "(Moon,9.940,(c)) (H10,70.296,(c)) (sextile,21.39')", '15', "(Sun,87.948,(c)) (H8,358.009,(c)) (square,3.66')", "(Mars,164.733,(r)) (H5,344.607,(p)) (opposition,7.56')", "(Mean_Node,47.219,(r)) (H4,317.380,(p)) (square,9.67')\n(Neptune,148.900,(c)) (H7,328.992,(c)) (opposition,5.51')", '19', 14]
['1929-07-28 18:21:36', '0', '1', '2', "(Mercury,122.389,(r)) (H10,122.551,(c)) (conjunction,9.70')", "(Mercury,122.389,(r)) (H10,122.335,(c)) (conjunction,3.24')", '5', '6', '7', '8', '9', '10', '11', '12', "(Pluto,108.378,(r)) (H1,198.556,(c)) (square,10.70')", '14', "(Mercury,73.923,(c)) (H9,74.055,(c)) (conjunction,7.89')", '16', "(Moon,195.433,(p)) (H7,75.683,(p)) (trine,15.00')", "(Uranus,11.329,(r)) (H4,281.308,(c)) (square,1.27')", '19', 6]
