['Time', '0: 1949-08-15', '1: 1952-01-21', '2: 1953-04-18', '3: 1953-06-25', '4: 1953-09-12', '5: 1956-08-23', '6: 1957-08-03', '7: 1957-11-27', '8: 1958-11-04', '9: 1960-11-25', '10: 1963-08-07', '11: 1963-08-09', '12: 1963-11-22', '13: 1964-06-15', '14: 1957-11-15', '15: 1968-03-15', '16: 1968-06-05', '17: 1968-10-20', '18: 1975-03-15', '19: 1994-05-20', 'Count']
['1929-07-28 13:17:20', "(Mercury,121.944,(r)) (H1,181.915,(d)) (sextile,1.71')", '1', '2', "(Sun,124.951,(r)) (H7,4.930,(d)) (trine,1.31')", '4', '5', '6', "(Mean_Node,47.222,(r)) (H4,227.194,(c)) (opposition,1.68')", '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', 3]
['1929-07-28 06:59:20', '0', '1', "(Mercury,121.390,(r)) (H10,1.395,(d)) (trine,0.34')", '3', '4', '5', '6', '7', '8', "(Jupiter,69.485,(r)) (H4,189.553,(d)) (trine,4.06')\n(Sun,124.701,(r)) (H4,124.672,(c)) (conjunction,1.70')", '10', '11', '12', "(Mercury,121.390,(r)) (H10,301.279,(c)) (opposition,6.62')", '14', '15', '16', '17', '18', '19', 4]
['1929-07-27 23:45:12', '0', '1', '2', '3', '4', '5', '6', "(Pluto,108.358,(r)) (H5,48.434,(c)) (sextile,4.55')", '8', '9', "(Mean_Node,47.252,(r)) (H1,347.174,(d)) (sextile,4.71')", '11', '12', '13', '14', '15', '16', '17', "(Mars,164.343,(r)) (H7,74.368,(c)) (square,1.53')", '19', 3]
['1929-07-28 12:30:16', "(Venus,81.498,(r)) (H10,81.381,(d)) (conjunction,7.02')\n(Venus,81.498,(r)) (H1,141.503,(c)) (sextile,0.30')", '1', '2', '3', '4', '5', '6', '7', "(Mercury,121.875,(r)) (H3,181.943,(c)) (sextile,4.07')", "(Sun,124.920,(r)) (H5,305.086,(d)) (opposition,9.93')", '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', 4]
['1929-07-28 05:16:23', '0', '1', "(Mean_Node,47.240,(r)) (H10,287.259,(c)) (trine,1.13')", '3', '4', '5', '6', '7', "(Venus,81.169,(r)) (H3,81.114,(c)) (conjunction,3.29')", '9', "(Mars,164.485,(r)) (H4,164.399,(d)) (conjunction,5.16')", "(Mars,164.485,(r)) (H4,164.405,(d)) (conjunction,4.81')", '12', '13', '14', '15', '16', '17', '18', '19', 4]
['1929-07-28 04:04:23', "(Uranus,11.334,(r)) (H10,311.346,(d)) (sextile,0.73')", '1', "(Mars,164.454,(r)) (H5,164.418,(d)) (conjunction,2.14')\n(Jupiter,69.464,(r)) (H7,249.445,(d)) (opposition,1.10')\n(Mercury,121.133,(r)) (H7,181.150,(c)) (sextile,1.00')", '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', "(Sun,124.584,(r)) (H9,244.494,(c)) (trine,5.45')", '15', "(Saturn,264.681,(r)) (H1,84.753,(d)) (opposition,4.32')\n(Neptune,150.119,(r)) (H10,330.264,(d)) (opposition,8.66')", '17', '18', '19', 7]
['1929-07-27 23:25:20', '0', "(Venus,80.904,(r)) (H7,140.876,(d)) (sextile,1.67')", '2', "(Jupiter,69.429,(r)) (H10,249.337,(d)) (opposition,5.50')", "(Jupiter,69.429,(r)) (H10,249.537,(d)) (opposition,6.51')", '5', '6', '7', '8', '9', "(Uranus,11.336,(r)) (H4,11.471,(c)) (conjunction,8.10')", "(Uranus,11.336,(r)) (H4,11.465,(c)) (conjunction,7.75')", "(Uranus,11.336,(r)) (H4,11.158,(c)) (conjunction,10.67')", '13', '14', '15', '16', '17', '18', '19', 6]
['1929-07-28 11:21:52', '0', '1', '2', "(Moon,21.670,(r)) (H10,21.792,(c)) (conjunction,7.27')", "(Sun,124.875,(r)) (H7,304.957,(c)) (opposition,4.93')\n(Moon,21.670,(r)) (H10,21.564,(c)) (conjunction,6.37')", "(Mars,164.642,(r)) (H1,164.485,(d)) (conjunction,9.43')\n(Pluto,108.370,(r)) (H10,18.458,(c)) (square,5.26')", '6', '7', '8', '9', '10', '11', '12', '13', "(Mercury,121.774,(r)) (H1,121.712,(c)) (conjunction,3.74')", '15', '16', '17', '18', '19', 6]
['1929-07-28 02:10:24', '0', "(Moon,16.643,(r)) (H7,136.601,(c)) (trine,2.54')", '2', "(Uranus,11.335,(r)) (H5,131.394,(d)) (trine,3.57')", '4', '5', "(Neptune,150.117,(r)) (H10,240.031,(c)) (square,5.14')", '7', '8', '9', '10', '11', "(Mars,164.405,(r)) (H8,254.478,(d)) (square,4.39')", '13', '14', '15', '16', '17', "(Pluto,108.361,(r)) (H7,108.276,(c)) (conjunction,5.08')", '19', 5]
['1929-07-28 09:45:20', '0', '1', "(Moon,20.787,(r)) (H5,260.787,(d)) (trine,0.00')", '3', '4', '5', '6', '7', '8', '9', "(Mars,164.600,(r)) (H4,164.765,(c)) (conjunction,9.88')", "(Mars,164.600,(r)) (H4,164.759,(c)) (conjunction,9.53')", "(Mars,164.600,(r)) (H4,164.454,(c)) (conjunction,8.79')", '13', '14', '15', '16', '17', '18', '19', 4]
