Row 22: {'time': '1813-05-22 00:54:23', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 3, 'a_p_maj': 1, 'a_p_allm': 4, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_allm': 0, 'h_p_min': 0, 'p_p_conj': 1, 'p_p_maj': 1, 'p_p_allm': 2, 'e': 4, 'all_conj': 4, 'all_maj': 3, 'a_p_p_a_conj': 3, 'all_m': 7}
Row 23: {'time': '1813-05-21 23:40:08', 'p_a_conj': 1, 'p_a_maj': 0, 'p_a_allm': 1, 'p_a_min': 0, 'a_p_conj': 2, 'a_p_maj': 3, 'a_p_allm': 5, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_allm': 0, 'h_p_min': 0, 'p_p_conj': 2, 'p_p_maj': 0, 'p_p_allm': 2, 'e': 4, 'all_conj': 5, 'all_maj': 3, 'a_p_p_a_conj': 3, 'all_m': 8}
Row 24: {'time': '1813-05-22 14:01:52', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 2, 'a_p_maj': 0, 'a_p_allm': 2, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 0, 'h_p_allm': 1, 'h_p_min': 0, 'p_p_conj': 3, 'p_p_maj': 1, 'p_p_allm': 4, 'e': 5, 'all_conj': 6, 'all_maj': 1, 'a_p_p_a_conj': 2, 'all_m': 7}
Row 25: {'time': '1813-05-22 01:42:31', 'p_a_conj': 0, 'p_a_maj': 1, 'p_a_allm': 1, 'p_a_min': 0, 'a_p_conj': 1, 'a_p_maj': 1, 'a_p_allm': 2, 'a_p_min': 0, 'p_h_conj': 1, 'p_h_maj': 0, 'p_h_allm': 1, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_allm': 1, 'h_p_min': 0, 'p_p_conj': 2, 'p_p_maj': 0, 'p_p_allm': 2, 'e': 4, 'all_conj': 4, 'all_maj': 3, 'a_p_p_a_conj': 1, 'all_m': 7}
Row 26: {'time': '1813-05-22 08:18:32', 'p_a_conj': 1, 'p_a_maj': 0, 'p_a_allm': 1, 'p_a_min': 0, 'a_p_conj': 2, 'a_p_maj': 1, 'a_p_allm': 3, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_allm': 1, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 0, 'h_p_allm': 1, 'h_p_min': 0, 'p_p_conj': 3, 'p_p_maj': 3, 'p_p_allm': 6, 'e': 3, 'all_conj': 7, 'all_maj': 6, 'a_p_p_a_conj': 3, 'all_m': 13}
Row 27: {'time': '1813-05-22 15:05:11', 'p_a_conj': 1, 'p_a_maj': 0, 'p_a_allm': 1, 'p_a_min': 0, 'a_p_conj': 2, 'a_p_maj': 1, 'a_p_allm': 3, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_allm': 0, 'h_p_min': 0, 'p_p_conj': 1, 'p_p_maj': 2, 'p_p_allm': 3, 'e': 4, 'all_conj': 4, 'all_maj': 3, 'a_p_p_a_conj': 3, 'all_m': 7}
Row 28: {'time': '1813-05-22 06:50:31', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 1, 'a_p_maj': 1, 'a_p_allm': 2, 'a_p_min': 0, 'p_h_conj': 1, 'p_h_maj': 0, 'p_h_allm': 1, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_allm': 0, 'h_p_min': 0, 'p_p_conj': 2, 'p_p_maj': 1, 'p_p_allm': 3, 'e': 7, 'all_conj': 4, 'all_maj': 2, 'a_p_p_a_conj': 1, 'all_m': 6}
Row 29: {'time': '1813-05-22 04:50:39', 'p_a_conj': 1, 'p_a_maj': 1, 'p_a_allm': 2, 'p_a_min': 0, 'a_p_conj': 1, 'a_p_maj': 1, 'a_p_allm': 2, 'a_p_min': 0, 'p_h_conj': 1, 'p_h_maj': 1, 'p_h_allm': 2, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 0, 'h_p_allm': 1, 'h_p_min': 0, 'p_p_conj': 2, 'p_p_maj': 0, 'p_p_allm': 2, 'e': 2, 'all_conj': 6, 'all_maj': 3, 'a_p_p_a_conj': 2, 'all_m': 9}
Row 30: {'time': '1813-05-21 23:57:12', 'p_a_conj': 0, 'p_a_maj': 1, 'p_a_allm': 1, 'p_a_min': 0, 'a_p_conj': 1, 'a_p_maj': 1, 'a_p_allm': 2, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_allm': 0, 'h_p_min': 0, 'p_p_conj': 1, 'p_p_maj': 0, 'p_p_allm': 1, 'e': 5, 'all_conj': 3, 'all_maj': 2, 'a_p_p_a_conj': 1, 'all_m': 5}
Row 31: {'time': '1813-05-22 07:47:03', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 1, 'a_p_maj': 1, 'a_p_allm': 2, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_allm': 1, 'h_p_min': 0, 'p_p_conj': 1, 'p_p_maj': 1, 'p_p_allm': 2, 'e': 7, 'all_conj': 2, 'all_maj': 3, 'a_p_p_a_conj': 1, 'all_m': 5}
Row 32: {'time': '1813-05-22 13:53:04', 'p_a_conj': 1, 'p_a_maj': 0, 'p_a_allm': 1, 'p_a_min': 0, 'a_p_conj': 1, 'a_p_maj': 2, 'a_p_allm': 3, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_allm': 1, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_allm': 0, 'h_p_min': 0, 'p_p_conj': 3, 'p_p_maj': 2, 'p_p_allm': 5, 'e': 4, 'all_conj': 5, 'all_maj': 5, 'a_p_p_a_conj': 2, 'all_m': 10}
Row 33: {'time': '1813-05-21 23:07:52', 'p_a_conj': 0, 'p_a_maj': 1, 'p_a_allm': 1, 'p_a_min': 0, 'a_p_conj': 1, 'a_p_maj': 2, 'a_p_allm': 3, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 0, 'h_p_allm': 1, 'h_p_min': 0, 'p_p_conj': 3, 'p_p_maj': 3, 'p_p_allm': 6, 'e': 4, 'all_conj': 6, 'all_maj': 7, 'a_p_p_a_conj': 1, 'all_m': 13}
Row 34: {'time': '1813-05-22 02:23:20', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 1, 'a_p_maj': 1, 'a_p_allm': 2, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_allm': 1, 'h_p_min': 0, 'p_p_conj': 5, 'p_p_maj': 1, 'p_p_allm': 6, 'e': 4, 'all_conj': 6, 'all_maj': 3, 'a_p_p_a_conj': 1, 'all_m': 9}
Row 35: {'time': '1813-05-22 13:41:28', 'p_a_conj': 2, 'p_a_maj': 0, 'p_a_allm': 2, 'p_a_min': 0, 'a_p_conj': 0, 'a_p_maj': 1, 'a_p_allm': 1, 'a_p_min': 0, 'p_h_conj': 1, 'p_h_maj': 0, 'p_h_allm': 1, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_allm': 1, 'h_p_min': 0, 'p_p_conj': 2, 'p_p_maj': 0, 'p_p_allm': 2, 'e': 4, 'all_conj': 5, 'all_maj': 2, 'a_p_p_a_conj': 2, 'all_m': 7}
Row 36: {'time': '1813-05-22 06:01:51', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 1, 'a_p_maj': 0, 'a_p_allm': 1, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_allm': 0, 'h_p_min': 0, 'p_p_conj': 3, 'p_p_maj': 3, 'p_p_allm': 6, 'e': 4, 'all_conj': 4, 'all_maj': 3, 'a_p_p_a_conj': 1, 'all_m': 7}
Row 37: {'time': '1813-05-22 02:30:56', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 2, 'a_p_maj': 1, 'a_p_allm': 3, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_allm': 1, 'h_p_min': 0, 'p_p_conj': 2, 'p_p_maj': 0, 'p_p_allm': 2, 'e': 4, 'all_conj': 4, 'all_maj': 2, 'a_p_p_a_conj': 2, 'all_m': 6}
Row 38: {'time': '1813-05-22 11:12:16', 'p_a_conj': 0, 'p_a_maj': 2, 'p_a_allm': 2, 'p_a_min': 0, 'a_p_conj': 1, 'a_p_maj': 1, 'a_p_allm': 2, 'a_p_min': 0, 'p_h_conj': 1, 'p_h_maj': 0, 'p_h_allm': 1, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_allm': 0, 'h_p_min': 0, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'e': 4, 'all_conj': 2, 'all_maj': 3, 'a_p_p_a_conj': 1, 'all_m': 5}
Row 39: {'time': '1813-05-22 20:52:48', 'p_a_conj': 0, 'p_a_maj': 1, 'p_a_allm': 1, 'p_a_min': 0, 'a_p_conj': 1, 'a_p_maj': 1, 'a_p_allm': 2, 'a_p_min': 0, 'p_h_conj': 1, 'p_h_maj': 0, 'p_h_allm': 1, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_allm': 1, 'h_p_min': 0, 'p_p_conj': 1, 'p_p_maj': 3, 'p_p_allm': 4, 'e': 6, 'all_conj': 4, 'all_maj': 6, 'a_p_p_a_conj': 1, 'all_m': 10}
Row 40: {'time': '1813-05-22 12:56:23', 'p_a_conj': 1, 'p_a_maj': 0, 'p_a_allm': 1, 'p_a_min': 0, 'a_p_conj': 0, 'a_p_maj': 1, 'a_p_allm': 1, 'a_p_min': 0, 'p_h_conj': 1, 'p_h_maj': 0, 'p_h_allm': 1, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_allm': 0, 'h_p_min': 0, 'p_p_conj': 1, 'p_p_maj': 1, 'p_p_allm': 2, 'e': 4, 'all_conj': 3, 'all_maj': 2, 'a_p_p_a_conj': 1, 'all_m': 5}
