['Time', '0: 1917-11-30', '1: 1927-06-30', '2: 1927-06-30', '3: 1930-07-20', '4: 1940-01-01', '5: 1941-12-07', '6: 1942-03-20', '7: 1943-06-25', '8: 1944-04-20', '9: 1948-02-07', '10: 1949-01-15', '11: 1949-12-04', '12: 1952-04-22', '13: 1954-01-18', '14: 1963-04-29', '15: 1974-08-21', '16: 1978-09-21', 'Count']
['1916-09-06 15:02:07', "(H3,295.962,(r)) (Venus,115.852,(c)) (opposition,6.55')", "(Uranus,316.706,(r)) (H10,136.555,(c)) (opposition,9.05')", '2', '3', "(H10,147.472,(r)) (Neptune,147.341,(d)) (conjunction,7.86')", "(Moon,272.554,(r)) (H3,272.609,(c)) (conjunction,3.31')", '6', "(Moon,272.554,(r)) (H7,32.515,(c)) (trine,2.34')", "(Mean_Node,296.533,(r)) (H4,356.613,(d)) (sextile,4.82')", "(Mean_Node,296.533,(r)) (H4,296.669,(c)) (conjunction,8.17')\n(H4,327.472,(r)) (H5,327.482,(c)) (conjunction,0.61')", "(H9,115.962,(r)) (H10,115.789,(c)) (conjunction,10.38')", '11', '12', "(H5,359.651,(r)) (Pluto,59.615,(c)) (sextile,2.14')", '14', "(Moon,272.554,(r)) (H7,2.519,(c)) (square,2.15')", '16', 11]
['1916-09-07 04:44:56', '0', '1', "(H4,175.567,(r)) (Pluto,85.486,(c)) (square,4.86')", "(H9,324.694,(r)) (Mercury,204.765,(d)) (trine,4.25')\n(Moon,280.731,(r)) (H10,340.782,(c)) (sextile,3.06')", '4', '5', "(POF,208.122,(r)) (Pluto,118.070,(d)) (square,3.10')", '7', "(H1,91.609,(r)) (Mean_Node,271.633,(c)) (opposition,1.44')", "(H5,208.845,(r)) (H4,208.942,(d)) (conjunction,5.86')", '10', '11', '12', "(Jupiter,35.135,(r)) (H4,215.047,(d)) (opposition,5.28')\n(H1,91.609,(r)) (Mean_Node,331.628,(d)) (trine,1.12')\n(Uranus,316.687,(r)) (H4,136.647,(c)) (opposition,2.38')", '14', '15', '16', 9]
['1916-09-06 20:46:16', "(H4,58.191,(r)) (Venus,118.121,(d)) (sextile,4.21')", '1', '2', '3', '4', '5', '6', "(H5,84.502,(r)) (Venus,144.489,(d)) (sextile,0.77')\n(POF,72.045,(r)) (Moon,252.088,(c)) (opposition,2.54')", '8', '9', '10', "(Mars,208.758,(r)) (H4,88.810,(d)) (trine,3.16')", '12', '13', '14', "(H8,175.253,(r)) (Mars,265.258,(d)) (square,0.31')", '16', 5]
['1916-09-06 14:23:20', '0', '1', '2', "(H1,228.235,(r)) (Jupiter,48.354,(d)) (opposition,7.13')", "(Mean_Node,296.534,(r)) (H1,206.461,(c)) (square,4.36')", "(Sun,163.637,(r)) (H10,163.537,(d)) (conjunction,6.00')", '6', '7', '8', "(H5,349.413,(r)) (Uranus,349.531,(d)) (conjunction,7.09')", "(POF,336.769,(r)) (Mercury,156.913,(c)) (opposition,8.64')\n(H9,106.691,(r)) (H10,106.643,(c)) (conjunction,2.90')", '11', '12', "(Mean_Node,296.534,(r)) (H4,356.483,(d)) (sextile,3.07')", '14', "(H7,48.235,(r)) (H5,48.143,(d)) (conjunction,5.54')", '16', 8]
['1916-09-06 08:54:16', '0', '1', '2', '3', '4', '5', '6', '7', '8', "(H1,148.160,(r)) (Mean_Node,268.216,(c)) (trine,3.35')\n(H4,239.648,(r)) (Moon,239.505,(c)) (conjunction,8.58')", '10', '11', '12', '13', '14', '15', "(Mean_Node,296.546,(r)) (H4,296.575,(d)) (conjunction,1.72')\n(H8,357.397,(r)) (Venus,177.374,(d)) (opposition,1.40')\n(Venus,117.619,(r)) (H8,297.593,(c)) (opposition,1.57')\n(H4,239.648,(r)) (Saturn,59.782,(c)) (opposition,8.00')\n(H4,239.648,(r)) (Mean_Node,239.486,(c)) (conjunction,9.71')", 7]
['1916-09-06 11:26:39', '0', '1', '2', '3', "(Mean_Node,296.541,(r)) (H10,116.611,(d)) (opposition,4.21')\n(H1,185.594,(r)) (Mars,185.468,(c)) (conjunction,7.55')\n(H1,185.594,(r)) (Saturn,95.555,(c)) (square,2.33')\n(H10,95.190,(r)) (Mean_Node,275.273,(c)) (opposition,4.97')", '5', '6', '7', '8', "(Jupiter,35.165,(r)) (H1,155.130,(c)) (trine,2.10')", "(Jupiter,35.165,(r)) (H9,95.159,(d)) (sextile,0.33')\n(H1,185.594,(r)) (Jupiter,65.573,(d)) (trine,1.27')\n(H10,95.190,(r)) (H9,95.159,(d)) (conjunction,1.88')\n(Jupiter,35.165,(r)) (H9,34.997,(c)) (conjunction,10.08')\n(H9,65.813,(r)) (H10,65.667,(c)) (conjunction,8.76')", "(H5,304.850,(r)) (Pluto,124.899,(d)) (opposition,2.93')\n(Pluto,94.266,(r)) (H5,274.423,(c)) (opposition,9.41')", '12', '13', '14', "(H8,35.824,(r)) (Moon,215.834,(c)) (opposition,0.61')", "(H8,35.824,(r)) (Pluto,35.654,(c)) (conjunction,10.21')", 14]
['1916-09-06 15:10:15', "(Venus,117.859,(r)) (H7,57.948,(c)) (sextile,5.32')", '1', '2', '3', '4', "(H1,239.056,(r)) (Jupiter,59.028,(d)) (opposition,1.68')", "(H10,149.598,(r)) (Neptune,149.713,(d)) (conjunction,6.84')\n(Pluto,94.268,(r)) (H3,274.230,(c)) (opposition,2.31')", "(H5,1.801,(r)) (Mars,181.800,(c)) (opposition,0.05')", '8', "(H4,329.598,(r)) (H5,329.548,(c)) (conjunction,3.05')", "(H10,149.598,(r)) (Venus,149.651,(d)) (conjunction,3.15')\n(Venus,117.859,(r)) (H10,117.730,(c)) (conjunction,7.72')", '11', '12', '13', '14', "(Neptune,123.881,(r)) (H5,303.830,(c)) (opposition,3.10')\n(Pluto,94.268,(r)) (H4,274.207,(c)) (opposition,3.68')", "(H4,329.598,(r)) (Mean_Node,239.675,(c)) (square,4.58')", 11]
['1916-09-06 08:31:04', '0', "(Venus,117.604,(r)) (POF,237.674,(c)) (trine,4.17')", '2', '3', '4', "(Moon,268.694,(r)) (H10,28.780,(c)) (trine,5.16')\n(Mean_Node,296.547,(r)) (H3,176.569,(c)) (trine,1.29')", "(Uranus,316.715,(r)) (H12,136.875,(d)) (opposition,9.57')\n(Mars,208.420,(r)) (H10,28.488,(c)) (opposition,4.08')", "(H7,322.620,(r)) (Venus,142.454,(d)) (opposition,9.99')", '8', '9', '10', "(Jupiter,35.170,(r)) (POF,215.342,(c)) (opposition,10.37')\n(H4,234.012,(r)) (Mars,173.946,(c)) (sextile,3.96')", "(Mean_Node,296.547,(r)) (H5,296.434,(d)) (conjunction,6.77')", '13', '14', '15', '16', 9]
['1916-09-07 00:59:43', '0', '1', '2', "(Mercury,190.736,(r)) (H10,310.691,(d)) (trine,2.74')\n(H9,271.299,(r)) (Uranus,331.332,(d)) (sextile,2.00')", '4', '5', "(POF,149.314,(r)) (Neptune,149.344,(d)) (conjunction,1.77')", "(H10,297.410,(r)) (Mars,237.449,(d)) (sextile,2.32')\n(H10,297.410,(r)) (Mars,177.403,(c)) (trine,0.45')", '8', "(Venus,118.236,(r)) (H1,358.193,(c)) (trine,2.60')\n(H4,117.410,(r)) (POF,117.560,(c)) (conjunction,8.99')", '10', "(POF,149.314,(r)) (Mean_Node,329.145,(d)) (opposition,10.18')\n(H4,117.410,(r)) (Jupiter,357.338,(c)) (trine,4.31')", '12', '13', '14', '15', '16', 9]
['1916-09-07 03:00:00', "(H3,119.137,(r)) (Venus,119.123,(d)) (conjunction,0.83')", "(Uranus,316.689,(r)) (H10,316.514,(c)) (conjunction,10.49')", '2', '3', '4', '5', '6', "(Mars,208.930,(r)) (H5,208.960,(d)) (conjunction,1.83')", "(Mean_Node,296.506,(r)) (H4,176.566,(d)) (trine,3.58')", "(Mean_Node,296.506,(r)) (H4,116.630,(c)) (opposition,7.43')", '10', '11', "(Moon,279.684,(r)) (H1,99.619,(d)) (opposition,3.91')\n(H1,66.745,(r)) (Moon,246.865,(c)) (opposition,7.25')", '13', '14', "(Mars,208.930,(r)) (H4,208.785,(d)) (conjunction,8.70')\n(POF,182.282,(r)) (Neptune,182.127,(d)) (conjunction,9.26')", "(H1,66.745,(r)) (POF,246.899,(d)) (opposition,9.26')\n(Saturn,116.898,(r)) (POF,116.991,(c)) (conjunction,5.57')", 11]
