Row 39: {'time': '1813-05-22 00:51:12', 'p_a_conj': 3, 'p_a_maj': 13, 'p_a_allm': 16, 'p_a_min': 18, 'e': 0, 'all_conj': 3}
Row 40: {'time': '1813-05-22 21:23:44', 'p_a_conj': 7, 'p_a_maj': 11, 'p_a_allm': 18, 'p_a_min': 7, 'e': 0, 'all_conj': 7}
Row 41: {'time': '1813-05-22 22:49:59', 'p_a_conj': 7, 'p_a_maj': 11, 'p_a_allm': 18, 'p_a_min': 14, 'e': 1, 'all_conj': 7}
Row 42: {'time': '1813-05-21 23:01:20', 'p_a_conj': 2, 'p_a_maj': 12, 'p_a_allm': 14, 'p_a_min': 16, 'e': 0, 'all_conj': 2}
Row 43: {'time': '1813-05-22 04:59:11', 'p_a_conj': 7, 'p_a_maj': 16, 'p_a_allm': 23, 'p_a_min': 14, 'e': 0, 'all_conj': 7}
Row 44: {'time': '1813-05-22 14:10:47', 'p_a_conj': 4, 'p_a_maj': 17, 'p_a_allm': 21, 'p_a_min': 14, 'e': 1, 'all_conj': 4}
Row 45: {'time': '1813-05-22 14:48:39', 'p_a_conj': 3, 'p_a_maj': 12, 'p_a_allm': 15, 'p_a_min': 19, 'e': 0, 'all_conj': 3}
Row 46: {'time': '1813-05-22 14:46:31', 'p_a_conj': 4, 'p_a_maj': 11, 'p_a_allm': 15, 'p_a_min': 19, 'e': 0, 'all_conj': 4}
Row 47: {'time': '1813-05-22 17:04:23', 'p_a_conj': 4, 'p_a_maj': 14, 'p_a_allm': 18, 'p_a_min': 14, 'e': 1, 'all_conj': 4}
Row 48: {'time': '1813-05-22 20:30:08', 'p_a_conj': 4, 'p_a_maj': 11, 'p_a_allm': 15, 'p_a_min': 8, 'e': 0, 'all_conj': 4}
Row 49: {'time': '1813-05-22 15:50:31', 'p_a_conj': 1, 'p_a_maj': 12, 'p_a_allm': 13, 'p_a_min': 18, 'e': 1, 'all_conj': 1}
Row 50: {'time': '1813-05-22 02:45:20', 'p_a_conj': 2, 'p_a_maj': 11, 'p_a_allm': 13, 'p_a_min': 13, 'e': 1, 'all_conj': 2}
Row 51: {'time': '1813-05-22 03:45:59', 'p_a_conj': 3, 'p_a_maj': 9, 'p_a_allm': 12, 'p_a_min': 16, 'e': 1, 'all_conj': 3}
Row 52: {'time': '1813-05-22 15:31:28', 'p_a_conj': 3, 'p_a_maj': 15, 'p_a_allm': 18, 'p_a_min': 15, 'e': 0, 'all_conj': 3}
Row 53: {'time': '1813-05-21 23:34:00', 'p_a_conj': 3, 'p_a_maj': 10, 'p_a_allm': 13, 'p_a_min': 16, 'e': 1, 'all_conj': 3}
Row 54: {'time': '1813-05-22 04:26:23', 'p_a_conj': 2, 'p_a_maj': 19, 'p_a_allm': 21, 'p_a_min': 19, 'e': 1, 'all_conj': 2}
Row 55: {'time': '1813-05-21 23:14:47', 'p_a_conj': 4, 'p_a_maj': 10, 'p_a_allm': 14, 'p_a_min': 13, 'e': 1, 'all_conj': 4}
Row 56: {'time': '1813-05-22 00:54:23', 'p_a_conj': 2, 'p_a_maj': 11, 'p_a_allm': 13, 'p_a_min': 17, 'e': 0, 'all_conj': 2}
Row 57: {'time': '1813-05-21 23:40:08', 'p_a_conj': 5, 'p_a_maj': 12, 'p_a_allm': 17, 'p_a_min': 11, 'e': 1, 'all_conj': 5}
Row 58: {'time': '1813-05-22 20:47:12', 'p_a_conj': 4, 'p_a_maj': 9, 'p_a_allm': 13, 'p_a_min': 15, 'e': 0, 'all_conj': 4}
Row 59: {'time': '1813-05-22 12:50:47', 'p_a_conj': 6, 'p_a_maj': 10, 'p_a_allm': 16, 'p_a_min': 22, 'e': 0, 'all_conj': 6}
Row 60: {'time': '1813-05-21 23:32:24', 'p_a_conj': 3, 'p_a_maj': 9, 'p_a_allm': 12, 'p_a_min': 20, 'e': 0, 'all_conj': 3}
Row 61: {'time': '1813-05-22 06:42:00', 'p_a_conj': 4, 'p_a_maj': 13, 'p_a_allm': 17, 'p_a_min': 15, 'e': 1, 'all_conj': 4}
Row 62: {'time': '1813-05-22 11:06:24', 'p_a_conj': 5, 'p_a_maj': 14, 'p_a_allm': 19, 'p_a_min': 17, 'e': 0, 'all_conj': 5}
