Row 59: {'time': '1929-07-28 03:42:56', 'p_a_conj': 6, 'p_a_maj': 17, 'p_a_allm': 23, 'p_a_min': 33, 'e': 0, 'all_conj': 6}
Row 60: {'time': '1929-07-27 22:58:47', 'p_a_conj': 5, 'p_a_maj': 26, 'p_a_allm': 31, 'p_a_min': 38, 'e': 1, 'all_conj': 5}
Row 61: {'time': '1929-07-28 16:08:07', 'p_a_conj': 14, 'p_a_maj': 24, 'p_a_allm': 38, 'p_a_min': 32, 'e': 0, 'all_conj': 14}
Row 62: {'time': '1929-07-28 13:15:59', 'p_a_conj': 8, 'p_a_maj': 18, 'p_a_allm': 26, 'p_a_min': 27, 'e': 0, 'all_conj': 8}
Row 63: {'time': '1929-07-28 09:15:43', 'p_a_conj': 5, 'p_a_maj': 25, 'p_a_allm': 30, 'p_a_min': 32, 'e': 2, 'all_conj': 5}
Row 64: {'time': '1929-07-27 21:23:51', 'p_a_conj': 6, 'p_a_maj': 20, 'p_a_allm': 26, 'p_a_min': 28, 'e': 0, 'all_conj': 6}
Row 65: {'time': '1929-07-28 14:01:36', 'p_a_conj': 8, 'p_a_maj': 24, 'p_a_allm': 32, 'p_a_min': 29, 'e': 3, 'all_conj': 8}
Row 66: {'time': '1929-07-28 10:42:47', 'p_a_conj': 6, 'p_a_maj': 28, 'p_a_allm': 34, 'p_a_min': 27, 'e': 1, 'all_conj': 6}
Row 67: {'time': '1929-07-28 08:42:24', 'p_a_conj': 6, 'p_a_maj': 25, 'p_a_allm': 31, 'p_a_min': 29, 'e': 1, 'all_conj': 6}
Row 68: {'time': '1929-07-28 09:30:24', 'p_a_conj': 4, 'p_a_maj': 24, 'p_a_allm': 28, 'p_a_min': 26, 'e': 0, 'all_conj': 4}
Row 69: {'time': '1929-07-28 04:59:43', 'p_a_conj': 9, 'p_a_maj': 28, 'p_a_allm': 37, 'p_a_min': 25, 'e': 0, 'all_conj': 9}
Row 70: {'time': '1929-07-28 09:39:51', 'p_a_conj': 9, 'p_a_maj': 19, 'p_a_allm': 28, 'p_a_min': 36, 'e': 1, 'all_conj': 9}
Row 71: {'time': '1929-07-28 19:58:31', 'p_a_conj': 12, 'p_a_maj': 24, 'p_a_allm': 36, 'p_a_min': 30, 'e': 0, 'all_conj': 12}
Row 72: {'time': '1929-07-27 21:46:07', 'p_a_conj': 5, 'p_a_maj': 23, 'p_a_allm': 28, 'p_a_min': 33, 'e': 1, 'all_conj': 5}
Row 73: {'time': '1929-07-28 08:28:47', 'p_a_conj': 9, 'p_a_maj': 23, 'p_a_allm': 32, 'p_a_min': 41, 'e': 0, 'all_conj': 9}
Row 74: {'time': '1929-07-28 05:39:51', 'p_a_conj': 9, 'p_a_maj': 32, 'p_a_allm': 41, 'p_a_min': 24, 'e': 1, 'all_conj': 9}
Row 75: {'time': '1929-07-27 22:07:44', 'p_a_conj': 6, 'p_a_maj': 16, 'p_a_allm': 22, 'p_a_min': 28, 'e': 1, 'all_conj': 6}
Row 76: {'time': '1929-07-27 21:14:47', 'p_a_conj': 5, 'p_a_maj': 33, 'p_a_allm': 38, 'p_a_min': 31, 'e': 0, 'all_conj': 5}
Row 77: {'time': '1929-07-28 01:27:43', 'p_a_conj': 13, 'p_a_maj': 20, 'p_a_allm': 33, 'p_a_min': 35, 'e': 0, 'all_conj': 13}
Row 78: {'time': '1929-07-28 03:06:47', 'p_a_conj': 3, 'p_a_maj': 30, 'p_a_allm': 33, 'p_a_min': 25, 'e': 1, 'all_conj': 3}
Row 79: {'time': '1929-07-28 16:49:51', 'p_a_conj': 4, 'p_a_maj': 19, 'p_a_allm': 23, 'p_a_min': 35, 'e': 1, 'all_conj': 4}
Row 80: {'time': '1929-07-28 19:17:12', 'p_a_conj': 12, 'p_a_maj': 28, 'p_a_allm': 40, 'p_a_min': 28, 'e': 0, 'all_conj': 12}
Row 81: {'time': '1929-07-28 01:43:59', 'p_a_conj': 17, 'p_a_maj': 31, 'p_a_allm': 48, 'p_a_min': 29, 'e': 0, 'all_conj': 17}
Row 82: {'time': '1929-07-28 09:06:00', 'p_a_conj': 3, 'p_a_maj': 20, 'p_a_allm': 23, 'p_a_min': 47, 'e': 1, 'all_conj': 3}
Row 83: {'time': '1929-07-28 12:39:27', 'p_a_conj': 12, 'p_a_maj': 19, 'p_a_allm': 31, 'p_a_min': 36, 'e': 0, 'all_conj': 12}
Row 84: {'time': '1929-07-28 12:19:36', 'p_a_conj': 7, 'p_a_maj': 26, 'p_a_allm': 33, 'p_a_min': 33, 'e': 0, 'all_conj': 7}
Row 85: {'time': '1929-07-27 21:56:39', 'p_a_conj': 8, 'p_a_maj': 22, 'p_a_allm': 30, 'p_a_min': 32, 'e': 0, 'all_conj': 8}
Row 86: {'time': '1929-07-28 16:19:12', 'p_a_conj': 9, 'p_a_maj': 24, 'p_a_allm': 33, 'p_a_min': 40, 'e': 1, 'all_conj': 9}
Row 87: {'time': '1929-07-27 21:18:24', 'p_a_conj': 3, 'p_a_maj': 20, 'p_a_allm': 23, 'p_a_min': 27, 'e': 1, 'all_conj': 3}
