Row 91: {'time': '1935-01-08 13:45:43', 'p_a_allm': 26, 'p_a_min': 19, 'e': 0, 'p_a_maj': 15, 'p_a_conj': 11}
Row 92: {'time': '1935-01-08 06:53:20', 'p_a_allm': 22, 'p_a_min': 23, 'e': 0, 'p_a_maj': 12, 'p_a_conj': 10}
Row 93: {'time': '1935-01-08 15:30:56', 'p_a_allm': 25, 'p_a_min': 19, 'e': 1, 'p_a_maj': 17, 'p_a_conj': 8}
Row 94: {'time': '1935-01-08 05:26:23', 'p_a_allm': 25, 'p_a_min': 19, 'e': 1, 'p_a_maj': 21, 'p_a_conj': 4}
Row 95: {'time': '1935-01-08 19:10:23', 'p_a_allm': 14, 'p_a_min': 21, 'e': 0, 'p_a_maj': 14, 'p_a_conj': 0}
Row 96: {'time': '1935-01-08 12:20:16', 'p_a_allm': 10, 'p_a_min': 20, 'e': 1, 'p_a_maj': 7, 'p_a_conj': 3}
Row 97: {'time': '1935-01-08 22:24:55', 'p_a_allm': 26, 'p_a_min': 21, 'e': 0, 'p_a_maj': 20, 'p_a_conj': 6}
Row 98: {'time': '1935-01-08 07:11:04', 'p_a_allm': 19, 'p_a_min': 23, 'e': 1, 'p_a_maj': 18, 'p_a_conj': 1}
Row 99: {'time': '1935-01-09 00:01:36', 'p_a_allm': 21, 'p_a_min': 15, 'e': 1, 'p_a_maj': 17, 'p_a_conj': 4}
Row 100: {'time': '1935-01-08 21:39:51', 'p_a_allm': 18, 'p_a_min': 27, 'e': 0, 'p_a_maj': 12, 'p_a_conj': 6}
Row 101: {'time': '1935-01-09 04:53:04', 'p_a_allm': 19, 'p_a_min': 25, 'e': 3, 'p_a_maj': 14, 'p_a_conj': 5}
Row 102: {'time': '1935-01-08 20:21:28', 'p_a_allm': 19, 'p_a_min': 22, 'e': 0, 'p_a_maj': 15, 'p_a_conj': 4}
Row 103: {'time': '1935-01-08 11:33:44', 'p_a_allm': 19, 'p_a_min': 22, 'e': 0, 'p_a_maj': 16, 'p_a_conj': 3}
