['Time', '0: 1870-08-25', '1: 1883-02-13', '2: 1821-09-30', '3: 1836-07-07', '4: 1836-11-24', '5: 1848-01-09', '6: 1865-04-10', '7: 1866-01-25', '8: 1867-02-17', '9: 1869-06-06', 'Count']
['1813-05-22 15:31:28', "(Sun,61.072,(r)) (H5,31.052,(p)) (30-semisextile,1.21')\n(Moon,288.864,(c)) (H5,289.224,(c)) (conjunction,21.60')", '1', "(Saturn,288.904,(r)) (H1,198.918,(c)) (square,0.88')", '3', "(Moon,16.496,(c)) (H5,316.541,(c)) (sextile,2.73')", "(Pluto,350.672,(p)) (H8,80.708,(p)) (square,2.17')\n(Mean_Node,136.150,(c)) (H1,181.250,(c)) (45-semisquare,5.97')", "(Mean_Node,137.064,(c)) (H4,257.086,(c)) (trine,1.33')", "(Moon,322.710,(r)) (H8,97.658,(p)) (135-sesquisquare,3.16')\n(Mean_Node,134.316,(r)) (H4,359.241,(p)) (135-sesquisquare,4.49')\n(Pluto,349.516,(c)) (H7,349.577,(c)) (conjunction,3.67')", "(Venus,60.320,(r)) (H4,0.414,(p)) (sextile,5.64')\n(Jupiter,123.763,(r)) (H1,243.825,(p)) (trine,3.72')", "(Mean_Node,137.284,(c)) (H1,167.423,(c)) (30-semisextile,8.33')", 13]
['1813-05-22 00:54:23', "(Moon,351.539,(p)) (H10,321.681,(p)) (30-semisextile,8.54')", "(Mars,303.837,(r)) (H1,258.859,(c)) (45-semisquare,1.36')", "(Sun,60.487,(r)) (H1,330.330,(c)) (square,9.46')", '3', '4', "(Neptune,253.658,(p)) (H4,118.723,(p)) (135-sesquisquare,3.92')", "(Moon,314.879,(r)) (H5,164.947,(p)) (150-quincunx,4.11')\n(Venus,59.571,(r)) (H5,59.596,(c)) (conjunction,1.45')", '7', '8', "(Pluto,350.505,(r)) (H5,170.484,(p)) (opposition,1.23')\n(Pluto,350.550,(p)) (H5,170.484,(p)) (opposition,3.94')\n(Venus,59.571,(r)) (H1,269.569,(c)) (150-quincunx,0.16')\n(Moon,296.588,(c)) (H5,56.289,(c)) (trine,17.97')", 10]
['1813-05-21 23:40:08', "(Venus,348.875,(c)) (POF,168.994,(c)) (opposition,7.11')", '1', "(Sun,60.438,(r)) (H10,240.507,(c)) (opposition,4.18')", '3', "(Moon,6.623,(c)) (H5,66.234,(c)) (sextile,23.33')", "(Moon,56.560,(p)) (H4,101.250,(p)) (45-semisquare,18.62')\n(Pluto,350.504,(r)) (H4,35.639,(c)) (45-semisquare,8.09')", "(Mean_Node,137.099,(c)) (H1,256.944,(c)) (trine,9.29')", "(Moon,341.431,(c)) (H8,116.232,(c)) (135-sesquisquare,11.98')", "(Mean_Node,137.197,(c)) (H4,17.202,(c)) (trine,0.30')", '9', 8]
['1813-05-22 14:01:52', "(Venus,130.577,(p)) (H5,10.574,(p)) (trine,0.16')\n(Mars,310.662,(p)) (H5,10.574,(p)) (sextile,5.28')\n(Jupiter,119.023,(c)) (H5,269.122,(c)) (150-quincunx,5.96')", '1', "(Pluto,350.511,(r)) (POF,350.376,(c)) (conjunction,8.12')\n(Pluto,350.406,(c)) (POF,350.376,(c)) (conjunction,1.81')", "(Moon,21.332,(c)) (H10,80.899,(c)) (sextile,25.99')", "(Uranus,236.687,(c)) (H5,296.803,(c)) (sextile,6.97')", "(Mars,304.048,(r)) (H1,213.964,(p)) (square,5.07')\n(Saturn,286.947,(p)) (H8,62.116,(p)) (135-sesquisquare,10.13')\n(Neptune,255.314,(c)) (H1,165.394,(c)) (square,4.81')", "(Mars,304.048,(r)) (H4,334.148,(p)) (30-semisextile,5.97')\n(Jupiter,123.754,(r)) (H5,273.581,(c)) (150-quincunx,10.36')\n(Uranus,235.724,(r)) (H4,235.843,(c)) (conjunction,7.10')", "(Saturn,288.906,(r)) (H7,333.784,(c)) (45-semisquare,7.34')\n(Saturn,288.667,(c)) (H7,333.784,(c)) (45-semisquare,6.98')", "(Venus,126.259,(p)) (H4,336.142,(p)) (150-quincunx,7.02')\n(Jupiter,119.048,(c)) (POF,119.222,(c)) (conjunction,10.47')", "(Venus,60.244,(r)) (H5,270.139,(c)) (150-quincunx,6.31')", 18]
['1813-05-22 01:42:31', '0', "(Mean_Node,134.346,(r)) (H1,269.203,(c)) (135-sesquisquare,8.61')\n(Pluto,349.067,(c)) (H10,214.238,(c)) (135-sesquisquare,10.30')", '2', "(Sun,82.660,(p)) (H5,142.660,(p)) (sextile,0.03')", "(Sun,83.026,(p)) (H5,143.140,(p)) (sextile,6.83')\n(Moon,269.259,(p)) (H10,299.210,(p)) (30-semisextile,2.93')\n(Mars,303.850,(r)) (H5,93.695,(c)) (150-quincunx,9.28')\n(Jupiter,123.677,(r)) (H5,93.695,(c)) (30-semisextile,1.06')\n(Mean_Node,135.592,(c)) (H10,255.651,(c)) (trine,3.58')", "(Sun,93.636,(p)) (H8,273.731,(p)) (opposition,5.65')", "(Sun,10.077,(c)) (H5,70.162,(c)) (sextile,5.08')", '7', '8', '9', 10]
['1813-05-22 08:18:32', "(Mercury,139.587,(p)) (H7,349.686,(p)) (150-quincunx,5.92')", '1', "(Mean_Node,134.332,(r)) (H1,134.353,(p)) (conjunction,1.25')\n(Moon,318.829,(r)) (H8,318.914,(c)) (conjunction,5.08')", '3', "(Sun,60.784,(r)) (H5,210.776,(c)) (150-quincunx,0.46')", '5', "(Mars,311.658,(p)) (H4,251.505,(p)) (sextile,9.20')\n(Mean_Node,131.585,(p)) (H4,251.505,(p)) (trine,4.81')", '7', '8', "(Moon,318.829,(r)) (H1,168.820,(p)) (150-quincunx,0.51')", 7]
['1813-05-22 15:05:11', '0', "(Uranus,235.722,(r)) (H10,190.549,(p)) (45-semisquare,10.43')\n(Saturn,288.904,(r)) (H1,154.034,(c)) (135-sesquisquare,7.78')", '2', '3', '4', '5', '6', '7', "(Mean_Node,134.317,(r)) (H1,164.257,(c)) (30-semisextile,3.63')", "(Uranus,235.722,(r)) (H4,355.769,(p)) (trine,2.77')\n(Uranus,233.997,(p)) (H5,23.983,(p)) (150-quincunx,0.85')\n(Mean_Node,134.317,(r)) (H5,284.398,(c)) (150-quincunx,4.83')", 6]
['1813-05-22 06:50:31', "(Venus,59.875,(r)) (H7,240.057,(c)) (opposition,10.88')", "(Neptune,252.961,(p)) (H1,162.850,(p)) (square,6.63')\n(Saturn,287.648,(c)) (H10,287.687,(c)) (conjunction,2.37')", '2', '3', '4', "(Moon,318.044,(r)) (H1,137.932,(p)) (opposition,6.70')\n(Moon,228.307,(c)) (H4,138.770,(c)) (square,27.82')", "(Sun,110.288,(p)) (H4,230.350,(p)) (trine,3.73')", '7', '8', "(Moon,299.781,(c)) (H4,119.469,(c)) (opposition,18.70')\n(Mercury,23.568,(c)) (H5,143.466,(c)) (trine,6.10')", 8]
['1813-05-22 04:50:39', "(Venus,349.143,(c)) (H5,109.165,(c)) (trine,1.32')", '1', '2', "(Moon,316.976,(r)) (H10,347.096,(p)) (30-semisextile,7.19')\n(Venus,59.773,(r)) (H10,299.761,(c)) (trine,0.75')", "(Mars,293.382,(c)) (H5,143.395,(c)) (150-quincunx,0.76')", "(Mars,312.405,(p)) (H8,312.455,(p)) (conjunction,3.00')\n(Mean_Node,132.506,(p)) (H8,312.455,(p)) (opposition,3.05')", '6', '7', "(Sun,60.645,(r)) (H5,240.771,(p)) (opposition,7.59')\n(Moon,329.494,(c)) (POF,329.854,(c)) (conjunction,21.61')", "(Uranus,234.003,(p)) (H4,203.837,(p)) (30-semisextile,9.98')\n(Jupiter,123.697,(r)) (H1,3.789,(c)) (trine,5.56')", 10]
['1813-05-21 23:57:12', '0', '1', '2', "(Moon,263.749,(p)) (H5,113.288,(p)) (150-quincunx,27.66')", '4', '5', '6', "(Moon,291.645,(p)) (H7,246.246,(p)) (45-semisquare,23.91')\n(Mars,311.591,(p)) (H8,266.553,(p)) (45-semisquare,2.25')\n(Mean_Node,131.561,(p)) (H8,266.553,(p)) (135-sesquisquare,0.46')", "(Jupiter,123.667,(r)) (H4,123.846,(p)) (conjunction,10.77')", "(Mean_Node,137.319,(c)) (H1,257.346,(c)) (trine,1.67')", 6]
