Row 36: {'time': '2000-03-11 02:53:28', 'p_a_conj': 4, 'p_a_maj': 20, 'p_a_min': 23, 'a_p_conj': 0, 'e': 4, 'total_count': 47}
Row 37: {'time': '2000-03-11 16:20:56', 'p_a_conj': 6, 'p_a_maj': 30, 'p_a_min': 29, 'a_p_conj': 0, 'e': 1, 'total_count': 65}
Row 38: {'time': '2000-03-11 06:06:56', 'p_a_conj': 8, 'p_a_maj': 26, 'p_a_min': 35, 'a_p_conj': 0, 'e': 2, 'total_count': 69}
Row 39: {'time': '2000-03-11 15:50:56', 'p_a_conj': 9, 'p_a_maj': 30, 'p_a_min': 26, 'a_p_conj': 0, 'e': 1, 'total_count': 65}
Row 40: {'time': '2000-03-11 16:40:31', 'p_a_conj': 4, 'p_a_maj': 16, 'p_a_min': 28, 'a_p_conj': 0, 'e': 3, 'total_count': 48}
Row 41: {'time': '2000-03-11 04:12:15', 'p_a_conj': 11, 'p_a_maj': 30, 'p_a_min': 42, 'a_p_conj': 0, 'e': 3, 'total_count': 83}
Row 42: {'time': '2000-03-11 02:31:20', 'p_a_conj': 6, 'p_a_maj': 21, 'p_a_min': 27, 'a_p_conj': 0, 'e': 2, 'total_count': 54}
Row 43: {'time': '2000-03-11 10:25:51', 'p_a_conj': 11, 'p_a_maj': 25, 'p_a_min': 31, 'a_p_conj': 0, 'e': 0, 'total_count': 67}
Row 44: {'time': '2000-03-11 07:37:11', 'p_a_conj': 7, 'p_a_maj': 23, 'p_a_min': 33, 'a_p_conj': 0, 'e': 2, 'total_count': 63}
Row 45: {'time': '2000-03-11 08:01:36', 'p_a_conj': 5, 'p_a_maj': 24, 'p_a_min': 22, 'a_p_conj': 0, 'e': 0, 'total_count': 51}
Row 46: {'time': '2000-03-11 08:37:44', 'p_a_conj': 12, 'p_a_maj': 22, 'p_a_min': 39, 'a_p_conj': 0, 'e': 1, 'total_count': 73}
Row 47: {'time': '2000-03-11 10:02:31', 'p_a_conj': 5, 'p_a_maj': 18, 'p_a_min': 26, 'a_p_conj': 0, 'e': 2, 'total_count': 49}
Row 48: {'time': '2000-03-11 10:27:27', 'p_a_conj': 11, 'p_a_maj': 19, 'p_a_min': 30, 'a_p_conj': 0, 'e': 0, 'total_count': 60}
Row 49: {'time': '2000-03-11 03:27:51', 'p_a_conj': 12, 'p_a_maj': 18, 'p_a_min': 36, 'a_p_conj': 0, 'e': 3, 'total_count': 66}
Row 50: {'time': '2000-03-11 08:28:23', 'p_a_conj': 5, 'p_a_maj': 19, 'p_a_min': 37, 'a_p_conj': 0, 'e': 1, 'total_count': 61}
