Row 73: {'time': '1935-01-08 19:35:59', 'p_a_conj': 6, 'p_a_maj': 22, 'p_a_min': 11, 'a_p_conj': 0, 'e': 1, 'total_count': 39}
Row 74: {'time': '1935-01-08 21:29:28', 'p_a_conj': 6, 'p_a_maj': 11, 'p_a_min': 23, 'a_p_conj': 0, 'e': 0, 'total_count': 40}
Row 75: {'time': '1935-01-08 18:36:56', 'p_a_conj': 8, 'p_a_maj': 17, 'p_a_min': 14, 'a_p_conj': 0, 'e': 2, 'total_count': 39}
Row 76: {'time': '1935-01-08 17:38:23', 'p_a_conj': 2, 'p_a_maj': 18, 'p_a_min': 19, 'a_p_conj': 0, 'e': 1, 'total_count': 39}
Row 77: {'time': '1935-01-08 21:02:07', 'p_a_conj': 5, 'p_a_maj': 13, 'p_a_min': 19, 'a_p_conj': 0, 'e': 0, 'total_count': 37}
Row 78: {'time': '1935-01-08 06:20:47', 'p_a_conj': 3, 'p_a_maj': 14, 'p_a_min': 18, 'a_p_conj': 0, 'e': 1, 'total_count': 35}
Row 79: {'time': '1935-01-08 07:22:39', 'p_a_conj': 9, 'p_a_maj': 11, 'p_a_min': 17, 'a_p_conj': 0, 'e': 1, 'total_count': 37}
Row 80: {'time': '1935-01-08 14:04:23', 'p_a_conj': 0, 'p_a_maj': 14, 'p_a_min': 23, 'a_p_conj': 0, 'e': 0, 'total_count': 37}
Row 81: {'time': '1935-01-08 17:19:44', 'p_a_conj': 5, 'p_a_maj': 19, 'p_a_min': 21, 'a_p_conj': 0, 'e': 0, 'total_count': 45}
Row 82: {'time': '1935-01-08 08:28:23', 'p_a_conj': 6, 'p_a_maj': 15, 'p_a_min': 22, 'a_p_conj': 0, 'e': 1, 'total_count': 43}
Row 83: {'time': '1935-01-08 06:17:04', 'p_a_conj': 4, 'p_a_maj': 12, 'p_a_min': 21, 'a_p_conj': 0, 'e': 1, 'total_count': 37}
Row 84: {'time': '1935-01-08 23:41:20', 'p_a_conj': 7, 'p_a_maj': 16, 'p_a_min': 18, 'a_p_conj': 0, 'e': 0, 'total_count': 41}
Row 85: {'time': '1935-01-08 08:08:24', 'p_a_conj': 5, 'p_a_maj': 20, 'p_a_min': 17, 'a_p_conj': 0, 'e': 0, 'total_count': 42}
Row 86: {'time': '1935-01-08 14:41:44', 'p_a_conj': 5, 'p_a_maj': 17, 'p_a_min': 15, 'a_p_conj': 0, 'e': 1, 'total_count': 37}
Row 87: {'time': '1935-01-08 18:35:28', 'p_a_conj': 8, 'p_a_maj': 13, 'p_a_min': 13, 'a_p_conj': 0, 'e': 3, 'total_count': 34}
Row 88: {'time': '1935-01-08 11:14:00', 'p_a_conj': 7, 'p_a_maj': 23, 'p_a_min': 14, 'a_p_conj': 0, 'e': 0, 'total_count': 44}
Row 89: {'time': '1935-01-08 13:45:43', 'p_a_conj': 11, 'p_a_maj': 15, 'p_a_min': 19, 'a_p_conj': 0, 'e': 0, 'total_count': 45}
Row 90: {'time': '1935-01-08 10:12:07', 'p_a_conj': 8, 'p_a_maj': 16, 'p_a_min': 24, 'a_p_conj': 0, 'e': 0, 'total_count': 48}
Row 91: {'time': '1935-01-08 06:53:20', 'p_a_conj': 10, 'p_a_maj': 12, 'p_a_min': 23, 'a_p_conj': 0, 'e': 0, 'total_count': 45}
Row 92: {'time': '1935-01-09 00:44:39', 'p_a_conj': 6, 'p_a_maj': 15, 'p_a_min': 13, 'a_p_conj': 0, 'e': 1, 'total_count': 34}
Row 93: {'time': '1935-01-08 15:30:56', 'p_a_conj': 8, 'p_a_maj': 17, 'p_a_min': 19, 'a_p_conj': 0, 'e': 1, 'total_count': 44}
Row 94: {'time': '1935-01-08 19:14:31', 'p_a_conj': 5, 'p_a_maj': 10, 'p_a_min': 21, 'a_p_conj': 0, 'e': 1, 'total_count': 36}
Row 95: {'time': '1935-01-08 10:55:28', 'p_a_conj': 3, 'p_a_maj': 9, 'p_a_min': 28, 'a_p_conj': 0, 'e': 2, 'total_count': 40}
Row 96: {'time': '1935-01-08 16:43:43', 'p_a_conj': 4, 'p_a_maj': 18, 'p_a_min': 24, 'a_p_conj': 0, 'e': 2, 'total_count': 46}
Row 97: {'time': '1935-01-08 05:26:23', 'p_a_conj': 4, 'p_a_maj': 21, 'p_a_min': 19, 'a_p_conj': 0, 'e': 1, 'total_count': 44}
Row 98: {'time': '1935-01-08 16:14:07', 'p_a_conj': 6, 'p_a_maj': 25, 'p_a_min': 23, 'a_p_conj': 0, 'e': 0, 'total_count': 54}
Row 99: {'time': '1935-01-08 08:25:52', 'p_a_conj': 3, 'p_a_maj': 13, 'p_a_min': 20, 'a_p_conj': 0, 'e': 1, 'total_count': 36}
Row 100: {'time': '1935-01-09 03:05:43', 'p_a_conj': 7, 'p_a_maj': 19, 'p_a_min': 24, 'a_p_conj': 0, 'e': 0, 'total_count': 50}
