Row 48: {'time': '1935-01-08 10:07:20', 'p_a_conj': 0, 'p_a_maj': 2, 'p_a_min': 3, 'a_p_conj': 0, 'a_p_maj': 4, 'a_p_min': 0, 'p_h_conj': 1, 'p_h_maj': 0, 'p_h_min': 0, 'h_p_conj': 3, 'h_p_maj': 0, 'h_p_min': 1, 'e': 4, 'total_count': 242}
Row 49: {'time': '1935-01-08 16:00:23', 'p_a_conj': 1, 'p_a_maj': 0, 'p_a_min': 1, 'a_p_conj': 0, 'a_p_maj': 2, 'a_p_min': 1, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_min': 2, 'h_p_conj': 1, 'h_p_maj': 3, 'h_p_min': 1, 'e': 6, 'total_count': 141}
Row 50: {'time': '1935-01-08 12:43:36', 'p_a_conj': 2, 'p_a_maj': 1, 'p_a_min': 4, 'a_p_conj': 0, 'a_p_maj': 2, 'a_p_min': 1, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_min': 1, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_min': 2, 'e': 6, 'total_count': 159}
Row 51: {'time': '1935-01-08 21:59:20', 'p_a_conj': 2, 'p_a_maj': 0, 'p_a_min': 4, 'a_p_conj': 4, 'a_p_maj': 1, 'a_p_min': 3, 'p_h_conj': 2, 'p_h_maj': 1, 'p_h_min': 2, 'h_p_conj': 3, 'h_p_maj': 1, 'h_p_min': 2, 'e': 2, 'total_count': 376}
Row 52: {'time': '1935-01-08 12:28:39', 'p_a_conj': 3, 'p_a_maj': 1, 'p_a_min': 2, 'a_p_conj': 2, 'a_p_maj': 2, 'a_p_min': 1, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_min': 3, 'h_p_conj': 1, 'h_p_maj': 1, 'h_p_min': 3, 'e': 4, 'total_count': 258}
Row 53: {'time': '1935-01-08 15:47:51', 'p_a_conj': 1, 'p_a_maj': 0, 'p_a_min': 1, 'a_p_conj': 2, 'a_p_maj': 0, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_min': 2, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_min': 3, 'e': 7, 'total_count': 102}
Row 54: {'time': '1935-01-08 05:23:12', 'p_a_conj': 0, 'p_a_maj': 2, 'p_a_min': 6, 'a_p_conj': 1, 'a_p_maj': 0, 'a_p_min': 2, 'p_h_conj': 1, 'p_h_maj': 2, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 1, 'h_p_min': 1, 'e': 4, 'total_count': 203}
Row 55: {'time': '1935-01-08 13:25:51', 'p_a_conj': 0, 'p_a_maj': 2, 'p_a_min': 2, 'a_p_conj': 0, 'a_p_maj': 1, 'a_p_min': 6, 'p_h_conj': 0, 'p_h_maj': 2, 'p_h_min': 1, 'h_p_conj': 1, 'h_p_maj': 0, 'h_p_min': 0, 'e': 5, 'total_count': 175}
Row 56: {'time': '1935-01-08 23:20:00', 'p_a_conj': 2, 'p_a_maj': 2, 'p_a_min': 2, 'a_p_conj': 1, 'a_p_maj': 3, 'a_p_min': 4, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_min': 0, 'e': 7, 'total_count': 194}
Row 57: {'time': '1935-01-08 08:37:36', 'p_a_conj': 2, 'p_a_maj': 4, 'p_a_min': 2, 'a_p_conj': 2, 'a_p_maj': 4, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 2, 'h_p_min': 1, 'e': 4, 'total_count': 295}
