['Time', '0: 1954-07-30', '1: 1955-05-01', '2: 1956-01-28', '3: 1956-09-09', '4: 1958-03-24', '5: 1958-08-14', '6: 1958-10-01', '7: 1959-06-01', '8: 1960-03-05', '9: 1967-05-01', '10: 1968-02-01', '11: 1972-08-15', '12: 1977-08-16', '13: 1979-06-26', 'Count']
['1935-01-08 13:03:51', '0', "(Uranus,27.499,(r)) (H1,267.458,(c)) (trine,2')", "(Uranus,27.499,(r)) (H10,237.435,(d)) (150-quincunx,4')", '3', "(Mars,192.873,(r)) (H1,312.818,(d)) (trine,3')\n(Moon,333.546,(r)) (H12,243.580,(c)) (square,2')", "(Venus,299.495,(r)) (H8,119.324,(c)) (opposition,10')\n(H4,36.740,(r)) (Venus,276.823,(c)) (trine,5')", "(H10,216.740,(r)) (Venus,276.699,(c)) (sextile,2')", "(Moon,333.546,(r)) (H3,33.624,(d)) (sextile,5')", "(H1,286.693,(r)) (Venus,331.775,(d)) (45-semisquare,5')\n(Mean_Node,301.852,(r)) (H12,241.911,(c)) (sextile,4')\n(H3,5.321,(r)) (Venus,275.366,(c)) (square,3')", "(Mean_Node,301.852,(r)) (H5,31.930,(c)) (square,5')", '10', "(Venus,299.495,(r)) (H12,299.669,(d)) (conjunction,10')\n(Mars,192.873,(r)) (H4,72.904,(d)) (trine,2')\n(Uranus,27.499,(r)) (H1,252.577,(c)) (135-sesquisquare,5')\n(Uranus,27.499,(r)) (H7,72.577,(c)) (45-semisquare,5')", "(H1,286.693,(r)) (Pluto,76.621,(c)) (150-quincunx,4')", "(H1,286.693,(r)) (Mars,241.775,(d)) (45-semisquare,5')", 235]
['1935-01-08 07:09:43', "(Jupiter,228.047,(r)) (H3,288.076,(d)) (sextile,2')\n(Uranus,27.499,(r)) (H3,252.479,(c)) (135-sesquisquare,1')", "(Neptune,164.451,(r)) (H10,104.376,(c)) (sextile,5')", "(H1,209.812,(r)) (Jupiter,209.944,(c)) (conjunction,8')\n(H3,269.980,(r)) (Jupiter,209.944,(c)) (sextile,2')", '3', "(Saturn,325.728,(r)) (H12,205.806,(d)) (trine,5')\n(Saturn,325.728,(r)) (H1,190.724,(c)) (135-sesquisquare,0')", '5', "(Mercury,292.071,(r)) (H9,112.079,(d)) (opposition,0')", "(Uranus,27.499,(r)) (H10,147.477,(d)) (trine,1')", "(Uranus,27.499,(r)) (H12,207.525,(d)) (opposition,2')\n(Uranus,27.499,(r)) (H12,162.592,(c)) (135-sesquisquare,6')", "(H7,29.812,(r)) (Venus,269.741,(c)) (trine,4')", "(H1,209.812,(r)) (Uranus,359.864,(c)) (150-quincunx,3')", "(H4,303.324,(r)) (Saturn,3.334,(d)) (sextile,1')\n(H4,303.324,(r)) (Pluto,153.277,(d)) (150-quincunx,3')\n(H4,303.324,(r)) (Mercury,258.239,(c)) (45-semisquare,5')", "(Mars,192.773,(r)) (H12,222.755,(d)) (30-semisextile,1')", "(Neptune,164.451,(r)) (H12,224.362,(d)) (sextile,5')\n(H8,58.454,(r)) (Moon,13.393,(d)) (45-semisquare,4')\n(Saturn,325.728,(r)) (H12,145.555,(c)) (opposition,10')\n(H1,209.812,(r)) (Pluto,74.906,(c)) (135-sesquisquare,6')", 282]
['1935-01-08 06:02:56', "(Mean_Node,301.868,(r)) (H1,211.908,(d)) (square,2')\n(H10,107.421,(r)) (Moon,347.421,(d)) (trine,0')", "(Jupiter,228.039,(r)) (H9,92.993,(d)) (135-sesquisquare,3')\n(Venus,299.128,(r)) (H1,179.044,(c)) (trine,5')", '2', '3', "(Saturn,325.723,(r)) (H12,190.696,(d)) (135-sesquisquare,2')\n(H10,107.421,(r)) (Pluto,137.414,(d)) (30-semisextile,0')\n(Moon,329.236,(r)) (H12,149.292,(c)) (opposition,3')", '5', "(H9,74.766,(r)) (Mercury,314.775,(d)) (trine,1')", '7', "(Uranus,27.499,(r)) (H12,147.583,(c)) (trine,5')", "(H7,15.862,(r)) (Jupiter,255.817,(d)) (trine,3')\n(Jupiter,228.039,(r)) (H10,78.074,(c)) (150-quincunx,2')", '10', '11', "(H10,107.421,(r)) (Mars,227.511,(d)) (trine,5')\n(H10,107.421,(r)) (Saturn,287.433,(c)) (opposition,1')", "(H1,195.862,(r)) (Saturn,285.786,(c)) (square,5')", 207]
['1935-01-08 05:18:16', "(Sun,287.008,(r)) (H3,226.923,(c)) (sextile,5')", '1', "(H1,186.465,(r)) (Sun,306.512,(d)) (trine,3')\n(H1,186.465,(r)) (Jupiter,246.457,(d)) (sextile,0')\n(H1,186.465,(r)) (Mean_Node,321.473,(d)) (135-sesquisquare,0')\n(Jupiter,228.035,(r)) (H10,77.979,(c)) (150-quincunx,3')", "(H10,97.057,(r)) (Sun,307.095,(d)) (150-quincunx,2')\n(H10,97.057,(r)) (Jupiter,246.996,(d)) (150-quincunx,4')\n(H10,97.057,(r)) (Mean_Node,322.059,(d)) (135-sesquisquare,0')", '4', "(Moon,328.778,(r)) (H4,298.813,(d)) (30-semisextile,2')\n(Mean_Node,301.869,(r)) (H1,166.909,(c)) (135-sesquisquare,2')\n(H8,33.990,(r)) (Pluto,93.905,(c)) (sextile,5')", "(Venus,299.089,(r)) (H10,118.937,(d)) (opposition,9')\n(Mean_Node,301.869,(r)) (H1,166.801,(c)) (135-sesquisquare,4')", "(H10,97.057,(r)) (Moon,307.123,(c)) (150-quincunx,4')\n(H10,97.057,(r)) (Venus,277.135,(c)) (opposition,5')", "(H1,186.465,(r)) (Moon,306.456,(c)) (trine,1')\n(H1,186.465,(r)) (Venus,276.451,(c)) (square,1')", '9', "(Mercury,291.943,(r)) (H4,246.927,(c)) (45-semisquare,1')", '11', "(H1,186.465,(r)) (Mars,156.513,(c)) (30-semisextile,3')", "(H1,186.465,(r)) (Sun,246.399,(c)) (sextile,4')", 251]
['1935-01-08 10:07:20', '0', '1', "(Mercury,292.275,(r)) (H3,292.452,(c)) (conjunction,11')", '3', '4', "(Moon,331.741,(r)) (H8,121.766,(d)) (150-quincunx,2')\n(Mean_Node,301.859,(r)) (H8,121.766,(d)) (opposition,6')", "(H10,169.283,(r)) (Uranus,49.250,(d)) (trine,2')\n(Sun,287.213,(r)) (H1,227.226,(c)) (sextile,1')", "(H1,246.525,(r)) (Venus,276.521,(c)) (30-semisextile,0')", "(H1,246.525,(r)) (H12,246.548,(d)) (conjunction,1')\n(H10,169.283,(r)) (Moon,304.223,(c)) (135-sesquisquare,4')", "(H7,66.525,(r)) (Moon,6.517,(d)) (sextile,1')\n(H5,19.900,(r)) (Jupiter,199.878,(c)) (opposition,1')", "(H4,349.283,(r)) (Jupiter,199.213,(c)) (150-quincunx,4')", "(Venus,299.341,(r)) (H4,29.270,(d)) (square,4')", "(Neptune,164.450,(r)) (H1,284.385,(d)) (trine,4')\n(Mean_Node,301.859,(r)) (H1,211.906,(c)) (square,3')", "(Saturn,325.741,(r)) (H8,145.724,(d)) (opposition,1')", 242]
['1935-01-08 16:00:23', "(Venus,299.649,(r)) (H3,74.653,(d)) (135-sesquisquare,0')", "(H9,235.516,(r)) (Venus,280.449,(c)) (45-semisquare,4')", '2', '3', "(Moon,335.348,(r)) (H12,335.325,(d)) (conjunction,1')", '5', "(Uranus,27.500,(r)) (H10,237.545,(c)) (150-quincunx,3')\n(H9,235.516,(r)) (Sun,265.581,(c)) (30-semisextile,4')", '7', '8', "(Mars,192.922,(r)) (H5,72.895,(c)) (trine,2')", "(Mean_Node,301.846,(r)) (H1,31.817,(d)) (square,2')", '11', "(Mars,192.922,(r)) (H8,252.847,(d)) (sextile,5')\n(Neptune,164.447,(r)) (H1,44.525,(d)) (trine,5')\n(Saturn,325.766,(r)) (H12,265.732,(c)) (sextile,2')", "(H10,259.573,(r)) (Moon,34.613,(d)) (135-sesquisquare,2')\n(H10,259.573,(r)) (Mean_Node,259.619,(c)) (conjunction,3')", 141]
['1935-01-08 12:43:36', "(H1,281.561,(r)) (Mean_Node,281.719,(c)) (conjunction,9')", '1', "(Mercury,292.455,(r)) (H10,232.485,(d)) (sextile,2')", "(H1,281.561,(r)) (Venus,326.647,(d)) (45-semisquare,5')", '4', '5', '6', "(H10,211.478,(r)) (Mean_Node,331.483,(d)) (trine,0')\n(H10,211.478,(r)) (Uranus,1.521,(c)) (150-quincunx,3')", "(Uranus,27.499,(r)) (H12,237.499,(c)) (150-quincunx,0')", "(H5,57.007,(r)) (Moon,11.944,(d)) (45-semisquare,4')", '10', '11', "(Neptune,164.448,(r)) (H12,299.508,(d)) (135-sesquisquare,4')\n(Mean_Node,301.853,(r)) (H1,331.828,(d)) (30-semisextile,1')\n(H1,281.561,(r)) (Mars,146.473,(c)) (135-sesquisquare,5')\n(H1,281.561,(r)) (Saturn,281.418,(c)) (conjunction,9')", "(Neptune,164.448,(r)) (H10,254.470,(d)) (square,1')\n(H1,281.561,(r)) (Uranus,71.476,(d)) (150-quincunx,5')", 159]
['1935-01-08 21:59:20', "(Mean_Node,301.832,(r)) (H3,121.789,(c)) (opposition,3')\n(H1,95.256,(r)) (Mercury,275.428,(c)) (opposition,10')\n(H3,139.687,(r)) (Uranus,4.659,(c)) (135-sesquisquare,2')", "(Moon,338.997,(r)) (H9,338.930,(d)) (conjunction,4')\n(H1,95.256,(r)) (Uranus,50.335,(d)) (45-semisquare,5')\n(H9,319.687,(r)) (Mean_Node,319.558,(d)) (conjunction,8')\n(H9,319.687,(r)) (Mercury,274.761,(c)) (45-semisquare,4')\n(H10,347.644,(r)) (Moon,317.693,(c)) (30-semisextile,3')", "(Mercury,293.094,(r)) (H1,113.088,(d)) (opposition,0')\n(H1,95.256,(r)) (Mean_Node,320.215,(d)) (135-sesquisquare,2')", "(Venus,299.962,(r)) (H1,75.028,(c)) (135-sesquisquare,4')\n(Venus,299.962,(r)) (H3,119.886,(c)) (opposition,5')", "(H10,347.644,(r)) (Mars,167.591,(c)) (opposition,3')", "(Mars,193.022,(r)) (H4,192.931,(d)) (conjunction,5')\n(Pluto,115.124,(r)) (H1,115.179,(d)) (conjunction,3')\n(Mars,193.022,(r)) (H1,73.082,(c)) (trine,4')", "(H1,95.256,(r)) (Venus,320.256,(d)) (135-sesquisquare,0')", "(Uranus,27.500,(r)) (H3,117.439,(c)) (square,4')", '8', "(H5,202.305,(r)) (H10,22.154,(d)) (opposition,9')", "(H5,202.305,(r)) (Jupiter,262.334,(d)) (sextile,2')", "(Uranus,27.500,(r)) (H4,207.679,(d)) (opposition,11')\n(Mars,193.022,(r)) (H1,57.956,(c)) (135-sesquisquare,4')\n(Mars,193.022,(r)) (H7,237.956,(c)) (45-semisquare,4')", "(Saturn,325.792,(r)) (H12,100.797,(d)) (135-sesquisquare,0')\n(Moon,338.997,(r)) (H12,9.000,(c)) (30-semisextile,0')\n(H8,296.566,(r)) (Moon,296.568,(c)) (conjunction,0')", '13', 376]
['1935-01-08 12:28:39', "(Sun,287.313,(r)) (H10,227.322,(d)) (sextile,1')\n(Mean_Node,301.853,(r)) (H3,331.808,(c)) (30-semisextile,3')", "(Jupiter,228.082,(r)) (H10,228.061,(d)) (conjunction,1')\n(H9,174.659,(r)) (Sun,309.572,(d)) (135-sesquisquare,5')\n(H9,174.659,(r)) (Venus,324.579,(d)) (150-quincunx,5')", "(Venus,299.464,(r)) (H1,299.628,(d)) (conjunction,10')", "(H1,277.900,(r)) (Jupiter,247.979,(d)) (30-semisextile,5')\n(H10,207.555,(r)) (Mean_Node,327.637,(d)) (trine,5')\n(Venus,299.464,(r)) (H3,329.414,(c)) (30-semisextile,3')\n(H10,207.555,(r)) (Jupiter,207.584,(c)) (conjunction,2')", '4', "(Mean_Node,301.853,(r)) (H1,256.831,(c)) (45-semisquare,1')\n(H1,277.900,(r)) (Mean_Node,277.968,(c)) (conjunction,4')", "(H1,277.900,(r)) (Mean_Node,277.845,(c)) (conjunction,3')", '7', "(H1,277.900,(r)) (Uranus,52.929,(d)) (135-sesquisquare,2')", "(Mercury,292.438,(r)) (H5,82.501,(d)) (150-quincunx,4')\n(H5,53.568,(r)) (Mercury,263.582,(c)) (150-quincunx,1')", "(Mercury,292.438,(r)) (H4,352.365,(c)) (sextile,4')", '11', '12', "(Mars,192.863,(r)) (H8,192.711,(d)) (conjunction,9')\n(Uranus,27.499,(r)) (H12,297.473,(d)) (square,2')", 258]
['1935-01-08 15:47:51', '0', "(H1,337.945,(r)) (Sun,307.937,(d)) (30-semisextile,0')", '2', '3', "(Mars,192.918,(r)) (H1,12.907,(d)) (opposition,1')", "(Mean_Node,301.846,(r)) (H12,331.778,(d)) (30-semisextile,4')", "(H9,232.244,(r)) (Venus,277.182,(c)) (45-semisquare,4')\n(H9,232.244,(r)) (Jupiter,202.190,(c)) (30-semisextile,3')", '7', "(Mean_Node,301.846,(r)) (H3,76.918,(d)) (135-sesquisquare,4')", '9', "(Uranus,27.500,(r)) (H1,27.342,(d)) (conjunction,9')", '11', "(Pluto,115.129,(r)) (H8,145.163,(c)) (30-semisextile,2')\n(H10,256.668,(r)) (Pluto,76.607,(c)) (opposition,4')", '13', 102]
['1935-01-08 05:23:12', "(Jupiter,228.035,(r)) (H3,228.074,(c)) (conjunction,2')", "(H9,65.754,(r)) (Sun,305.842,(d)) (trine,5')\n(H9,65.754,(r)) (Jupiter,245.764,(d)) (opposition,1')", '2', '3', "(H10,98.196,(r)) (Moon,308.144,(c)) (150-quincunx,3')", "(Mean_Node,301.869,(r)) (H4,256.803,(c)) (45-semisquare,4')", '6', "(Uranus,27.499,(r)) (H1,207.606,(d)) (opposition,6')\n(Uranus,27.499,(r)) (H3,267.545,(d)) (trine,3')", '8', "(H7,7.505,(r)) (Mercury,322.525,(d)) (45-semisquare,1')", "(H4,278.196,(r)) (Mercury,323.265,(d)) (45-semisquare,4')\n(Pluto,115.139,(r)) (H1,160.135,(c)) (45-semisquare,0')", "(Neptune,164.452,(r)) (H12,194.530,(d)) (30-semisextile,5')\n(H1,187.505,(r)) (Mean_Node,337.557,(d)) (150-quincunx,3')\n(H7,7.505,(r)) (Mean_Node,337.557,(d)) (30-semisextile,3')", "(H10,98.196,(r)) (Moon,8.106,(d)) (square,5')\n(H1,187.505,(r)) (Neptune,127.486,(c)) (sextile,1')\n(H10,98.196,(r)) (Sun,248.159,(c)) (150-quincunx,2')", "(H8,35.086,(r)) (Mars,155.062,(c)) (trine,1')", 203]
['1935-01-08 13:25:51', '0', "(H1,292.505,(r)) (Jupiter,247.440,(d)) (45-semisquare,4')\n(H9,191.957,(r)) (Mean_Node,326.887,(d)) (135-sesquisquare,4')", "(Mean_Node,301.851,(r)) (H1,271.836,(c)) (30-semisextile,1')\n(H10,222.365,(r)) (Sun,267.433,(c)) (45-semisquare,4')", "(Jupiter,228.088,(r)) (H1,317.995,(d)) (square,6')", '4', "(H1,292.505,(r)) (Uranus,52.423,(d)) (trine,5')\n(Venus,299.514,(r)) (H1,269.527,(c)) (30-semisextile,1')", "(H1,292.505,(r)) (Uranus,52.554,(d)) (trine,3')", '7', "(Mercury,292.503,(r)) (H1,322.596,(d)) (30-semisextile,6')\n(Mercury,292.503,(r)) (H12,292.580,(d)) (conjunction,5')\n(H1,292.505,(r)) (H12,292.580,(d)) (conjunction,4')\n(H3,11.957,(r)) (Jupiter,251.884,(d)) (trine,4')", "(H5,66.658,(r)) (Mars,156.604,(c)) (square,3')", '10', "(Pluto,115.131,(r)) (H1,340.118,(d)) (135-sesquisquare,1')\n(Pluto,115.131,(r)) (H7,160.118,(d)) (45-semisquare,1')", '12', "(Saturn,325.755,(r)) (H10,175.743,(c)) (150-quincunx,1')", 175]
['1935-01-08 23:20:00', '0', "(Sun,287.774,(r)) (H10,347.866,(c)) (sextile,6')", "(Moon,339.815,(r)) (H1,129.794,(d)) (150-quincunx,1')\n(Mean_Node,301.829,(r)) (H10,31.777,(d)) (square,3')", '3', '4', "(Neptune,164.443,(r)) (H4,164.366,(c)) (conjunction,5')\n(H4,189.642,(r)) (Venus,279.631,(c)) (square,1')", "(H1,112.646,(r)) (Uranus,52.572,(d)) (sextile,4')", "(Mean_Node,301.829,(r)) (H1,91.818,(c)) (150-quincunx,1')", '8', '9', '10', "(Mercury,293.187,(r)) (H1,143.202,(d)) (150-quincunx,1')\n(Mercury,293.187,(r)) (H7,323.202,(d)) (30-semisextile,1')\n(H1,112.646,(r)) (Mercury,322.677,(d)) (150-quincunx,2')\n(H7,292.646,(r)) (Mercury,322.677,(d)) (30-semisextile,2')\n(H1,112.646,(r)) (Saturn,292.482,(c)) (opposition,10')\n(H7,292.646,(r)) (Saturn,292.482,(c)) (conjunction,10')", '12', "(Pluto,115.122,(r)) (H10,55.034,(d)) (sextile,5')", 194]
['1935-01-08 08:37:36', '0', "(Mean_Node,301.862,(r)) (H9,91.826,(c)) (150-quincunx,2')\n(H10,145.383,(r)) (Venus,280.477,(c)) (135-sesquisquare,6')", "(Moon,330.822,(r)) (H1,210.868,(c)) (trine,3')", "(Jupiter,228.056,(r)) (H10,168.053,(d)) (sextile,0')", '4', "(H1,227.960,(r)) (Uranus,47.852,(d)) (opposition,6')\n(H4,325.383,(r)) (Sun,265.437,(c)) (sextile,3')", "(H1,227.960,(r)) (Uranus,47.964,(d)) (opposition,0')\n(Mean_Node,301.862,(r)) (H10,122.006,(c)) (opposition,9')\n(H10,145.383,(r)) (Sun,265.319,(c)) (trine,4')", "(H1,227.960,(r)) (Mercury,317.887,(d)) (square,4')\n(H10,145.383,(r)) (Moon,355.390,(d)) (150-quincunx,0')", "(Uranus,27.499,(r)) (H1,207.516,(c)) (opposition,1')\n(Uranus,27.499,(r)) (H3,267.447,(c)) (trine,3')", '9', "(H5,357.673,(r)) (Moon,297.654,(c)) (sextile,1')", '11', "(Mean_Node,301.862,(r)) (H12,241.945,(d)) (sextile,5')\n(Neptune,164.450,(r)) (H10,104.424,(c)) (sextile,2')", "(Mars,192.798,(r)) (H10,102.726,(c)) (square,4')\n(H1,227.960,(r)) (Uranus,348.049,(c)) (trine,5')", 295]
['1935-01-08 07:33:27', '0', "(H1,214.733,(r)) (Moon,349.820,(d)) (135-sesquisquare,5')\n(H1,214.733,(r)) (Jupiter,244.680,(d)) (30-semisextile,3')\n(Sun,287.104,(r)) (H9,77.186,(c)) (150-quincunx,5')\n(Jupiter,228.049,(r)) (H1,198.101,(c)) (30-semisextile,3')", "(Moon,330.165,(r)) (H10,150.251,(d)) (opposition,5')\n(H3,275.470,(r)) (Venus,320.485,(d)) (45-semisquare,1')", "(H10,129.142,(r)) (Uranus,9.112,(c)) (trine,2')", '4', "(H1,214.733,(r)) (Saturn,349.688,(d)) (135-sesquisquare,3')\n(H8,63.620,(r)) (Saturn,303.541,(c)) (trine,5')", "(Venus,299.207,(r)) (H9,74.139,(c)) (135-sesquisquare,4')", "(H10,129.142,(r)) (Mean_Node,279.081,(c)) (150-quincunx,4')", "(Jupiter,228.049,(r)) (H12,167.979,(c)) (sextile,4')", '9', "(Mars,192.780,(r)) (H4,342.825,(d)) (150-quincunx,3')", '11', "(H10,129.142,(r)) (Saturn,9.112,(d)) (trine,2')", "(Pluto,115.137,(r)) (H8,25.134,(c)) (square,0')\n(H1,214.733,(r)) (Uranus,349.748,(c)) (135-sesquisquare,1')", 177]
['1935-01-08 21:34:07', '0', "(Sun,287.699,(r)) (H9,332.787,(d)) (45-semisquare,5')", "(Sun,287.699,(r)) (H1,107.773,(d)) (opposition,4')", "(H10,340.840,(r)) (Venus,280.788,(c)) (sextile,3')", '4', "(Sun,287.699,(r)) (H12,77.690,(d)) (150-quincunx,1')", "(H9,313.756,(r)) (Jupiter,253.778,(d)) (sextile,1')\n(H9,313.756,(r)) (Moon,313.585,(c)) (conjunction,10')", '7', '8', '9', '10', '11', "(Uranus,27.500,(r)) (H8,252.525,(c)) (135-sesquisquare,1')", '13', 89]
['1935-01-08 20:34:31', '0', "(Mercury,292.996,(r)) (H1,52.942,(c)) (trine,3')\n(H1,75.131,(r)) (Moon,315.122,(c)) (trine,1')", '2', '3', '4', "(Sun,287.657,(r)) (H12,62.572,(d)) (135-sesquisquare,5')\n(Mean_Node,301.835,(r)) (H4,121.866,(c)) (opposition,2')", "(Mean_Node,301.835,(r)) (H10,301.741,(c)) (conjunction,6')", "(H1,75.131,(r)) (Jupiter,255.160,(d)) (opposition,2')\n(Moon,338.137,(r)) (H3,98.190,(c)) (trine,3')\n(Jupiter,228.135,(r)) (H1,47.957,(c)) (opposition,11')", "(Mercury,292.996,(r)) (H3,143.037,(d)) (150-quincunx,2')\n(H1,75.131,(r)) (Mercury,315.052,(d)) (trine,5')\n(H10,325.098,(r)) (Mean_Node,325.097,(d)) (conjunction,0')", '9', "(Venus,299.888,(r)) (H4,179.966,(d)) (trine,5')\n(Mercury,292.996,(r)) (H4,112.962,(c)) (opposition,2')", "(Mean_Node,301.835,(r)) (H12,346.917,(c)) (45-semisquare,5')", "(Moon,338.137,(r)) (H1,113.074,(d)) (135-sesquisquare,4')\n(H10,325.098,(r)) (Sun,325.251,(d)) (conjunction,9')\n(H1,75.131,(r)) (Saturn,285.145,(c)) (150-quincunx,1')", "(Moon,338.137,(r)) (H12,337.959,(c)) (conjunction,11')", 292]
['1935-01-08 11:05:04', "(H10,185.037,(r)) (Mercury,274.947,(c)) (square,5')", "(Mean_Node,301.856,(r)) (H1,241.914,(c)) (sextile,3')\n(H9,149.874,(r)) (Jupiter,209.808,(c)) (sextile,4')", "(Uranus,27.499,(r)) (H10,207.339,(d)) (opposition,10')\n(Uranus,27.499,(r)) (H10,162.504,(c)) (135-sesquisquare,0')", '3', '4', "(H4,5.037,(r)) (Uranus,50.018,(d)) (45-semisquare,1')\n(H4,5.037,(r)) (Moon,305.117,(c)) (sextile,5')", "(H10,185.037,(r)) (Mercury,319.951,(d)) (135-sesquisquare,5')\n(H10,185.037,(r)) (Moon,304.982,(c)) (trine,3')", '7', "(H3,329.874,(r)) (Moon,359.915,(d)) (30-semisextile,2')\n(H3,329.874,(r)) (Mercury,269.836,(c)) (sextile,2')", "(H7,78.820,(r)) (Jupiter,198.839,(c)) (trine,1')", '10', "(H1,258.820,(r)) (Mercury,258.788,(c)) (conjunction,2')\n(H7,78.820,(r)) (Mercury,258.788,(c)) (opposition,2')", "(H8,112.485,(r)) (Mean_Node,352.473,(d)) (trine,1')", "(Neptune,164.449,(r)) (H8,164.420,(d)) (conjunction,2')\n(H1,258.820,(r)) (Pluto,168.855,(d)) (square,2')", 258]
['1935-01-08 17:59:52', "(H3,84.701,(r)) (Jupiter,204.664,(c)) (trine,2')", "(H9,264.701,(r)) (Uranus,54.641,(d)) (150-quincunx,4')\n(H1,28.062,(r)) (Uranus,358.087,(c)) (30-semisextile,2')", '2', "(Uranus,27.500,(r)) (H10,267.475,(c)) (trine,2')", '4', "(Saturn,325.775,(r)) (H4,85.731,(c)) (trine,3')", "(H10,287.164,(r)) (Neptune,197.108,(d)) (square,3')", "(H10,287.164,(r)) (Mercury,317.144,(d)) (30-semisextile,1')", "(Jupiter,228.118,(r)) (H12,18.034,(d)) (150-quincunx,5')\n(H10,287.164,(r)) (H3,107.297,(d)) (opposition,8')\n(H10,287.164,(r)) (Jupiter,197.082,(c)) (square,5')", "(Mercury,292.818,(r)) (H7,247.893,(d)) (45-semisquare,4')", '10', "(Venus,299.753,(r)) (H12,299.753,(c)) (conjunction,0')\n(Mars,192.955,(r)) (H4,72.977,(c)) (trine,1')", "(Saturn,325.775,(r)) (H8,280.770,(d)) (45-semisquare,0')\n(H10,287.164,(r)) (Mean_Node,347.222,(d)) (sextile,3')\n(Pluto,115.127,(r)) (H1,325.202,(c)) (150-quincunx,4')\n(H10,287.164,(r)) (Moon,287.037,(c)) (conjunction,8')", "(Moon,336.564,(r)) (H8,186.483,(c)) (150-quincunx,5')\n(Moon,336.564,(r)) (H10,246.633,(c)) (square,4')", 256]
['1935-01-08 14:07:36', "(Venus,299.550,(r)) (H1,329.461,(d)) (30-semisextile,5')", "(H1,304.346,(r)) (Uranus,4.352,(c)) (sextile,0')", "(Venus,299.550,(r)) (H3,359.551,(c)) (sextile,0')\n(Mean_Node,301.850,(r)) (H10,211.796,(c)) (square,3')", "(Sun,287.383,(r)) (H1,332.438,(d)) (45-semisquare,3')\n(Jupiter,228.093,(r)) (H3,48.248,(d)) (opposition,9')\n(H1,304.346,(r)) (Moon,304.470,(c)) (conjunction,7')", '4', "(Mean_Node,301.850,(r)) (H12,302.017,(d)) (conjunction,10')\n(H8,167.002,(r)) (Neptune,196.994,(d)) (30-semisextile,0')\n(Sun,287.383,(r)) (H8,137.376,(c)) (150-quincunx,0')", '6', "(H1,304.346,(r)) (Moon,4.301,(d)) (sextile,3')", "(Uranus,27.499,(r)) (H10,207.561,(c)) (opposition,4')", "(Jupiter,228.093,(r)) (H7,168.032,(d)) (sextile,4')", "(Moon,334.197,(r)) (H4,19.277,(c)) (45-semisquare,5')\n(H1,304.346,(r)) (Uranus,349.356,(c)) (45-semisquare,1')", "(Neptune,164.448,(r)) (H4,14.469,(c)) (150-quincunx,1')", '12', '13', 234]
['1935-01-08 06:44:08', '0', '1', '2', "(Jupiter,228.044,(r)) (H10,138.131,(d)) (square,5')\n(H3,264.121,(r)) (Moon,309.150,(c)) (45-semisquare,2')", '4', "(H8,52.877,(r)) (Neptune,142.853,(c)) (square,1')", '6', '7', '8', "(Uranus,27.499,(r)) (H10,87.581,(c)) (sextile,5')\n(H5,329.769,(r)) (Venus,269.801,(c)) (sextile,2')", "(Moon,329.659,(r)) (H4,329.698,(d)) (conjunction,2')\n(Mean_Node,301.866,(r)) (H5,1.788,(d)) (sextile,5')\n(H1,204.483,(r)) (Uranus,54.413,(d)) (150-quincunx,4')\n(H5,329.769,(r)) (H4,329.698,(d)) (conjunction,4')\n(Venus,299.164,(r)) (H5,299.284,(c)) (conjunction,7')\n(H5,329.769,(r)) (Uranus,359.862,(c)) (30-semisextile,6')", "(Saturn,325.726,(r)) (H12,145.861,(c)) (opposition,8')", "(H8,52.877,(r)) (Mean_Node,262.890,(c)) (150-quincunx,1')", '13', 197]
['1935-01-08 21:23:51', "(Moon,338.637,(r)) (H3,113.696,(c)) (135-sesquisquare,3')", "(Mercury,293.053,(r)) (H9,293.023,(c)) (conjunction,2')", "(H3,131.359,(r)) (Jupiter,251.275,(d)) (trine,5')\n(H3,131.359,(r)) (Venus,281.283,(c)) (150-quincunx,5')", "(H3,131.359,(r)) (Mercury,311.220,(d)) (opposition,8')", '4', "(Sun,287.692,(r)) (H1,107.716,(d)) (opposition,1')", "(Sun,287.692,(r)) (H1,107.826,(d)) (opposition,8')", "(Sun,287.692,(r)) (H1,62.677,(c)) (135-sesquisquare,1')", "(Mean_Node,301.834,(r)) (H1,61.832,(c)) (trine,0')", "(Jupiter,228.140,(r)) (H5,228.089,(d)) (conjunction,3')\n(H5,191.750,(r)) (Moon,11.907,(d)) (opposition,9')", "(H4,158.089,(r)) (Jupiter,188.033,(c)) (30-semisextile,3')", '11', "(Saturn,325.790,(r)) (H10,295.770,(c)) (30-semisextile,1')", "(H8,288.822,(r)) (Pluto,153.835,(d)) (135-sesquisquare,1')", 200]
