Row 70: {'time': '1997-11-16 16:59:43', 'p_a_conj': 8, 'p_a_maj': 23, 'p_a_allm': 31, 'p_a_min': 23, 'e': 2, 'all_conj': 8}
Row 71: {'time': '1997-11-16 02:04:07', 'p_a_conj': 5, 'p_a_maj': 17, 'p_a_allm': 22, 'p_a_min': 22, 'e': 2, 'all_conj': 5}
Row 72: {'time': '1997-11-16 08:57:20', 'p_a_conj': 6, 'p_a_maj': 24, 'p_a_allm': 30, 'p_a_min': 27, 'e': 1, 'all_conj': 6}
Row 73: {'time': '1997-11-16 13:45:12', 'p_a_conj': 3, 'p_a_maj': 16, 'p_a_allm': 19, 'p_a_min': 23, 'e': 2, 'all_conj': 3}
Row 74: {'time': '1997-11-16 07:34:07', 'p_a_conj': 7, 'p_a_maj': 16, 'p_a_allm': 23, 'p_a_min': 16, 'e': 1, 'all_conj': 7}
Row 75: {'time': '1997-11-16 01:11:59', 'p_a_conj': 10, 'p_a_maj': 18, 'p_a_allm': 28, 'p_a_min': 15, 'e': 1, 'all_conj': 10}
Row 76: {'time': '1997-11-16 15:43:20', 'p_a_conj': 2, 'p_a_maj': 24, 'p_a_allm': 26, 'p_a_min': 18, 'e': 0, 'all_conj': 2}
Row 77: {'time': '1997-11-16 15:50:56', 'p_a_conj': 10, 'p_a_maj': 17, 'p_a_allm': 27, 'p_a_min': 18, 'e': 1, 'all_conj': 10}
Row 78: {'time': '1997-11-16 03:42:24', 'p_a_conj': 3, 'p_a_maj': 22, 'p_a_allm': 25, 'p_a_min': 29, 'e': 1, 'all_conj': 3}
Row 79: {'time': '1997-11-16 05:16:56', 'p_a_conj': 2, 'p_a_maj': 13, 'p_a_allm': 15, 'p_a_min': 21, 'e': 2, 'all_conj': 2}
Row 80: {'time': '1997-11-16 10:45:19', 'p_a_conj': 4, 'p_a_maj': 10, 'p_a_allm': 14, 'p_a_min': 17, 'e': 2, 'all_conj': 4}
Row 81: {'time': '1997-11-16 11:34:00', 'p_a_conj': 8, 'p_a_maj': 19, 'p_a_allm': 27, 'p_a_min': 23, 'e': 2, 'all_conj': 8}
Row 82: {'time': '1997-11-16 07:38:47', 'p_a_conj': 5, 'p_a_maj': 17, 'p_a_allm': 22, 'p_a_min': 16, 'e': 1, 'all_conj': 5}
Row 83: {'time': '1997-11-16 13:31:20', 'p_a_conj': 5, 'p_a_maj': 17, 'p_a_allm': 22, 'p_a_min': 15, 'e': 0, 'all_conj': 5}
Row 84: {'time': '1997-11-16 15:44:23', 'p_a_conj': 3, 'p_a_maj': 22, 'p_a_allm': 25, 'p_a_min': 19, 'e': 0, 'all_conj': 3}
Row 85: {'time': '1997-11-16 01:15:43', 'p_a_conj': 10, 'p_a_maj': 16, 'p_a_allm': 26, 'p_a_min': 20, 'e': 0, 'all_conj': 10}
Row 86: {'time': '1997-11-16 06:40:08', 'p_a_conj': 1, 'p_a_maj': 10, 'p_a_allm': 11, 'p_a_min': 20, 'e': 3, 'all_conj': 1}
Row 87: {'time': '1997-11-16 01:28:07', 'p_a_conj': 5, 'p_a_maj': 16, 'p_a_allm': 21, 'p_a_min': 16, 'e': 0, 'all_conj': 5}
Row 88: {'time': '1997-11-16 03:50:07', 'p_a_conj': 8, 'p_a_maj': 15, 'p_a_allm': 23, 'p_a_min': 18, 'e': 1, 'all_conj': 8}
Row 89: {'time': '1997-11-16 12:34:23', 'p_a_conj': 7, 'p_a_maj': 16, 'p_a_allm': 23, 'p_a_min': 21, 'e': 0, 'all_conj': 7}
Row 90: {'time': '1997-11-16 09:07:28', 'p_a_conj': 2, 'p_a_maj': 18, 'p_a_allm': 20, 'p_a_min': 28, 'e': 0, 'all_conj': 2}
Row 91: {'time': '1997-11-16 11:27:04', 'p_a_conj': 3, 'p_a_maj': 13, 'p_a_allm': 16, 'p_a_min': 21, 'e': 4, 'all_conj': 3}
Row 92: {'time': '1997-11-16 09:04:23', 'p_a_conj': 5, 'p_a_maj': 20, 'p_a_allm': 25, 'p_a_min': 27, 'e': 0, 'all_conj': 5}
Row 93: {'time': '1997-11-16 13:41:59', 'p_a_conj': 4, 'p_a_maj': 20, 'p_a_allm': 24, 'p_a_min': 20, 'e': 1, 'all_conj': 4}
Row 94: {'time': '1997-11-16 14:21:28', 'p_a_conj': 1, 'p_a_maj': 20, 'p_a_allm': 21, 'p_a_min': 21, 'e': 1, 'all_conj': 1}
Row 95: {'time': '1997-11-16 02:40:56', 'p_a_conj': 8, 'p_a_maj': 22, 'p_a_allm': 30, 'p_a_min': 36, 'e': 0, 'all_conj': 8}
Row 96: {'time': '1997-11-16 04:29:44', 'p_a_conj': 5, 'p_a_maj': 15, 'p_a_allm': 20, 'p_a_min': 24, 'e': 1, 'all_conj': 5}
Row 97: {'time': '1997-11-16 08:24:56', 'p_a_conj': 4, 'p_a_maj': 14, 'p_a_allm': 18, 'p_a_min': 28, 'e': 0, 'all_conj': 4}
Row 98: {'time': '1997-11-16 06:55:20', 'p_a_conj': 8, 'p_a_maj': 22, 'p_a_allm': 30, 'p_a_min': 26, 'e': 0, 'all_conj': 8}
Row 99: {'time': '1997-11-16 16:25:11', 'p_a_conj': 7, 'p_a_maj': 26, 'p_a_allm': 33, 'p_a_min': 21, 'e': 1, 'all_conj': 7}
