['Time', '0: 1917-11-30', '1: 1927-06-30', '2: 1927-06-30', '3: 1930-07-20', '4: 1940-01-01', '5: 1941-12-07', '6: 1942-03-20', '7: 1943-06-25', '8: 1944-04-20', '9: 1948-02-07', '10: 1949-01-15', '11: 1949-12-04', '12: 1952-04-22', '13: 1954-01-18', '14: 1963-04-29', '15: 1974-08-21', '16: 1978-09-21', 'Count']
['1916-09-06 15:02:07', '0', "(Uranus,316.706,(r)) (H10,136.555,(c)) (opposition,9.05')", '2', '3', '4', "(Moon,272.554,(r)) (H3,272.609,(c)) (conjunction,3.31')\n(Moon,272.554,(r)) (H10,122.503,(c)) (150-quincunx,3.09')", '6', "(Moon,272.554,(r)) (H7,32.515,(c)) (trine,2.34')", "(Mean_Node,296.533,(r)) (H4,356.613,(d)) (sextile,4.82')", "(Mean_Node,296.533,(r)) (H4,296.669,(c)) (conjunction,8.17')\n(H4,327.472,(r)) (H5,327.482,(c)) (conjunction,0.61')", "(H9,115.962,(r)) (H10,115.789,(c)) (conjunction,10.38')", '11', "(Jupiter,35.159,(r)) (H4,5.211,(d)) (30-semisextile,3.16')", '13', '14', "(Moon,272.554,(r)) (H7,2.519,(c)) (square,2.15')", '16', 10]
['1916-09-07 04:44:56', '0', "(Sun,164.218,(r)) (H9,314.140,(c)) (150-quincunx,4.66')", "(Mars,208.978,(r)) (H4,164.017,(c)) (45-semisquare,2.34')", "(Moon,280.731,(r)) (H10,340.782,(c)) (sextile,3.06')", '4', '5', '6', '7', "(Mean_Node,296.502,(r)) (H4,146.477,(c)) (150-quincunx,1.55')", "(H5,208.845,(r)) (H4,208.942,(d)) (conjunction,5.86')", '10', '11', '12', "(Jupiter,35.135,(r)) (H4,215.047,(d)) (opposition,5.28')\n(Uranus,316.687,(r)) (H4,136.647,(c)) (opposition,2.38')", '14', '15', '16', 7]
['1916-09-06 20:46:16', '0', '1', '2', '3', '4', '5', '6', '7', '8', '9', "(Venus,118.074,(r)) (H10,268.011,(d)) (150-quincunx,3.79')", "(Mars,208.758,(r)) (H4,88.810,(d)) (trine,3.16')", '12', '13', '14', '15', '16', 2]
['1916-09-06 14:23:20', '0', '1', '2', '3', "(Mean_Node,296.534,(r)) (H10,161.490,(d)) (135-sesquisquare,2.65')\n(Mean_Node,296.534,(r)) (H1,206.461,(c)) (square,4.36')", "(Sun,163.637,(r)) (H10,163.537,(d)) (conjunction,6.00')", '6', '7', '8', '9', "(Uranus,316.707,(r)) (H10,106.643,(c)) (150-quincunx,3.84')\n(H9,106.691,(r)) (H10,106.643,(c)) (conjunction,2.90')", '11', "(Sun,163.637,(r)) (H5,313.702,(c)) (150-quincunx,3.89')", "(Mean_Node,296.534,(r)) (H4,356.483,(d)) (sextile,3.07')", '14', "(H7,48.235,(r)) (H5,48.143,(d)) (conjunction,5.54')", "(Neptune,123.880,(r)) (H1,168.925,(c)) (45-semisquare,2.69')", 9]
['1916-09-06 08:54:16', '0', '1', "(Pluto,94.265,(r)) (H4,229.248,(c)) (135-sesquisquare,1.02')", '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', "(Mean_Node,296.546,(r)) (H4,296.575,(d)) (conjunction,1.72')\n(Venus,117.619,(r)) (H8,297.593,(c)) (opposition,1.57')", 3]
['1916-09-06 11:26:39', '0', '1', '2', '3', "(Mean_Node,296.541,(r)) (H10,116.611,(d)) (opposition,4.21')", '5', '6', '7', '8', "(Jupiter,35.165,(r)) (H1,155.130,(c)) (trine,2.10')", "(Jupiter,35.165,(r)) (H9,95.159,(d)) (sextile,0.33')\n(H10,95.190,(r)) (H9,95.159,(d)) (conjunction,1.88')\n(Jupiter,35.165,(r)) (H9,34.997,(c)) (conjunction,10.08')\n(H9,65.813,(r)) (H10,65.667,(c)) (conjunction,8.76')", "(Pluto,94.266,(r)) (H5,274.423,(c)) (opposition,9.41')", '12', '13', '14', '15', '16', 7]
['1916-09-06 15:10:15', "(Venus,117.859,(r)) (H7,57.948,(c)) (sextile,5.32')", '1', "(Pluto,94.268,(r)) (H1,229.264,(c)) (135-sesquisquare,0.27')", '3', '4', '5', "(Pluto,94.268,(r)) (H3,274.230,(c)) (opposition,2.31')", '7', '8', "(H4,329.598,(r)) (H5,329.548,(c)) (conjunction,3.05')", "(Venus,117.859,(r)) (H10,117.730,(c)) (conjunction,7.72')", '11', '12', '13', '14', "(Neptune,123.881,(r)) (H5,303.830,(c)) (opposition,3.10')\n(Pluto,94.268,(r)) (H4,274.207,(c)) (opposition,3.68')", '16', 7]
['1916-09-06 08:31:04', '0', '1', '2', '3', '4', "(Uranus,316.715,(r)) (H1,166.693,(d)) (150-quincunx,1.36')\n(Moon,268.694,(r)) (H10,28.780,(c)) (trine,5.16')\n(Mean_Node,296.547,(r)) (H3,176.569,(c)) (trine,1.29')", "(Uranus,316.715,(r)) (H12,136.875,(d)) (opposition,9.57')\n(Sun,163.400,(r)) (H10,28.488,(c)) (135-sesquisquare,5.31')\n(Mars,208.420,(r)) (H10,28.488,(c)) (opposition,4.08')", '7', '8', '9', '10', "(Jupiter,35.170,(r)) (POF,215.342,(c)) (opposition,10.37')", "(Mean_Node,296.547,(r)) (H5,296.434,(d)) (conjunction,6.77')", "(Mars,208.420,(r)) (H1,178.482,(d)) (30-semisextile,3.70')", '14', '15', '16', 9]
['1916-09-07 00:59:43', '0', '1', '2', "(Mercury,190.736,(r)) (H10,310.691,(d)) (trine,2.74')", '4', '5', '6', '7', '8', "(Venus,118.236,(r)) (H4,148.281,(d)) (30-semisextile,2.69')\n(Venus,118.236,(r)) (H1,358.193,(c)) (trine,2.60')", "(Moon,278.486,(r)) (H1,68.460,(d)) (150-quincunx,1.55')", '11', "(Jupiter,35.141,(r)) (H5,185.177,(d)) (150-quincunx,2.13')", '13', '14', '15', '16', 5]
['1916-09-07 03:00:00', '0', "(Uranus,316.689,(r)) (H10,316.514,(c)) (conjunction,10.49')", '2', '3', '4', "(Mercury,190.825,(r)) (H1,40.774,(c)) (150-quincunx,3.11')", '6', "(Mars,208.930,(r)) (H5,208.960,(d)) (conjunction,1.83')", "(Mean_Node,296.506,(r)) (H4,176.566,(d)) (trine,3.58')", "(Mean_Node,296.506,(r)) (H4,116.630,(c)) (opposition,7.43')", '10', '11', "(Moon,279.684,(r)) (H1,99.619,(d)) (opposition,3.91')\n(Jupiter,35.138,(r)) (H4,185.164,(d)) (150-quincunx,1.57')", '13', "(Moon,279.684,(r)) (H5,129.775,(c)) (150-quincunx,5.46')", "(Mars,208.930,(r)) (H4,208.785,(d)) (conjunction,8.70')", "(Saturn,116.898,(r)) (POF,116.991,(c)) (conjunction,5.57')", 10]
