['Time', '0: 1870-08-25', '1: 1883-02-13', '2: 1821-09-30', '3: 1836-07-07', '4: 1836-11-24', '5: 1848-01-09', '6: 1865-04-10', '7: 1866-01-25', '8: 1867-02-17', '9: 1869-06-06', 'Count']
['1813-05-22 15:31:28', "(Moon,288.864,(c)) (H5,289.224,(c)) (conjunction,21.60')", "(H10,122.824,(r)) (POF,302.941,(p)) (opposition,6.98')", "(Saturn,288.904,(r)) (H1,198.918,(c)) (square,0.88')", '3', "(Moon,16.496,(c)) (H5,316.541,(c)) (sextile,2.73')", "(Pluto,350.672,(p)) (H8,80.708,(p)) (square,2.17')", "(Mean_Node,137.064,(c)) (H4,257.086,(c)) (trine,1.33')", "(Pluto,349.516,(c)) (H7,349.577,(c)) (conjunction,3.67')", "(Venus,60.320,(r)) (H4,0.414,(p)) (sextile,5.64')\n(Jupiter,123.763,(r)) (H1,243.825,(p)) (trine,3.72')", '9', 9]
['1813-05-22 00:54:23', '0', '1', "(Sun,60.487,(r)) (H1,330.330,(c)) (square,9.46')", '3', '4', '5', "(Venus,59.571,(r)) (H5,59.596,(c)) (conjunction,1.45')", '7', '8', "(Pluto,350.505,(r)) (H5,170.484,(p)) (opposition,1.23')\n(Pluto,350.550,(p)) (H5,170.484,(p)) (opposition,3.94')\n(Moon,296.588,(c)) (H5,56.289,(c)) (trine,17.97')", 5]
['1813-05-21 23:40:08', "(Venus,348.875,(c)) (POF,168.994,(c)) (opposition,7.11')", '1', "(H10,248.377,(r)) (Sun,68.459,(p)) (opposition,4.89')\n(Sun,60.438,(r)) (H10,240.507,(c)) (opposition,4.18')", '3', "(H5,86.547,(r)) (Mercury,26.438,(c)) (sextile,6.53')\n(Moon,6.623,(c)) (H5,66.234,(c)) (sextile,23.33')", '5', "(Mean_Node,137.099,(c)) (H1,256.944,(c)) (trine,9.29')", '7', "(H5,86.547,(r)) (Moon,326.496,(c)) (trine,3.08')\n(H5,86.547,(r)) (Mercury,26.442,(c)) (sextile,6.32')\n(Mean_Node,137.197,(c)) (H4,17.202,(c)) (trine,0.30')", "(H4,68.377,(r)) (Venus,128.349,(p)) (sextile,1.67')", 10]
['1813-05-22 14:01:52', "(Venus,130.577,(p)) (H5,10.574,(p)) (trine,0.16')\n(Mars,310.662,(p)) (H5,10.574,(p)) (sextile,5.28')", '1', "(Pluto,350.511,(r)) (POF,350.376,(c)) (conjunction,8.12')\n(Pluto,350.406,(c)) (POF,350.376,(c)) (conjunction,1.81')", "(Moon,21.332,(c)) (H10,80.899,(c)) (sextile,25.99')", "(Uranus,236.687,(c)) (H5,296.803,(c)) (sextile,6.97')", "(Mars,304.048,(r)) (H1,213.964,(p)) (square,5.07')\n(Neptune,255.314,(c)) (H1,165.394,(c)) (square,4.81')", "(Uranus,235.724,(r)) (H4,235.843,(c)) (conjunction,7.10')", '7', "(Jupiter,119.048,(c)) (POF,119.222,(c)) (conjunction,10.47')", "(H1,188.939,(r)) (Venus,129.082,(p)) (sextile,8.55')", 11]
['1813-05-22 01:42:31', "(H7,197.159,(r)) (POF,197.155,(c)) (conjunction,0.24')", '1', '2', "(Sun,82.660,(p)) (H5,142.660,(p)) (sextile,0.03')", "(Sun,83.026,(p)) (H5,143.140,(p)) (sextile,6.83')\n(Mean_Node,135.592,(c)) (H10,255.651,(c)) (trine,3.58')", "(Sun,93.636,(p)) (H8,273.731,(p)) (opposition,5.65')", "(Sun,10.077,(c)) (H5,70.162,(c)) (sextile,5.08')", '7', "(H1,17.159,(r)) (Mean_Node,137.193,(c)) (trine,2.05')", '9', 7]
['1813-05-22 08:18:32', '0', "(Mars,303.956,(r)) (POF,213.907,(c)) (square,2.94')", "(Mean_Node,134.332,(r)) (H1,134.353,(p)) (conjunction,1.25')\n(Moon,318.829,(r)) (H8,318.914,(c)) (conjunction,5.08')", "(H10,17.987,(r)) (Moon,17.726,(c)) (conjunction,15.65')", "(POF,26.437,(r)) (Mercury,26.276,(c)) (conjunction,9.69')", '5', "(Mars,311.658,(p)) (H4,251.505,(p)) (sextile,9.20')\n(Mean_Node,131.585,(p)) (H4,251.505,(p)) (trine,4.81')", '7', '8', '9', 7]
['1813-05-22 15:05:11', "(H7,20.124,(r)) (Mercury,139.991,(p)) (trine,7.99')", "(H8,46.457,(r)) (Moon,136.508,(c)) (square,3.00')", '2', "(H5,331.165,(r)) (Moon,271.349,(p)) (sextile,11.02')", '4', '5', '6', "(Uranus,235.722,(r)) (POF,145.821,(c)) (square,5.94')", '8', "(Uranus,235.722,(r)) (H4,355.769,(p)) (trine,2.77')", 5]
['1813-05-22 06:50:31', "(Venus,59.875,(r)) (H7,240.057,(c)) (opposition,10.88')", "(Neptune,252.961,(p)) (H1,162.850,(p)) (square,6.63')\n(Saturn,287.648,(c)) (H10,287.687,(c)) (conjunction,2.37')", "(H8,308.065,(r)) (POF,128.212,(p)) (opposition,8.79')", '3', "(H5,211.829,(r)) (Moon,271.843,(p)) (sextile,0.85')", "(Moon,318.044,(r)) (H1,137.932,(p)) (opposition,6.70')\n(Moon,228.307,(c)) (H4,138.770,(c)) (square,27.82')", "(H4,174.035,(r)) (Uranus,234.065,(p)) (sextile,1.83')\n(Sun,110.288,(p)) (H4,230.350,(p)) (trine,3.73')", '7', "(H4,174.035,(r)) (Uranus,234.035,(p)) (sextile,0.04')", "(H4,174.035,(r)) (Uranus,234.002,(p)) (sextile,1.97')\n(Moon,299.781,(c)) (H4,119.469,(c)) (opposition,18.70')\n(Mercury,23.568,(c)) (H5,143.466,(c)) (trine,6.10')", 13]
['1813-05-22 04:50:39', "(Venus,349.143,(c)) (H5,109.165,(c)) (trine,1.32')", '1', '2', "(Venus,59.773,(r)) (H10,299.761,(c)) (trine,0.75')", '4', "(Mars,312.405,(p)) (H8,312.455,(p)) (conjunction,3.00')\n(Mean_Node,132.506,(p)) (H8,312.455,(p)) (opposition,3.05')", '6', '7', "(Sun,60.645,(r)) (H5,240.771,(p)) (opposition,7.59')\n(Moon,329.494,(c)) (POF,329.854,(c)) (conjunction,21.61')", "(Jupiter,123.697,(r)) (H1,3.789,(c)) (trine,5.56')", 7]
['1813-05-21 23:57:12', '0', '1', '2', "(H10,252.385,(r)) (Moon,12.493,(c)) (trine,6.48')", "(H5,90.452,(r)) (Venus,30.580,(c)) (sextile,7.66')", '5', '6', '7', "(Jupiter,123.667,(r)) (H4,123.846,(p)) (conjunction,10.77')", "(Mean_Node,137.319,(c)) (H1,257.346,(c)) (trine,1.67')", 4]
['1813-05-22 07:47:03', '0', '1', "(Uranus,235.735,(r)) (H8,325.892,(p)) (square,9.45')\n(Saturn,288.565,(p)) (H10,18.592,(p)) (square,1.63')", "(Mercury,73.755,(p)) (H5,253.658,(p)) (opposition,5.84')", '4', "(H8,319.232,(r)) (Moon,228.774,(c)) (square,27.49')", "(Mars,303.948,(r)) (H4,244.072,(p)) (sextile,7.47')\n(Mean_Node,137.081,(c)) (H4,137.123,(c)) (conjunction,2.50')", '7', "(H4,189.467,(r)) (Moon,309.152,(p)) (trine,18.89')\n(Venus,125.941,(p)) (H4,245.858,(p)) (trine,4.96')", '9', 8]
['1813-05-22 13:53:04', '0', "(POF,88.201,(r)) (Mars,268.088,(c)) (opposition,6.76')", '2', "(Mercury,36.073,(r)) (H5,336.228,(p)) (sextile,9.30')", "(Mercury,36.073,(r)) (POF,36.212,(p)) (conjunction,8.33')\n(H5,314.999,(r)) (Mercury,75.094,(p)) (trine,5.75')\n(H5,314.999,(r)) (Moon,15.467,(c)) (sextile,28.13')", "(Venus,60.236,(r)) (H8,60.349,(p)) (conjunction,6.77')", '6', '7', "(Uranus,237.644,(c)) (POF,117.597,(c)) (trine,2.82')", '9', 7]
['1813-05-21 23:07:52', '0', '1', '2', "(Moon,263.337,(p)) (H10,262.828,(p)) (conjunction,30.53')\n(Venus,59.480,(r)) (H5,59.473,(c)) (conjunction,0.44')\n(POF,192.154,(r)) (Moon,11.981,(c)) (opposition,10.41')\n(H10,240.698,(r)) (Jupiter,120.771,(c)) (trine,4.42')", "(H10,240.698,(r)) (Jupiter,120.734,(c)) (trine,2.16')", '5', '6', "(Moon,291.219,(p)) (H4,111.015,(p)) (opposition,12.22')", "(Mean_Node,134.352,(r)) (H5,134.203,(p)) (conjunction,8.93')", "(Uranus,237.706,(c)) (POF,177.535,(c)) (sextile,10.28')", 8]
['1813-05-22 02:23:20', '0', "(Sun,60.547,(r)) (H8,150.565,(c)) (square,1.11')", "(H8,248.707,(r)) (Sun,68.567,(p)) (opposition,8.39')", "(Mercury,35.530,(r)) (H5,155.350,(p)) (trine,10.80')", "(Mercury,74.089,(p)) (H7,254.150,(p)) (opposition,3.66')", "(Neptune,255.322,(c)) (H4,75.482,(c)) (opposition,9.60')", "(Mean_Node,134.345,(r)) (H5,194.455,(p)) (sextile,6.58')\n(Sun,60.547,(r)) (H4,60.604,(c)) (conjunction,3.42')", '7', "(Jupiter,119.042,(c)) (H4,58.982,(c)) (sextile,3.59')", "(Moon,315.667,(r)) (H5,75.844,(c)) (trine,10.62')\n(Moon,297.383,(c)) (H4,56.964,(c)) (trine,25.13')", 10]
['1813-05-22 13:41:28', '0', '1', '2', "(POF,86.050,(r)) (Mercury,26.021,(c)) (sextile,1.76')", "(POF,86.050,(r)) (Mercury,26.179,(c)) (sextile,7.70')\n(Moon,15.346,(c)) (H10,75.836,(c)) (sextile,29.40')\n(Mercury,26.179,(c)) (POF,146.169,(c)) (trine,0.57')", '5', "(Sun,60.999,(r)) (H5,0.851,(p)) (sextile,8.86')", "(Neptune,253.237,(p)) (H8,73.080,(p)) (opposition,9.43')\n(Venus,60.226,(r)) (H7,330.202,(c)) (square,1.44')\n(Moon,349.881,(c)) (H8,350.139,(c)) (conjunction,15.46')", "(H5,312.429,(r)) (Moon,312.290,(p)) (conjunction,8.36')\n(Mercury,27.217,(c)) (H5,267.353,(c)) (trine,8.13')", '9', 10]
['1813-05-22 06:01:51', '0', "(Uranus,235.738,(r)) (H10,55.832,(p)) (opposition,5.62')", '2', "(H5,196.292,(r)) (Moon,16.296,(c)) (opposition,0.23')", '4', '5', '6', "(Moon,317.610,(r)) (H7,227.546,(c)) (square,3.86')", '8', '9', 3]
['1813-05-22 02:30:56', "(H7,222.179,(r)) (Moon,282.062,(c)) (sextile,7.06')", '1', '2', "(Moon,315.735,(r)) (H7,255.854,(p)) (sextile,7.15')", '4', '5', '6', '7', '8', "(POF,297.362,(r)) (Moon,297.451,(c)) (conjunction,5.33')", 3]
['1813-05-22 11:12:16', "(Moon,320.383,(r)) (H7,20.419,(p)) (sextile,2.15')\n(Moon,357.331,(p)) (H10,116.905,(p)) (trine,25.57')", '1', "(H1,158.940,(r)) (Sun,68.918,(p)) (square,1.30')", '3', '4', '5', '6', "(Moon,320.383,(r)) (H8,320.482,(c)) (conjunction,5.95')\n(Mars,304.003,(r)) (H7,303.906,(c)) (conjunction,5.79')", "(Pluto,349.485,(c)) (H5,229.362,(c)) (trine,7.40')", "(Uranus,235.729,(r)) (H4,295.738,(p)) (sextile,0.56')\n(H4,242.225,(r)) (Moon,302.143,(c)) (sextile,4.91')\n(Moon,302.143,(c)) (H1,121.713,(c)) (opposition,25.79')", 9]
